MapID,Level,StageNo,PresetFileName,MEMO
37000,0,1,Certification001.preset,にゃんこ道検定★1マップ2ステージ目固定編成
37001,0,1,Certification002.preset,にゃんこ道検定★2マップ2ステージ目固定編成
37002,0,0,Certification003.preset,にゃんこ道検定★3マップ1ステージ目固定編成
37003,0,0,Certification004.preset,にゃんこ道検定★4マップ1ステージ目固定編成
37004,0,0,Certification005.preset,にゃんこ道検定★5マップ1ステージ目固定編成
37004,0,2,Certification006.preset,にゃんこ道検定★5マップ3ステージ目固定編成
37005,0,0,Certification007.preset,にゃんこ道検定★6マップ1ステージ目固定編成
37006,0,0,Certification008.preset,にゃんこ道検定★7マップ1ステージ目固定編成
37007,0,1,Certification009.preset,にゃんこ道検定★8マップ3ステージ目固定編成
37008,0,0,Certification010.preset,にゃんこ道検定★9マップ1ステージ目固定編成
