GatyaSetID	BannerON_OFF	ItemID_Ticket	animeID	btnCutID	seriesID	menuCutID	CharaID	waitmaanimON_OFF	imgID
0	0	21	0	0	0	1	-1	0	-1
1	0	21	0	0	1	1	-1	0	-1
2	0	21	0	0	17	1	-1	0	-1
3	0	21	0	0	2	1	-1	0	-1
4	0	21	0	0	3	1	-1	0	-1
5	0	21	0	0	0	1	-1	0	-1
6	0	21	0	0	1	1	-1	0	-1
7	0	21	0	0	2	1	-1	0	-1
8	0	21	0	0	3	1	-1	0	-1
9	0	21	0	0	4	1	-1	0	-1
10	0	21	0	0	4	1	-1	0	-1
11	0	21	0	0	17	1	-1	0	-1
12	0	21	0	0	17	1	-1	0	-1
13	0	21	0	0	17	1	-1	0	-1
14	0	21	0	0	5	1	-1	0	-1
15	0	21	0	0	6	1	-1	0	-1
16	0	21	0	0	6	1	-1	0	-1
17	0	21	0	0	0	1	-1	0	-1
18	0	21	0	0	0	1	-1	0	-1
19	0	21	0	0	4	1	-1	0	-1
20	0	21	0	0	4	1	-1	0	-1
21	0	21	0	0	5	1	-1	0	-1
22	0	21	0	0	14	1	-1	0	-1
23	0	21	0	0	15	1	-1	0	-1
24	0	21	0	0	13	1	-1	0	-1
25	0	21	0	0	0	1	-1	0	-1
26	0	21	0	0	0	1	-1	0	-1
27	0	21	0	0	1	1	-1	0	-1
28	0	21	0	0	1	1	-1	0	-1
29	0	21	0	0	2	1	-1	0	-1
30	0	21	0	0	2	1	-1	0	-1
31	0	21	0	0	3	1	-1	0	-1
32	0	21	0	0	3	1	-1	0	-1
33	0	21	0	0	4	1	-1	0	-1
34	0	21	0	0	4	1	-1	0	-1
35	0	21	0	0	5	1	-1	0	-1
36	0	21	0	0	5	1	-1	0	-1
37	0	21	0	0	6	1	-1	0	-1
38	0	21	0	0	6	1	-1	0	-1
39	0	21	0	0	7	1	-1	0	-1
40	0	21	0	0	7	1	-1	0	-1
41	0	21	0	0	6	1	-1	0	-1
42	0	21	0	0	6	1	-1	0	-1
43	0	21	0	0	7	1	-1	0	-1
44	0	21	0	0	7	1	-1	0	-1
45	0	21	0	0	12	1	-1	0	-1
46	0	21	0	0	8	1	-1	0	-1
47	0	21	0	0	7	1	-1	0	-1
48	0	21	0	0	7	1	-1	0	-1
49	1	21	0	0	11	1	-1	0	-1
50	0	21	0	0	0	1	-1	0	-1
51	0	21	0	0	0	1	-1	0	-1
52	0	21	0	0	0	1	-1	0	-1
53	0	21	0	0	1	1	-1	0	-1
54	0	21	0	0	2	1	-1	0	-1
55	0	21	0	0	3	1	-1	0	-1
56	0	21	0	0	4	1	-1	0	-1
57	0	21	0	0	5	1	-1	0	-1
58	0	21	0	0	5	1	-1	0	-1
59	0	21	0	0	5	1	-1	0	-1
60	0	21	0	0	6	1	-1	0	-1
61	0	21	0	0	7	1	-1	0	-1
62	0	21	0	0	14	1	-1	0	-1
63	0	21	0	0	14	1	-1	0	-1
64	0	21	0	0	9	1	-1	0	-1
65	0	21	0	0	10	1	-1	0	-1
66	0	21	0	0	16	1	-1	0	-1
67	0	21	0	0	18	1	-1	0	-1
68	0	21	0	0	18	1	-1	0	-1
69	0	21	0	0	18	1	-1	0	-1
70	0	21	0	0	7	1	-1	0	-1
71	0	21	0	0	7	1	-1	0	-1
72	0	21	0	0	7	1	-1	0	-1
73	0	21	0	0	19	1	-1	0	-1
74	0	21	0	0	19	1	-1	0	-1
75	0	21	0	0	19	1	-1	0	-1
76	0	21	0	0	15	1	-1	0	-1
77	0	21	0	0	15	1	-1	0	-1
78	0	21	0	0	18	1	-1	0	-1
79	0	21	0	0	18	1	-1	0	-1
80	0	21	0	0	18	1	-1	0	-1
81	0	21	0	0	19	1	-1	0	-1
