15,-1,-1,-1,-1,    //マップ番号 0～16,　アイテム報酬型ステージ設定(-1:OFF),　スコア報酬型ステージ設定(-1:OFF)
5,					//マップパターン 0～
170,6460,3,100,3,1,3,1,-1,		//1ステージ
175,6650,82,100,82,1,0,1,-1,			//2ステージ
170,6460,30,99,33,1,5,1,-1,		//3ステージ
185,7030,3,99,31,1,3,1,-1,			//4ステージ
180,6840,30,99,33,1,4,1,-1,		//5ステージ
210,7980,82,99,81,1,2,1,-1,		//6ステージ

//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット
//貰える数		0
