ダメージアップ%@【%@】	%@に与えるダメージが上がります
ダメージ軽減%@【%@】	%@から受けるダメージが軽減します
めっぽう強い強化%@【%@】	%@にめっぽう強いの効果が上がります
超ダメージ強化%@【%@】	%@に超ダメージの効果が上がります
打たれ強い強化%@【%@】	%@に打たれ強いの効果が上がります
デス小烈波%@	キャラクターが倒された時に小烈波を放つ能力が<br>2回生産ごとに付与されます（重複不可）
波動ダメージ耐性%@	敵からの波動攻撃で受けるダメージを軽減します
キャッシュバック%@	キャラクターが倒された時に生産価格の一部が<br>返却される能力が2回生産ごとに付与されます
ふっとばし耐性%@	敵キャラクターからの「ふっとばす」効果を軽減します
レジェンドストーリー強化%@	レジェンドストーリーで体力と攻撃力が上がります（重複不可）
超生命体特効%@	超生命体特効の能力が2回生産ごとに付与されます（重複不可）
にゃんこ砲チャージ%@	キャラクターが倒された時ににゃんこ砲がチャージされる<br>能力が2回生産ごとに付与されます（重複不可）
毒撃ダメージ耐性%@	敵キャラクターからの毒撃で受けるダメージを軽減します
全攻撃無効%@	敵キャラクターから一定時間ダメージを受けなくなる能力が<br>2回生産ごとに付与されます（重複不可）
動きを遅くする耐性%@	敵キャラクターからの「動きを遅くする」効果を軽減します
古代の呪い耐性%@	敵キャラクターからの「古代の呪い」効果を軽減します
真レジェンドストーリー強化%@	真レジェンドストーリーで体力と攻撃力が上がります（重複不可）
