45,-1,148,-1,122
3
110,2090,172,100,172,100,207,220,-2,-2,-2,-2,-2,-2,-2,1,7700,3,1,6300,6,30000,500,6,20000,-1
120,2280,172,99,171,100,207,240,-2,-2,-2,-2,-2,-2,-2,1,7500,0,1,6000,4,1,500,6,80000,-1
130,2470,172,99,171,100,207,260,-2,-2,-2,-2,-2,-2,-2,1,7400,1,1,5500,5,1,500,11,1,-1
140,2660,172,100,172,100,207,280,-2,-2,-2,-2,-2,-2,-2,1,7600,2,1,4900,3,1,500,6,100000,-1
150,2850,171,100,171,100,207,300,-2,-2,-2,-2,-2,-2,-2,1,7100,55,1,5500,4,1,500,105,1,-1
160,3040,172,100,172,100,207,320,-2,-2,-2,-2,-2,-2,-2,1,7000,2,1,5400,0,1,500,11,1,-1
170,3230,171,100,171,100,207,340,-2,-2,-2,-2,-2,-2,-2,1,7700,56,1,5800,5,1,500,6,150000,-1
180,3420,172,99,171,100,207,360,-2,-2,-2,-2,-2,-2,-2,1,5000,1,1,3800,3,1,500,6,200000,-1
190,3610,171,100,171,100,207,380,-2,-2,-2,-2,-2,-2,-2,1,8500,57,1,5700,2,1,500,6,300000,-1
200,3800,172,99,173,100,207,400,-2,-2,-2,-2,-2,-2,-2,1,5000,6,300000,2000,6,200000,500,12,1,-1
