スタンプ 1個目のプレゼント<br>「スピードアップ＋2」をゲットした！！	1日目
スタンプ 2個目のプレゼント<br>「ネコボン＋2」をゲットした！！	2日目
スタンプ 3個目のプレゼント<br>「レアチケット＋1」をゲットした！！	3日目
スタンプ 4個目のプレゼント<br>「ニャンピュータ＋2」をゲットした！！	4日目
スタンプ 5個目のプレゼント<br>「にゃんこチケット＋2」をゲットした！！	5日目
スタンプ 6個目のプレゼント<br>「ネコカン＋50」をゲットした！！！	6日目
スタンプ 7個目のプレゼント<br>「トレジャーレーダー＋1」をゲットした！！	7日目
スタンプ 8個目のプレゼント<br>「スニャイパー＋3」をゲットした！！	8日目
スタンプ 9個目のプレゼント<br>「レアチケット＋1」をゲットした！！	9日目
スタンプ 10個目のプレゼント<br>「にゃんこチケット＋2」をゲットした！！	10日目
スタンプ 11個目のプレゼント<br>「おかめはちもく＋2」をゲットした！！	11日目
スタンプ 12個目のプレゼント<br>「ネコカン＋50」をゲットした！！	12日目
スタンプ 13個目のプレゼント<br>「ネコボン＋3」をゲットした！！	13日目
スタンプ 14個目のプレゼント<br>「ニャンピュータ＋3」をゲットした！！	14日目
スタンプ 15個目のプレゼント<br>「レアチケット＋1」をゲットした！！	15日目
スタンプ 16個目のプレゼント<br>「トレジャーレーダー＋1」をゲットした！！	16日目
スタンプ 17個目のプレゼント<br>「おかめはちもく＋3」をゲットした！！	17日目
スタンプ 18個目のプレゼント<br>「ネコカン＋50」をゲットした！！	18日目
スタンプ 19個目のプレゼント<br>「スピードアップ＋3」をゲットした！！	19日目
スタンプ 20個目のプレゼント<br>「にゃんこチケット＋3」をゲットした！！	20日目
スタンプ 21個目のプレゼント<br>「レアチケット＋1」をゲットした！！	21日目
