EXキャラクター達の,パワーアップ画面に移動します, ,
基本キャラクターなどの,パワーアップ画面に戻ります, ,
レアキャラクター達の,パワーアップ画面に移動します, ,
激レアキャラクター達の,パワーアップ画面に移動します, ,
超激レアキャラクター達の,パワーアップ画面に移動します, ,
伝説レアキャラクター達の,パワーアップ画面に移動します, ,
2超激レアキャラクター達の,パワーアップ画面に移動します, ,
3超激レアキャラクター達の,パワーアップ画面に移動します, ,
4超激レアキャラクター達の,パワーアップ画面に移動します, ,
5超激レアキャラクター達の,パワーアップ画面に移動します, ,
全てのキャラクターを一覧表示します,（画面上部の丸でショートカット可能）, ,
6超激レアキャラクター達の,パワーアップ画面に移動します, ,
7超激レアキャラクター達の,パワーアップ画面に移動します, ,
8超激レアキャラクター達の,パワーアップ画面に移動します, ,
9超激レアキャラクター達の,パワーアップ画面に移動します, ,
　,　, ,
10超激レアキャラクター達の,パワーアップ画面に移動します, ,
11超激レアキャラクター達の,パワーアップ画面に移動します, ,
12超激レアキャラクター達の,パワーアップ画面に移動します, ,
13超激レアキャラクター達の,パワーアップ画面に移動します, ,
14超激レアキャラクター達の,パワーアップ画面に移動します, ,
