textID|テキスト内容
1|Ottieni l'abilità "Indebolimento".<br>Sali di livello e indebolisci i nemici più a lungo!
2|Ottieni l'abilità "Immobilità".<br>Sali di livello e immobilizza i nemici più a lungo!
3|Ottieni l'abilità "Rallentamento".<br>Sali di livello e rallenta i nemici più a lungo!
4|Ottieni l'abilità "Attacco mirato".
5|Ottieni l'abilità "Efficace".
6|Ottieni l'abilità "Forte vs".
7|Ottieni l'abilità "Danni enormi".
8|Ottieni l'abilità "Respinta".<br>Sali di livello e aumenta la probabilità di respingere!
9|Ottieni l'abilità "Teletrasporto".
10|Ottieni l'abilità "Rafforza".<br>Sali di livello e aumenta la potenza d'attacco!
11|Ottieni l'abilità "Sopravvivenza".<br>Sali di livello e aumenta la probabilità di sopravvivenza!
12|Ottieni l'abilità "Distruttore di basi".
13|Ottieni l'abilità "Danni critici".<br>Sali di livello e aumenta la prob. di attacchi critici!
14|Ottieni l'abilità "Ammazza zombi".
15|Ottieni l'abilità "Sfondamento".<br>Sali di livello e aumenta la prob. di distruggere barriere!
16|Ottieni l'abilità "Soldi extra".
17|Ottieni l'abilità "Attacco a ondata".<br>Sali di livello e aumenta la prob. di attacchi a ondata!
18|Ottieni l'abilità "Resistente a indebolimento".<br>Sali di livello e aumenta la resistenza!
19|Ottieni l'abilità "Resistente a immobilità".<br>Sali di livello e aumenta la resistenza!
20|Ottieni l'abilità "Resistente a rallentamento".<br>Sali di livello e aumenta la resistenza!
21|Ottieni l'abilità "Resistente a Respinta".<br>Sali di livello e aumenta la resistenza!
22|Ottieni l'abilità "Resistente a ondate".<br>Sali di livello e aumenta la resistenza!
23|Ottieni l'abilità "Immunità da ondate".
24|Ottieni l'abilità "Resistente al teletrasporto".<br>Sali di livello e aumenta la resistenza!
25|Ottieni l'abilità "Immunità da maledizioni".
26|Ottieni l'abilità "Resistente a maledizioni".<br>Sali di livello e aumenta la resistenza!
27|Aumenterà il potenziale di difesa dell'unità.<br>Sali di livello e aumenta le difese!
