婚禮送客禮物 第1個<br>裡面是「傳說的聖水＋1」	第1天
婚禮送客禮物 第2個<br>裡面是「傳說的聖水＋1」	第2天
婚禮送客禮物 第3個<br>裡面是「貓咪券＋1」	第3天
婚禮送客禮物 第4個<br>裡面是「傳說的聖水＋1」	第4天
婚禮送客禮物 第5個<br>裡面是「傳說的聖水＋1」	第5天
婚禮送客禮物 第6個<br>裡面是「稀有券＋1」	第6天
婚禮送客禮物 第7個<br>裡面是「傳說的聖水＋1」	第7天
婚禮送客禮物 第8個<br>裡面是「傳說的聖水＋1」	第8天
婚禮送客禮物 第9個<br>裡面是「XP＋10,000」	第9天
婚禮送客禮物 第10個<br>裡面是「傳說的聖水＋1」	第10天
婚禮送客禮物 第11個<br>裡面是「傳說的聖水＋1」	第11天
婚禮送客禮物 第12個<br>裡面是「加速＋1」	第12天
婚禮送客禮物 第13個<br>裡面是「傳說的聖水＋1」	第13天
婚禮送客禮物 第14個<br>裡面是「傳說的聖水＋1」	第14天
婚禮送客禮物 第15個<br>裡面是「稀有券＋1」	第15天
婚禮送客禮物 第16個<br>裡面是「傳說的聖水＋1」	第16天
婚禮送客禮物 第17個<br>裡面是「傳說的聖水＋1」	第17天
婚禮送客禮物 第18個<br>裡面是「貓咪券＋1」	第18天
婚禮送客禮物 第19個<br>裡面是「傳說的聖水＋1」	第19天
婚禮送客禮物 第20個<br>裡面是「傳說的聖水＋1」	第20天
婚禮送客禮物 第21個<br>裡面是「傳說的聖水＋1」	第21天
