%s|Un tenero shiba, rivale dei Battle Cats.|Quest'anno vuole andare all'università.|Molto premuroso, manda regali|di compleanno al Gatto ogni anno.|
%s|Usa gli acquerelli per il body painting.|Quindi... non resiste molto all'acqua.|Questa informazione non ha niente a|che fare con il gioco.|
%s|Un gruppo di bulli a cui piace coalizzarsi.|Si sono conosciuti su internet.|Stranamente|sono tutti molto ricchi.|
%s|Questo pericoloso ippopotamo|ha fiducia nella sua potenza e resistenza.|Lui/lei ha una capacità di multi attacco.|Non sappiamo se sia un lui o una lei.|
%s (Rosso)|Ama farsi le lampade,|ecco perché ha la pelle rossa.|Nato in un allevamento bio all'aperto.|Sapevi che i maiali amano la pulizia?|
%s|Adora guardare i film di kung-fu,|sogna di sfondare a Hollywood.|Usa un kung-fu da autodidatta.||
%s|È riuscito a farsi cacciare dallo zoo|per la sua faccia spaventosa.|Non ha lavoro né istruzione,|perciò si è dato ad alcol e gioco d'azzardo.|
%s|Nome banale. Aspetto banale.|Ha il terrore di essere troppo normale.|Prova a rimediare con lezioni di comicità|alla scuola di recitazione.|
%s (Rosso)|Arrivato in città|dalla placida spiaggia.|Voleva più attenzioni, così|si è dipinto di rosso.|
%s|Ha una portata estremamente lunga.|Gli piacciono le donne in carne. Molto in carne.|Colleziona un sacco di riviste...|Non chiedere quali.|
%s|Sognava di diventare pugile|Non ci è riuscito|perché... beh, è un canguro.|Storia tristissima.|
%s (Rosso)|Ama aiutare il prossimo.|Lavora part time dai pompieri.|Tuttavia, essendo così lento|non arriva mai in tempo all'incendio.|
%s|Un maestro d'asilo. ADORA i bambini.|I suoi artigli affilati non sono l'ideale.|Non è parente di quell'altro orso.|Nessuno sa il suo vero nome.|
%s|Salvato da Dundee.|Infatuato della didattica a distanza.|È riuscito a ottenere diversi titoli.|Certificato di videoscrittura di serie B.|
%s (Rosso)|Ha lasciato una multinazionale|e ora dirige 4 aziende.|Spera di diventare sindaco prima o poi.||
%s|Parla un antico dialetto inglese.|No, davvero, sembra inglese ma|è impossibile capire cosa dica.|Lavora alla scuola inglese accanto alla stazione.|
%s (Nero)|Con licenza di uccidere.|La crisi finanziaria globale non lo aiuta|molto, però. Guarda i volantini.|Offre un milione a uccisione.|
%s (Rosso/Flutt.)|Terribilmente timido.|Adora cantare, ma non lo ha|mai fatto davanti a nessuno.|... lo specchio vale? Karaoke in solitaria.|
%s (Fluttuante)|È rimasto senza corpo dopo una dieta ferrea.|Non si sa perché fluttui.|Davvero, qualcuno lo sa?|(Meglio non provarci a casa.)|
|||||
|||||
%s|La sua famiglia è composta|da padre, madre, fratello e un "papino".|Vuole sposarsi al più presto.|Arriva quando ci metti troppo tempo.|
%s (Fluttuante)|Sognava di diventare|una bellissima farfalla in futuro.|Ha scoperto la verità e ora|si ribella alla natura.|
%s (Rosso)|Adirato perché non gli è permesso|di bere alcolici.|Si dà arie facendo finta di bere.|Il bicchiere è pieno di crema al caffè.|
%s (Fluttuante)|Il vecchio maestro di Professor Orso.|La sua punizione è l'amore.|Non pensare. SENTI!||
|||||
|||||
|||||
|||||
|||||
|||||
%s|Conosce tutte le zozzerie.|I suoi amici della scuola media|lo ammirano e lo chiamano Maestro.|Esperienze amorose: zero.|
%s|Stressato per la recente perdita di capelli.|Sì, si chiama Truzzo.|Il nome è S.|Può infliggere danni critici.|
%s|Si è guadagnata il nomignolo|perché si accanisce sull'obiettivo.|Conserva il ricordo degli antenati.|Una normalissima pietra.|
%s|Un koala davvero eccentrico.|È stato cacciato dallo zoo per le fatture|del suo cibo, così ora scrocca da Gory.|Anche Gory lo caccerà fuori molto presto.|
%s|Nato in Arabia, adora fare la sauna.|La sua abilità speciale è chiudere le narici,|ma non sa che tutti i cammelli lo sanno fare|perché non ha amici.|
%s|Adora studiare etimologia.|Sta scrivendo un saggio sul perché|il suo nome suoni nel modo in cui suona.|Aspetta che venga pubblicato.|
%s (Fluttuante)|Non dimostra la sua età. Ha 78 anni.|Il dottore gli ha detto di camminare di più.|Si lamenta un sacco perché viene trattato come|un nemico fluttuante, ma sta solo camminando.|
%s (Rosso)|Ha sempre pensato che il suo nome|fosse lo spelling corretto della sua essenza.|Arrossisce un sacco quando si presenta.|Sono Cinghio.|
%s|L'animale più spaventoso|riesce a scendere dall'albero...|Purtroppo, muoversi è davvero troppo|e ora dice di voler tornare a casa.|
%s|Si deprime un sacco quando arriva|Natale. E in più odia il Rosso.|Non chiedere perché.|Lascialo in pace, poverino.|
%s|Prova davvero a fare l'umano.|Sa solamente alzare le zampe,|girare su se stesso e parlare.|Dagli un premio quando lo fa.|
%s|Studentessa universitaria|che ama chiacchierare con le amiche|ogni pomeriggio in caffetterie di lusso.|Le sue amiche la odiano in segreto.|
%s|Il suo nome è I.|Dice sempre no. Smaltisce alimenti.|Sempre sola. Dice no a tutti.|Tutti lo evitano.|
%s|Può usare attacchi a ondata.|Poliziotto da poco andato in pensione.|(In realtà sostituito da pastori tedeschi.)|Spesso visto con Celebribau...|
%s|Non dirlo a nessuno, ma ho sentito che viene dalla|periferia. In canile, ha provato ad adottare|un bastardino... ha trovato una razza inaspettata!||
%s (Nero)|Un giorno il Cane ha preso un volantino|e ha trovato lavoro come killer part time.|Lavora duro ogni giorno per guadagnare|tanto da entrare nella migliore università.|
%s (Metallico)|Una certa organizzazione ha deciso di|fare esperimenti e rendere Ippo metallico.|Sembra essere debole agli attacchi critici.||
%s (Rosso)|Antenato del Suino.|Secondo re del regno suino.|Tra qualche giorno diventerà|pancetta biologica (non lo sa ancora)|
%s (Rosso/Flutt.)|Un autore molto famoso. Figura influente per|Professor Bum-bum. Le opere principali:|Punizione e Pregiudizio (1868)|Les Pénitents (1875)|
%s (Flutt./Nero)|L'AMORE TI PORTA IN PARADISO #AMORE|È quello che dice quando colpisce le persone.|Alcuni dicono che puoi vedere l'altro mondo|quando ti colpisce... Fonti attendibili: zero.|
%s (Nero)|Gory ha trovato un lavoro!|Si lascia la vecchia vita alle spalle|e non vede l'ora di rivedere|la sua famiglia quando torna a casa.|
%s (Nero)|Sei già morto - P. K. O.|Spara sempre battute banali.|Gli dispiace per il cucciolo|nel marsupio che lo deve sopportare.|
%s (Nero)|Un regista fallito noto per aver|copiato il famosissimo regista cinematografico.|Le sue opere sono state tutte un flop, ma|è famoso per le scene volgari.|
