Accelerazione|La velocità di battaglia raddoppierà|Tocca l'oggetto quando sei in battaglia|per attivarlo o disattivarlo.|＠|
Radar tesori|Trovi tesori garantiti.|Ottieni un tesoro superiore o la|ricompensa standard quando vinci.|＠|
Gatto riccone|Il tuo Gatto impiegato inizierà|la battaglia al livello MAX|＠||
Gatto CPU|Il Gatto CPU controllerà la tua Base|e combatterà per te. Non aspettarti granché.|＠||
Gatto secchione|Riceve 1,5 volte in più di esperienza|al completamento del livello.|＠||
Gatto cecchino|Il Gatto cecchino offre fuoco di copertura e|respinge il nemico. La potenza d'attacco è|proporzionale alla salute della Base felina.|＠|
XP|Acquista XP per potenziare le unità Gatto!|＠|＠||
NP|＠||||
dummy|＠||||
dummy|＠||||
5.000 XP|＠||||
10.000 XP|＠||||
30.000 XP|＠||||
50.000 XP|＠||||
100.000 XP|＠||||
200.000 XP|＠||||
500.000 XP|＠||||
1.000.000 XP|＠||||
2.000.000 XP|＠||||
XP 500.000|＠||||
Miaobiglietto|＠||||
Biglietto raro|＠||||
Friskat|Usato per acquistare oggetti, XP e altro.|＠|||
Biglietto fortuna|＠||||
|＠||||
|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Biglietti platino|＠||||
Seme miagrume viola|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Seme miagrume rosso|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Seme miagrume blu|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Seme miagrume verde|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Seme miagrume giallo|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume viola|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume rosso|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume blu|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume verde|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume giallo|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume epico|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Seme miagrume stag.|Un oggetto misterioso che può aiutare a|manifestare il potenziale dei gatti.|＠||
Miagrume stagionato|Un oggetto misterioso che può aiutare a|manifestare il potenziale dei gatti.|＠||
Seme miagrume epico|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume oro|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Occhio [speciale]|Aumenta il liv. max di un gatto speciale.|* Utilizzabile su unità Gatto di livello 30.|＠||
Occhio [raro]|Aumenta il liv. max di un gatto raro.|* Utilizzabile su unità Gatto di livello 30.|＠||
Occhio [super raro]|Aumenta il liv. max di un gatto super raro.|* Utilizzabile su unità Gatto di livello 30.|＠||
Occhio [ultra raro]|Aumenta il liv. max di un gatto ultra raro.|* Utilizzabile su unità Gatto di livello 30.|＠||
Occhio [leggenda]|Aumenta il liv. max dei gatti non normali.|* Utilizzabile su unità Gatto di livello 30.|＠||
Vitamiao [A]|La durata delle Spedizioni di GAMATOTO|verrà ridotta di 1 ora.|＠||
Vitamiao [B]|La durata delle Spedizioni di GAMATOTO|verrà ridotta di 3 ore.|＠||
Vitamiao [C]|La durata delle Spedizioni di GAMATOTO|verrà ridotta di 6 ore.|＠||
Occhio [Oscuro]|Le ultra rare possono superare il liv. 50.|* Anche su unità normali oltre il liv. 30.|||
|＠||||
Attacco cannone|Aumenta la potenza del cannone felino.|Ma aumenta anche il tempo di ricarica...||＠|
Portata cannone|Aumenta la portata del cannone felino.|||＠|
Ricarica cannone|Riduce il tempo di ricarica del cannone.|||＠|
Ritmo impiegato|Aumenta l'efficienza del Gatto impiegato|e di conseguenza il tasso delle entrate.||＠|
Portafogli impiegato|Aumenta il portafogli del Gatto impiegato|e il limite massimo delle entrate.||＠|
Difesa Base|Aumenta la salute della Base felina.|||＠|
Ricerca|Aumenta la velocità di produzione dei Gatti.|||＠|
Contabilità|Aumenta i Soldi ottenuti|sconfiggendo un nemico.||＠|
Studio|Aumenta la quantità di XP|ricevuti quando superi un livello.||＠|
Energia felina|Aumenta il limite max di energia felina.|Hai bisogno di energia felina per combattere.||＠|
Cat Ally: Dummy 1|＠||||
Cat Ally: Dummy 2|＠||||
Cat Ally: Dummy 3|＠||||
Cat Ally: Dummy 4|＠||||
Cat Ally: Dummy 5|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna G|＠||||
XP 100.000|＠||||
|＠||||
XP|Acquista XP per potenziare le unità Gatto!|＠|＠|＠|
XP|Acquista XP per potenziare le unità Gatto!|＠|＠|＠|
XP|Acquista XP per potenziare le unità Gatto!|＠|＠|＠|
XP|Acquista XP per potenziare le unità Gatto!|＠|＠|＠|
XP|Acquista XP per potenziare le unità Gatto!|＠|＠|＠|
Mattoni|Materiale per costruire una Base potente.|＠|＠|＠|
Piume|Materiale per costruire una Base potente.|＠|＠|＠|
Carbone|Materiale per costruire una Base potente.|＠|＠|＠|
Ingranaggi|Materiale per costruire una Base potente.|＠|＠|＠|
Oro|Materiale per costruire una Base potente.|＠|＠|＠|
Meteora|Materiale per costruire una Base potente.|＠|＠|＠|
Ossa bestiali|Materiale per costruire una Base potente.|＠|＠|＠|
Ingegneri|Assistenti necessari per costruire una Base.|＠|＠|＠|
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Leadership|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Pack ritorno|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠
Biglietto fortuna G|＠
Biglietto fortuna G|＠
Biglietto fortuna G|＠||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠||
Biglietto fortuna|＠|||
Bikkuriman Choco|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Ammonite|Materiale per costruire una Base potente.|＠|＠|＠|
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto leggenda|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna G|＠|||
Gatti ricconi illimitati per 3 ore|＠|||
Gatti CPU illimitati per 3 ore|＠|||
Gatti cecchini illimitati per 3 ore|＠|||
Biglietto fortuna G|＠|||
Biglietto fortuna|＠|||
Biglietto fortuna G|＠|||
Pezzo di platino|＠|||
Rete leggendaria|＠|||
5.000 XP|＠|||
Seme miagrume Aku|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠|
Miagrume Aku|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠|
|＠|||
scatola misteriosa|＠|||
Seme miagrume oro|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠|
|＠|||
Lettera d'amore|＠|||
Pietra B. viola|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Pietra B. rossa|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Pietra B. blu|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Pietra B. verde|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Pietra B. gialla|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Acqua santa|＠|||
Reti leggendarie|＠|||
Medaglia bronzo|＠|||
Medaglia argento|＠|||
Medaglia oro|＠|||
Medaglia platino|＠|||
|＠|||
Gem. Behem. viola|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Gem. Behem. rossa|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Gem. Behem. blu|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Gem. Behem. verde|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
Gem. Behem. gialla|Permette ai Gatti di cambiare classe.|Potrebbe venire da un'altra dimensione.|＠|
