0|Verbessere deine Katze,|um sie zu stärken und|Feinde leicht zu besiegen!|＠|＠
0|Spiele vorherige Level für mehr XP!|Verbessere mit XP deine Katzen!|＠|＠|＠
0|Wenn du nicht gewinnen kannst, geh auf|Schatzjagd! Spiele vorherige Level|für Schatzsets und schalte|Kraftboni frei!|＠
1|Entsende preiswerte Katzen|zum Schutz vor Distanzangriffen!|Handle klug im Kampf und|der Sieg wird dir gehören!|＠
2|Wenn es mal nicht so gut läuft,|bitte den Katzengott um eine helfende Pfote!|＠|＠|＠
3|Nutze Gegenstände zum Freischalten|des wahren Potenzials deiner Katzenarmee!|Hol sie dir als Belohnung in Tagesleveln|und legendären Leveln!|＠
4|Die aktivierten Katzenschatz-Boni aus|Kapitel 1 gelten auch in Kapitel 2!|Wenn du Probleme hast, sammle|Schätze und verbessere deine Katzen!|＠
5|Minderwertige Schätze gewähren nur einen|geringen Bonus. Hol dir die ausgezeichneten|für den richtigen Wumms! Nutze Extraenergie|für die Jagd auf die besten Schätze!|＠
5|Katzen mit Flächenangriff sind effektiv gegen|zahlreiche schwache Feinde!|Setze Sonderkatzen perfekt ein!|Insbesondere die mit Flächenangriffen!|＠
6|Verbessere normale Einheiten zur wahren|Form, um ihre Kampfkraft zu erhöhen.|Hol dir Katzentickets und verbessere deine|Einheiten auf maximales Potenzial!|＠
7|Alien-Feinde sind unfassbar stark!|Der Abschluss der Katzenimperium-Kapitel|gewährt XP und Schätze, um die|Invasoren zu zerschmettern!|＠
8|Die aktivierten Katzenschatz-Boni aus|Katzenimperium gelten auch für die|Zukunftsreise! Hol dir ausgezeichnete|Schätze für den vollen Effekt!|＠
9|Erhöhe deinen Benutzerrang, damit bessere|Stufen für deine Einheiten verfügbar sind!|Mit höherem Benutzerrang erreichen|deine Katzen ihr wahres Potenzial!|＠
10|Jeder muss im Leben Niederlagen|einstecken. Geh zurück und|sammle Schätze! Nutze Katzenkombos|zur Stärkung deiner Armee im Kampf!|＠
11|Tippe auf die Sprechblase in der Katzenbasis,|um nützliche Tipps und Tricks|für das Spiel zu erhalten!|＠|＠
11|Haudrauf-Angriffe sind sehr effektiv gegen|eiserne Feinde!|Im Katzenkompendium findest du die Einheiten|mit der besten Chance auf Haudrauf-Angriffe!|＠
12|Verbessere auch deine normalen Katzen|wie deine seltenen! Sorge dafür, dass alle|deine Katzen stark sind. Man weiß nie,|wann man sie gebrauchen kann!|＠
13|Du kannst viel Erfahrung in den|Legenden sammeln!|Schließe Level erneut ab,|um deine XP auszubauen!|＠
14|Das starke Band zwischen Li'l Madoka und der|kleinen Homura kann dein Schicksal ändern!|＠|＠|＠
15|Kosmische Katzen bringen|noch MEHR verrückte Feinde!|Hol dir die neuen Schätze und|schlage die kosmische Bedrohung zurück!|＠
16|Merkwürdige Schätze mit einzigartigen|Effekten schlummern im Weltraum.|Hol sie dir und gewinne!|＠|＠
17|Abwehrbrecher-Fähigkeiten sind besonders|effektiv gegen feindliche|Barrieren. Sammle Katzen|mit dieser Fähigkeit!|＠
18|Katzen mit Immunität gegen Teleport|wehren leicht gegnerische Teleportangriffe ab.|Nimm auf jeden Fall solche Verbündete|in deine Armee auf!|＠
19|Katzen mit Immunität gegen Teleport|wehren leicht gegnerische Teleportangriffe ab.|Nimm auf jeden Fall solche Verbündete|in deine Armee auf!|＠
20|Gegnerische Barrieren blocken|Angriffe mit geringerer Stärke|als die der Barriere. Mach deine|stärksten Katzen bereit!|＠
21|Gegnerische Barrieren blocken|Angriffe mit geringerer Stärke|als die der Barriere. Mach deine|stärksten Katzen bereit!|＠
22|Aliens mit Stern sind suuuperrobust!|Hol dir die Schätze und nutze sie|gegen die Stern-Aliens!|＠|＠
23|Barrieren können dir den Tag verderben.|Außer du hast den Abwehrbrecher!|Kämpfe klug!|＠|＠
24|Merkwürdige Schätze mit einzigartigen|Effekten schlummern im Weltraum.|Hol sie dir und gewinne!|＠|＠
25|Merkwürdige Schätze mit einzigartigen|Effekten schlummern im Weltraum.|Hol sie dir und gewinne!|＠|＠
26|Einige Eventlevel kannst du|im Zuge der Katzamin-Level-Reihe|herausfordern!|＠|＠
26|Verstärke deine Katzen mit XP und erstelle|eine Formation, die die Feindtypen kontern|kann, die in diesem Level aufmarschieren!|＠|＠
26|Wenn du deine Katzen aufstufst, steigt ihre|Kampfkraft. So können sie selbst die härtesten|Feinde ausschalten!|＠|＠
27|Einige Eventlevel kannst du|im Zuge der Katzamin-Level-Reihe|herausfordern!|＠|＠
27|Verstärke deine Katzen mit XP und erstelle|eine Formation, die die Feindtypen kontern|kann, die in diesem Level aufmarschieren!|＠|＠
27|Wenn du deine Katzen aufstufst, steigt ihre|Kampfkraft. So können sie selbst die härtesten|Feinde ausschalten!|＠|＠
28|Einige Eventlevel kannst du|im Zuge der Katzamin-Level-Reihe|herausfordern!|＠|＠
28|Verstärke deine Katzen mit XP und erstelle|eine Formation, die die Feindtypen kontern|kann, die in diesem Level aufmarschieren!|＠|＠
28|Wenn du deine Katzen aufstufst, steigt ihre|Kampfkraft. So können sie selbst die härtesten|Feinde ausschalten!|＠|＠
29|Einige Eventlevel kannst du|im Zuge der Katzamin-Level-Reihe|herausfordern!|＠|＠
29|Verstärke deine Katzen mit XP und erstelle|eine Formation, die die Feindtypen kontern|kann, die in diesem Level aufmarschieren!|＠|＠
29|Wenn du deine Katzen aufstufst, steigt ihre|Kampfkraft. So können sie selbst die härtesten|Feinde ausschalten!|＠|＠
30|Einige Eventlevel kannst du|im Zuge der Katzamin-Level-Reihe|herausfordern!|＠|＠
30|Verstärke deine Katzen mit XP und erstelle|eine Formation, die die Feindtypen kontern|kann, die in diesem Level aufmarschieren!|＠|＠
30|Wenn du deine Katzen aufstufst, steigt ihre|Kampfkraft. So können sie selbst die härtesten|Feinde ausschalten!|＠|＠
31|Einige Eventlevel kannst du|im Zuge der Katzamin-Level-Reihe|herausfordern!|＠|＠
31|Verstärke deine Katzen mit XP und erstelle|eine Formation, die die Feindtypen kontern|kann, die in diesem Level aufmarschieren!|＠|＠
31|Wenn du deine Katzen aufstufst, steigt ihre|Kampfkraft. So können sie selbst die härtesten|Feinde ausschalten!|＠|＠
32|Einige Zyklon-Level kannst du|im Zuge der Katzamin-Level-Reihe|herausfordern!|＠|＠
32|Besiege Feinde mit Werten, indem du Katzen|einsetzt, die den jeweiligen Typen kontern!|Meistere die Auswahl und werde zum Profi!|＠|＠
32|Wenn du deine Katzen aufstufst, steigt ihre|Kampfkraft. So können sie selbst die härtesten|Feinde ausschalten!|＠|＠
33|Einige Zyklon-Level kannst du|im Zuge der Katzamin-Level-Reihe|herausfordern!|＠|＠
