＠|＠|＠|						//「0」の時の解放文章
GAMATOTO Expeditions|must reach Level 3 to|venture into this area.|						//「1」の時の解放文章
GAMATOTO Expeditions|must reach Level 6 to|venture into this area.|						//「2」の時の解放文章
You must have User Rank 600|and GAMATOTO Level 10|to venture into this area.|						//「3」の時の解放文章
You must have User Rank 900|and GAMATOTO Level 14|to venture into this area.|						//「4」の時の解放文章
You must have User Rank 1600|and GAMATOTO Level 19|to venture into this area.|						//「5」の時の解放文章
GAMATOTO Expeditions|must reach Level 24 to|venture into this area.|						//「6」の時の解放文章
GAMATOTO Expeditions|must reach Level 30 to|venture into this area.|						//「7」の時の解放文章
GAMATOTO Expeditions|must reach Level 36 to|venture into this area.|						//「8」の時の解放文章
GAMATOTO Expeditions|must reach Level 43 to|venture into this area.|						//「9」の時の解放文章
GAMATOTO Expeditions|must reach Level 50 to|venture into this area.|						//「10」の時の解放文章
GAMATOTO Expeditions|must reach Level 58 to|venture into this area.|						//「11」の時の解放文章
GAMATOTO Expeditions|must reach Level 67 to|venture into this area.|						//「12」の時の解放文章
GAMATOTO Expeditions|must reach Level 72 to|venture into this area.|						//「13」の時の解放文章
GAMATOTO Expeditions|must reach Level 83 to|venture into this area.|						//「14」の時の解放文章
To venture into this area,|GAMATOTO Level 88|is required.|//「15」の時の解放文章
To venture into this area,|you must be user rank 5000+|and GAMATOTO Level 50+.|//「16」の時の解放文章
