기적을 일으켜 줄게!|진짜로 간다!|
글쎄,|좋을대로 해.|
아, 괜찮아 괜찮아.|아직 시간 많으니까.|
아직도 못 정했어?|너… 우유부단하다는 소리 듣지?|
아, 미안. 졸았어.||
아, 미안. 안 듣고 있었어.||
신도 말이야,|낭만적이고 싶을 때가 있어.|
고양이 통조림 수만큼 기적이 일어나.||
가끔은 나한테|너무 기대는 거 아닌가~ 라고 생각해|
지금?|일하는 중.|
어?|자세히 보니까 또 너구나.|
남자는 등으로 말한다고 들었는데|등에 입이라도 붙었나? 이상하네|
날개가 없다구?|그런 게 있으면 괴물이지.|
신이라는 거,|꽤 편한 직업이 아닐까.|
남들이|꽤 잘생긴 편이라고 해.|
역시, 사랑이 최고의 행복이 아닐까.||
가끔은 퇴직 후의 인생도 생각하게 돼.|어랏, 신도 퇴직이 있나?|
짜증 날 때는|무심코 소리 지르고 싶어져.|
고양이 통조림?|싫어하지 않아.|
신은 굉장하다는 생각이 들어.|내 입으로 말하기도 좀 그렇지만.|
그 기적, 몇 번째야?||
응? 또 그 기적?||
정말?|너도 참 좋아하는구나.|
뭔가.. 우주와의 일체감이 느껴지지 않아?|아, 나만 그런가?|
신이라도 좋고 싫음은 있어.||
신의 비밀?|흐흐.. 그건 비밀이야.|
너를 보고 있으면|내 젊었을 적 생각이 나.|
역시, 인기가 많았으면 좋겠어.||
공짜는 역시 조금 어려울 것 같아.||
알몸이 신의 유니폼이야.||
나 말이야, 위대해 보이지 않아?||
사랑받는 것보다 사랑하고 싶어.|진짜로.|
고양이 통조림 수 = 신앙심이지. 음음.||
