Boisson énergisante|Activé !|Efficacité du Chadjoint aug. !|
Coffre gigantesque|Activé !|Capacité du portefeuille Chadjoint aug. !|
Horloge de la relativité|Activé !|Vitesse de production des Chats aug. !|
Pierre philosophale|Activé !|XP reçue au combat aug. !|
Smartmur|Activé !|Santé de la base féline aug. !|
Super caisse|Activé !|Argent gagné en éliminant des enn. aug. !|
Bouclier félin légendaire|Activé !|Santé des Chats aug. !|
Épée féline légendaire|Activé !|Attaque des Chats aug. !|
Noyau d’énergie|Activé !|Attaque du Chanon aug. !|
Machine à turbo|Activé !|Vitesse de charge du Chanon aug. !|
Bible de la gestion|Activé !|Charburant maximum aug. !|
???|Tu n’as pas trouvé assez de|trésors pour activer ce bonus.|
???|Trouve tous ces trésors pour accélérer|la production d’argent pendant la bataille.|
???|Trouve tous ces trésors pour augmenter|la capacité du portefeuille Chadjoint.|
???|Trouve tous ces trésors pour augmenter|la vitesse de production des Chats.|
???|Trouve tous ces trésors pour augmenter|l’XP gagnée en terminant un niveau.|
???|Trouve tous ces trésors pour augmenter|la santé de ta base féline.|
???|Trouve tous ces trésors pour augmenter|l’argent gagné en éliminant un ennemi.|
???|Trouve tous ces trésors pour augmenter|la santé des Chats.|
???|Trouve tous ces trésors pour augmenter|la puissance d’attaque des Chats.|
???|Trouve tous ces trésors pour augmenter|la puissance d’attaque du Chanon.|
???|Trouve tous ces trésors pour augmenter|la vitesse de charge du Chanon.|
???|Trouve tous ces trésors pour augmenter|ton maximum de Charburant.|
