Raggi d'oro (Difficile)|Raggi d'oro (Esperti)|Raggi d'oro (Folle)|＠
Blu illusione (Difficile)|Blu illusione (Esperti)|Blu illusione (Folle)|＠
Rosso passione (Difficile)|Rosso passione (Esperti)|Rosso passione (Folle)|＠
Viola fluo (Difficile)|Viola fluo (Esperti)|Viola fluo (Folle)|＠
Verde invidia (Difficile)|Verde invidia (Esperti)|Verde invidia (Folle)|＠
Faccia d'acciaio (Letale)|＠
Super Metallippo (Esperti)|＠
Baci, Metallippo (Difficile)|＠
Sapore del successo (Spietato)|＠
Temprato dalle fiamme (Letale)|＠
Palato raffinato (Folle)|＠
Dolci XP (Facile)|Dolci XP (Normale)|Dolci XP (Difficile)|Dolci XP (Veterani)|Dolci XP (Esperti)|Dolci XP (Folle)|＠
Nessun piano A (Letale)|＠
Regno del massacro (Letale)|＠
Specchio per le allodole (Letale)|＠
Parata dei morti (Letale)|＠
Gran premio N-1 (Letale)|＠
Bombarola (Letale)|＠
Attacco al Ciclone-R (Esperti)|＠
Attacco al Ciclone-N (Esperti)|＠
Attacco al Ciclone-B (Esperti)|＠
Tornado in arrivo (Esperti)|＠
Attacco su Titano (Folle)|＠
Ascesa del buco nero (Folle)|＠
Anime oscure (Folle)|＠
Difesa assoluta (Folle)|＠
Berserker (Folle)|＠
Alto in festa (Folle)|＠
Scuotitesta (Folle)|＠
Gatto in volo (Folle)|＠
Inferno ittico (Folle)|＠
Mammiferi? (Folle)|＠
Gatti pazzi (Folle)|＠
Pianeta Palla (Spietato)|＠
in GIAPPONE|a LONDRA|a NEW YORK|＠
Tempesta in arrivo (Folle)|＠
Tempesta empia (Folle)|＠
Bocca di Charybdis (Spietato)|＠
Ira dell'inferno (Letale)|＠
Segui il flusso (Spietato)|＠
Morthawk (Letale)|＠
Vulcanizzatore (Letale)|＠
Guerra ingiusta (Letale)|＠
Bicipite party (Letale)|＠
Leoni a iosa (Letale)|＠
Bestie boschive (Letale)|＠
Isola dell'orco (Letale)|＠
Draconiano (Letale)|＠
Felino residente (Letale)|＠
Si apre il wormhole (Letale)|＠
Tentazione del folletto|Tentazione del demone|Tentazione dell'arcidiavolo|＠
Mormorio Aku (Folle)|Mormorio Aku (Letale)|Sussurro Aku (Letale)|Sussurro Aku (Spietato)|＠
