25,-1,133,-1,-1
13
50,950,3,100,3,10,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,6,22222,-1
60,1140,30,100,30,10,1063,1,-2,-2,-2,-2,-2,-2,-2,1,500,0,1,-1
70,1330,31,100,31,30,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,3,1,-1
80,1520,32,100,32,50,1063,1,-2,-2,-2,-2,-2,-2,-2,1,500,55,3,-1
90,1710,33,100,33,50,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,12,1,-1
100,1900,3,99,30,10,1070,1,-2,-2,-2,-2,-2,-2,-2,1,500,5,1,-1
110,2090,30,99,31,100,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,56,3,-1
120,2280,31,99,32,50,1070,1,-2,-2,-2,-2,-2,-2,-2,1,500,11,1,-1
130,2470,32,99,33,100,1063,1,-2,-2,-2,-2,-2,-2,-2,1,500,4,1,-1
140,2660,33,99,30,100,1070,1,-2,-2,-2,-2,-2,-2,-2,1,500,57,3,-1
150,2850,3,100,3,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,11,1,-1
160,3040,30,100,30,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,6,500000,-1
170,3230,31,100,31,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,105,1,-1
180,3420,32,100,32,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,11,1,-1
190,3610,4,100,4,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,54,1,-1
