204,208,190,1,					//下地のカラー
50,	//A:0
228,3129,						//1：1階目：画像ID0の点座標
228,2794,						//2：2階目：画像ID1の点座標
228,2633,						//3：3階目：画像ID1の点座標
228,2438,						//4：10階目：画像ID8の点座標
228,2242,						//5：11階目：画像ID8の点座標
228,2075,						//6：12階目：画像ID1の点座標
228,1914,						//7：13階目：画像ID1の点座標
228,1445,						//8：30階目：画像ID2の点座標
228,1247,						//9：31階目：画像ID9の点座標
228,1095,						//10：32階目：画像ID1の点座標
228,934,						//11：33階目：画像ID1の点座標
228,735,						//12：34階目：画像ID1の点座標
228,574,						//13：35階目：画像ID1の点座標
0,0,						//14
0,0,						//15
0,0,						//16
0,0,						//17
0,0,						//18
0,0,						//19
0,0,						//20
0,0,						//21
0,0,						//22
0,0,						//23
0,0,						//24
0,0,						//25
0,0,						//26
0,0,						//27
0,0,						//28
0,0,						//29
0,0,						//30
0,0,						//31
0,0,						//32
0,0,						//33
0,0,						//34
0,0,						//35
0,0,						//36
0,0,						//37
0,0,						//38
0,0,						//39
0,0,						//40
0,0,						//41
0,0,						//42
0,0,						//43
0,0,						//44
0,0,						//45
0,0,						//46
0,0,						//47
0,0,						//48
0,0,						//49
0,0,						//50
//ステージ数
//x,y,統率力,XP
