Obtiens plus d’argent|Touche l’icône indiquée par la flèche|pour accélérer la production d’argent.|＠|Obtiens plus d’argent|La capacité du portefeuille augmente|également et te donne un avantage !|＠||||||||
Produis des chats|Maintenant, déploie des Chats !|Touche l’icône ci-dessous.|＠|Produis des chats|Les Chats chargent automatiquement l'ennemi.|Économise de l’argent|et continue à produire des Chats !|＠|||||||
Tire avec le Chanon !|Une icône apparaît quand le Chanon|est prêt à tirer. Laisse les ennemis|arriver à portée et puis Feu !|＠|||||||||||
Change d’unités !|Quand tu as plus de 6 types de Chats,|tu peux parcourir tes unités disponibles|en naviguant comme ça.|＠|||||||||||
Crois-tu en Dieu ?|Touche l'icône ci-dessus pour obtenir de l’aide !|Tu devrais croire aux miracles !|＠||||||||||||
Utilise les objets efficacement !|Voici les objets utilisés actuellement.|Touche l’icône pour|activer ou désactiver.|＠|||||||||||
Bases d’organisation des unités|Fais glisser l’icône d’une unité|que tu veux utiliser et dépose-la|dans la case ci-dessus.|Bases d’organisation des unités 2|Fais glisser l’icône d’une unité|que tu veux déplacer ou bien|dépose-la ci-dessous pour l’enlever.|＠|||||||
Utilisation des objets|Touche l’objet que tu veux utiliser.|Remarque :|tu dois choisir tes objets avant la bataille.|＠|||||||||||
Bases du Miam|Le Miam est une monnaie spéciale qui peut|provenir de la boutique Miam ou d’événements.|＠|Bases du Miam 2|Touche l’icône + pour acheter du Miam.|Remarque :|une connexion stable est nécessaire.|＠|||||||
Le jour de l’Avent, le Dieu des Chats apparaît !|Normalement, il te faut du Miam pour avoir|son aide... mais cette fois c’est gratuit !|Alors touche l’icône !|＠|||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
Affichage d'unité|Ouvre les Paramètres depuis l'écran de pause|pour afficher tes unités sur 2 lignes.|＠|＠|＠|＠|＠|＠|＠|＠|
