7,0,40,25,0,0,   //城番号
6000,500000,1,1,12,40,0,0,0,0,	//幅,	城体力,	生産最低F,生産最高F,	背景種類,	出現最大数,以後未使用
162,1,1000,250,250,100,0,4,0,200,
289,4,700,250,250,100,0,4,0,200,
126,1,500,45,300,100,0,4,0,200,	//ID,出現数(0で無制限),初登場F,再登場最低F,再登場最高F,城連動出現％,手前ライン,奥ライン,ボスフラグ,強さ倍率
39,3,300,150,150,100,0,4,0,1000,
45,1,200,45,300,100,8,8,0,200,
49,2,50,200,200,100,0,4,0,300,
16,30,100,45,90,100,7,9,0,4000,
170,15,30,60,120,100,7,9,0,2400,
409,5,300,300,400,100,7,9,0,100,
23,0,13500,13500,13500,100,9,9,0,400,
0,0,0,0,0,0,0,9,0,100,
0,0,0,0,0,0,0,9,0,100,
0,0,0,0,0,0,0,9,0,100,
0,0,0,0,0,0,0,9,0,100,
0,0,0,0,0,0,0,9,0,100,


//敵は１ステージ最大１０種類
