【校園生活：第1天】<br>恭喜獲得「傳說的情書＋1」！！	第1天
【校園生活：第2天】<br>恭喜獲得「傳說的情書＋1」！！	第2天
【校園生活：第3天】<br>恭喜獲得「傳說的情書＋1」！！	第3天
【校園生活：第4天】<br>恭喜獲得「傳說的情書＋1」！！	第4天
【校園生活：第5天】<br>恭喜獲得「貓咪券＋1」！！	第5天
【校園生活：第6天】<br>恭喜獲得「傳說的情書＋1」！！	第6天
【校園生活：第7天】<br>恭喜獲得「傳說的情書＋1」！！	第7天
【校園生活：第8天】<br>恭喜獲得「傳說的情書＋1」！！	第8天
【校園生活：第9天】<br>恭喜獲得「傳說的情書＋1」！！	第9天
【校園生活：第10天】<br>恭喜獲得「貓咪券＋1」！！	第10天
【校園生活：第11天】<br>恭喜獲得「傳說的情書＋1」！！	第11天
【校園生活：第12天】<br>恭喜獲得「傳說的情書＋1」！！	第12天
【校園生活：第13天】<br>恭喜獲得「傳說的情書＋1」！！	第13天
【校園生活：第14天】<br>恭喜獲得「傳說的情書＋1」！！	第14天
【校園生活：第15天】<br>恭喜獲得「稀有券＋1」！！	第15天
【校園生活：第16天】<br>恭喜獲得「傳說的情書＋1」！！	第16天
【校園生活：第17天】<br>恭喜獲得「傳說的情書＋1」！！	第17天
【校園生活：第18天】<br>恭喜獲得「傳說的情書＋1」！！	第18天
【校園生活：第19天】<br>恭喜獲得「傳說的情書＋1」！！	第19天
【校園生活：第20天】<br>恭喜獲得「貓咪券＋1」！！	第20天
【校園生活：第21天】<br>恭喜獲得「傳說的情書＋1」！！	第21天
【校園生活：第22天】<br>恭喜獲得「傳說的情書＋1」！！	第22天
【校園生活：第23天】<br>恭喜獲得「傳說的情書＋1」！！	第23天
【校園生活：第24天】<br>恭喜獲得「傳說的情書＋1」！！	第24天
【校園生活：第25天】<br>恭喜獲得「貓咪券＋1」！！	第25天
【校園生活：第26天】<br>恭喜獲得「傳說的情書＋1」！！	第26天
【校園生活：第27天】<br>恭喜獲得「傳說的情書＋1」！！	第27天
【校園生活：最後1天】<br>恭喜獲得「貓咪券＋1」！！	第28天
