0	0	da7nmi	世界編第1章韓国クリア
0	1	76wj6b	世界編第1章モンゴルクリア
0	2	f8rbbt	世界編第1章中国クリア
0	5	viishz	世界編第1章フィリピンクリア
0	6	aer6ao	世界編第1章日本クリア
0	7	aokjew	世界編第1章オーストラリアクリア
0	8	1wi6uz	世界編第1章シンガポールクリア
0	11	3oowox	世界編第1章ネパールクリア
0	12	goecyw	世界編第1章ドバイクリア
0	13	ju8w5i	世界編第1章サウジアラビアクリア
0	16	nwjuwv	世界編第1章南アフリカクリア
0	17	h1x8jb	世界編第1章ガーナクリア
0	18	6wfncs	世界編第1章サハラ砂漠クリア
0	25	f15uox	世界編第1章スペインクリア
0	26	qbszqs	世界編第1章フランスクリア
0	27	vzjq19	世界編第1章ドイツクリア
0	38	okvbkt	世界編第1章アルゼンチンクリア
0	39	qv2nka	世界編第1章マチュピチュクリア
0	40	isr235	世界編第1章イースター島クリア
0	46	9ch0zv	世界編第1章ハワイクリア
0	47	584z68	世界編第1章月クリア
1	0	nxo0aa	世界編第2章韓国クリア
1	1	gtbnav	世界編第2章モンゴルクリア
1	2	c5nr0w	世界編第2章中国クリア
1	38	h702vh	世界編第2章アルゼンチンクリア
1	39	ht302x	世界編第2章マチュピチュクリア
1	40	k72g7w	世界編第2章イースター島クリア
1	46	48djsr	世界編第2章ハワイクリア
1	47	7e7n3y	世界編第2章月クリア
2	0	d9yygd	世界編第3章韓国クリア
2	1	ewdxiz	世界編第3章モンゴルクリア
2	2	i05y2t	世界編第3章中国クリア
2	38	ne3a5m	世界編第3章アルゼンチンクリア
2	39	2jjskn	世界編第3章マチュピチュクリア
2	40	pc3ihg	世界編第3章イースター島クリア
2	46	97sk5h	世界編第3章ハワイクリア
2	47	f3x5al	世界編第3章月クリア
4	0	mx3bbi	未来編第1章日本クリア
4	1	faexa9	未来編第1章韓国クリア
4	4	x3xb72	未来編第1章ロシアクリア
4	5	5wjm9d	未来編第1章ノルウェークリア
4	6	ke59ng	未来編第1章イギリスクリア
4	14	vil7vh	未来編第1章トルコクリア
4	15	tzta5y	未来編第1章ドバイクリア
4	16	chfhd6	未来編第1章インドクリア
4	18	1c829z	未来編第1章タイクリア
4	19	n96kax	未来編第1章カンボジアクリア
4	20	4awyx0	未来編第1章フィリピンクリア
4	22	biuei8	未来編第1章オーストラリアクリア
4	23	gp00uv	未来編第1章深淵の大渦クリア
4	24	jnvzit	未来編第1章マダガスカルクリア
4	45	f98op5	未来編第1章ブラジルクリア
4	46	fmc4xp	未来編第1章浮遊大陸クリア
4	47	y5ihjy	未来編第1章月クリア
5	0	9fwsrw	未来編第2章日本クリア
5	1	ivtljt	未来編第2章韓国クリア
5	22	1r0fe9	未来編第2章オーストラリアクリア
5	23	w8jklh	未来編第2章深淵の大渦クリア
5	24	yskx1y	未来編第2章マダガスカルクリア
5	45	w9m08j	未来編第2章ブラジルクリア
5	46	cox4el	未来編第2章浮遊大陸クリア
5	47	91vegs	未来編第2章月クリア
6	0	xd9xe6	未来編第3章日本クリア
6	1	u08gks	未来編第3章韓国クリア
6	22	atci3t	未来編第3章オーストラリアクリア
6	23	hs2qs0	未来編第3章深淵の大渦クリア
6	24	2pfoyx	未来編第3章マダガスカルクリア
6	45	r8z4ct	未来編第3章ブラジルクリア
6	46	r1dvrg	未来編第3章浮遊大陸クリア
6	47	p7s3n5	未来編第3章月クリア
7	0	ossdi4	宇宙編第1章地球クリア
7	23	5ugk8j	宇宙編第1章惑星スナッククリア
7	47	xjmj8n	宇宙編第1章ビッグバンクリア
8	0	dkp7qe	宇宙編第2章地球クリア
8	23	beoyb7	宇宙編第2章惑星スナッククリア
8	47	ldchzj	宇宙編第2章ビッグバンクリア
9	0	q8ltf9	宇宙編第3章地球クリア
9	23	56g633	宇宙編第3章惑星スナッククリア
9	47	x3bl0h	宇宙編第3章ビッグバンクリア
