|| in der Region |bekam |＠|												//探検ログ：アタリテキスト
zu einem kurzen Streifzug (1 Std.)|＠|												//探険コース【1時間】名
zu einem normalen Streifzug (3 Std.)|＠|												//探険コース【3時間】名
zu einem langen Streifzug (6 Std.)|＠|												//探険コース【6時間】名
|Aufbruch in Richtung|＠|											//探険コース選択時のポップアップ
Willkommen bei Gamatoto!|Hier kannst du Expeditionen aussenden,|um zu erkunden und Gegenstände zu finden!|＠|	//チュートリアルポップアップ1：ガマトト画面に初遷移時
Die Garderobe ist freigeschaltet!|Ändere das Aussehen deines Gamatotos!|*Outfits ändern Gamatoto-Fähigkeiten nicht.|＠|														//チュートリアルポップアップ2：ガマトト画面に初遷移時（撤廃のため空ダミー）
Tippe auf Gamatoto und|wähle ein Gebiet zum Erkunden!|＠|									//チュートリアルポップアップ3：ガマトト画面に初遷移時
Appell freigeschaltet!|Organisiere deine Gamatoto-Helfer!|＠|														//チュートリアルポップアップ4：初エリア選択画面時（撤廃のため空ダミー）
＠|＠|＠|														//チュートリアルポップアップ5：初エリア選択画面時（撤廃のため空ダミー）
＠|＠|＠|														//チュートリアルポップアップ6：初エリア選択画面時（撤廃のため空ダミー）
Tippe auf Gamatoto und|prüfe das Ergebnis deiner Expedition!|＠|										//チュートリアルポップアップ7：初帰還画面時
| verbrauchen, um Expeditionszeit |um %d Stunde(n) zu verkürzen. OK?|＠|									//探索中　：ネコビタン使用時
Expedition beendet!|Gamatoto hat XP erhalten!|＠|＠|													//帰還画面：探検成功時
Überragender Erfolg!|1,5-fache XP für Gamatoto!|＠|＠|													//帰還画面：探検大成功時
Gamatoto ist in der Stufe aufgestiegen!|Stufe %d erreicht!|＠|										//帰還画面：レベルアップ時
Gamatoto-Expedition abbrechen?|Es gibt keine Belohnungen …|＠|							//探険中　：強制帰還時
Kein Katzamin verfügbar.|Im Gegenstände-Shop kaufen?|＠|							//探険中　：ネコビタンが不足時（アイテムショップ誘導）
Gegenstand entdeckt! || erhalten.|＠|											//帰還画面：探検ログ中のアイテム獲得時
Expeditionszeit um | Stunde(n) verkürzt!|＠|											//探検中　：ネコビタン使用後
Aktivieren, um benachrichtigt zu werden,|wenn Gamatoto zurückkehrt.|(Auch bei Fertigstellung der Basis!)|＠|								//チュートリアルポップアップ5-1：探険終了通知を押したときのポップアップ
Gamatoto is endlich aus der Region|zurückgekehrt.|＠|											//帰還画面：探検ログ終了時の決まりセリフ
Ein neues Gebiet wurde entdeckt!|＠|											//帰還画面：エリア解放
Gamatoto ist in der Stufe aufgestiegen!|Stufe %d erreicht!|Ein neues Outfit ist verfügbar!|＠|							//帰還画面：レベルアップ+ガマトト装備変更時
Die Expedition ist zu voll!|Jemanden nach Hause schicken?|＠|							//探索選択択画面：隊員が上限をオーバーした時
%s wird nach Hause geschickt.|Bist du sicher?|＠|						//隊員画面：脱退ボタンを押した後
Du hast %s rekrutiert!|＠|												//帰還画面：隊員加入時
(%s)|＠|														//にゃんこ隊員：レア度表示用括弧
Mitglieder:|%d||＠|														//にゃんこ隊員：現在のにゃんこ隊員数
erhalten: ||%s ! (%d → |)|												//結果画面：探検で取得した数、探検前所持個数→探検後所持個数、表示時
Katzenbatzen entdeckt!|Schaue Werbung an, um sie auszugraben!|Graben?|＠|						//基本画面：広告用ネコカンアイコンタップ時
Du kannst %s aussenden, um dem |Ototo-Trupp zu helfen! Wie wärs?|＠|						//隊員画面：脱退画面にて「はい」を押した後
Zu viele Ingenieure. Dieser Assistent wird|für immer entlassen.|Bist du sicher?|＠|				//隊員画面：脱退画面にて「はい」を押した後助手定員時
Legendäre Helfer freigeschaltet!|Helfer auf Legendenstufe jetzt verfügbar.|＠|								//にゃんこ隊員：レジェンド隊員解放
