Aqua-Kristall|Angriffe gegen Aliens|sind bedeutend stärker!|
Plasma-Kristall|Angriffe gegen Aliens|sind bedeutend stärker!|
Uralte Steintafel|Die Verteidigung deiner Katzenbasis|ist erhöht!|
Geheimnisvolle Kraft|Die Nachladezeit der Katzenkanone|wurde verringert!|
Kosmische Energie|Angriffe der Katzenkanone|sind jetzt bedeutend stärker!|
Frucht der Leere|Fähigkeiten sind effektiver|gegen schwarze Feinde!|
Blutfrucht|Fähigkeiten sind effektiver|gegen rote Feinde!|
Himmelsfrucht|Fähigkeiten sind effektiver|gegen fliegende Feinde!|
Himmlische Frucht|Fähigkeiten sind effektiver|gegen Engel-Feinde!|
Zeitmaschine|Geschwindigkeit der|Energieauffüllung erhöht!|
Zukunftstechnologie|Maximalenergie|erhöht!|
? ? ?|Es wurden noch nicht alle|erforderlichen Schätze gesammelt.|
? ? ?|Sammle alle Schätze und erhöhe|die Angriffskraft gegen Aliens!|
? ? ?|Sammle alle Schätze und erhöhe|die Angriffskraft gegen Aliens!|
? ? ?|Sammle alle Schätze und erhöhe|die Katzenbasis-Verteidigung!|
? ? ?|Sammle alle Schätze und beschleunige|das Nachladetempo der Katzenkanone!|
? ? ?|Sammle alle Schätze und erhöhe|die Angriffskraft der Katzenkanone!|
? ? ?|Sammle alle Schätze und erhöhe den|Spezialangriff gegen schwarze Feinde!|
? ? ?|Sammle alle Schätze und erhöhe den|Spezialangriff gegen rote Feinde!|
? ? ?|Sammle alle Schätze und erhöhe den|Spezialangriff gegen fliegende Feinde!|
? ? ?|Sammle alle Schätze und erhöhe den|Spezialangriff gegen Engel-Feinde!|
? ? ?|Sammle alle Schätze und beschleunige|die Energieauffüllung!|
? ? ?|Sammle alle Schätze und erhöhe|die Maximalenergie!|
