item_pack_name_0	ลดราคาบูสเตอร์: แพ็กอาหารแมว!
item_pack_name_1	ลดราคาบูสเตอร์: แพ็กอาหารแมวซูเปอร์!
item_pack_name_2	ลดราคาบูสเตอร์: แพ็กอาหารแมวอูเบอร์!
item_pack_name_3	ลดราคาบลิตซ์: เซ็ตอาหารแมวพิเศษ
item_pack_name_4	ลดราคาบลิตซ์: เซ็ตอาหารแมวซูเปอร์
item_pack_name_5	ลดราคาบลิตซ์: เซ็ตอาหารแมวอูเบอร์
item_pack_name_6	ข้อเสนอพิเศษ: ซื้อตั๋วแรร์หนึ่งใบ!
item_pack_name_7	ข้อเสนอพิเศษ: ตั๋วแพลตินัม!
item_pack_name_11	ซื้อแพ็กเริ่มต้นแพลตินัม!
item_pack_name_12	
item_pack_name_13	แพ็กสิงห์ชากูเรล
item_pack_name_14	แพ็กเสือชากูเรล
item_pack_name_15	แพ็กแพนด้าชากูเรล
item_pack_name_17	แพ็กขอบคุณ
item_pack_name_18	ลดราคาจำกัด: ซิลเวอร์
item_pack_name_19	ลดราคาจำกัด: โกลด์
item_pack_name_20	ลดราคาจำกัด: แพลตินัม
item_pack_purchased_title	<flash>%@</flash><br>
item_pack_purchased_item	%@ x %d → <color=255,255,0>%d</color><br>
item_pack_purchased_xp	%@ %d → <color=255,255,0>%d</color><br>
item_pack_purchased_ticket	%@ x %d → <color=255,255,0>%d</color><br>
battle_result_first_clear_bonus	<color=255,255,0>รางวัลเคลียร์ครั้งแรก</color><br>คุณได้รับ<flash>อาหารแมว 30 กระป๋อง!!</flash><br>คุณยังได้เก็บสะสม <flash>1 ความเป็นผู้นำ!!</flash>
user_rank_gift_1600_catseye_unlocked	<flash>เพิ่มเพดานเลเวลของคุณ!</flash><br>ใช้ตาแมวกับแมวบางตัว<br>เพื่อปลดล็อกเลเวลที่สูงขึ้นให้พวกมัน!
user_rank_popup_title1	<color=255,255,0>ภารกิจอันดับผู้ใช้</color><br>
user_rank_popup_title2	<flash>อันดับผู้ใช้ %d เคลียร์แล้ว!</flash><br>
user_rank_popup_title3	<color=255,255,0>ได้อันดับผู้ใช้ ${rankNum} แล้ว!</color><br>รับรางวัลเลยหรือไม่?
user_rank_full_recovery_energy	คุณได้เก็บสะสม <flash>1 ความเป็นผู้นำ!</flash>
data_upload_error_catfood_20000	ข้อมูลอาจไม่ได้บันทึกไว้ เพราะดูเหมือนว่ามันถูกเปลี่ยนแปลงหรือถูกแฮ็ก โปรดติดต่อฝ่ายสนับสนุนผู้ใช้งาน
energy_connecting	กำลังอัปเดตข้อมูล...
energy_connection_failed1	ข้อผิดพลาดการอัปเดตข้อมูลพลังงาน
energy_connection_failed2	โปรดตรวจสอบการเชื่อมต่อของคุณและลองอีกครั้ง
energy_fraud1	เวลาที่อุปกรณ์ของคุณอาจถูกเปลี่ยน
energy_fraud2	พลังงานจะไม่ฟื้นฟูเป็นเวลาสั้นๆ
gamatoto_connection	กำลังอัปเดตข้อมูล...
gamatoto_connection_failed	ข้อผิดพลาดการคำนวนเวลาการสำรวจ ตรวจสอบการเชื่อมต่อของคุณและรีบูตแอป
gamatoto_fraud	เวลาที่อุปกรณ์ของคุณอาจถูกเปลี่ยน พลังงานจะไม่ฟื้นฟูเป็นเวลาสั้นๆ
reset_item_reward	<color=255,255,0>เติมรางวัลแล้ว!</color><br>รางวัลเคลียร์ด่านก่อนหน้านี้มีพร้อมให้รับอีกครั้ง<br>ทำภารกิจให้สำเร็จเพื่อรับรางวัลเหล่านี้อีกครั้ง!
reset_tower_state	<color=255,255,0>รางวัล/สถานะเคลียร์รีเซ็ตแล้ว!</color><br>เงื่อนไขเคลียร์ด่านได้รีเซ็ตแล้วและ<br>สามารถรับรางวัลได้อีกครั้ง
reward_energy	โอกาสฟื้นฟูพลังงาน!<br>ดูวิดีโอเพื่อรับพลังงานคืน %d หน่วยหรือไม่?</flash>
receive_energy	พลังงาน %d หน่วยฟื้นฟูแล้ว
receive_energy_full	พลังงานทั้งหมดฟื้นฟูแล้ว
network_unavailable_energy	พลังงานไม่อัปเดต\nตรวจสอบเครือข่ายของคุณ!
network_unavailable_gamatoto	อาหารแมวไม่อัปเดต\nตรวจสอบเครือข่ายของคุณ!
001_img044.png	i001_img044_th.png
001_img044.imgcut	i001_img044_th.imgcut
001_img045.png	i001_img045_th.png
001_img045.imgcut	i001_img045_th.imgcut
021_e.png	i021_e_th.png
021_e.imgcut	i021_e_th.imgcut
slot_copy_select	คัดลอกยูนิตจากช่อง %d ได้<br>คัดลอกหรือแทนที่ยูนิตหรือไม่?
slot_copy	ยูนิตที่คัดลอกมาจากช่อง %d<br>ไปที่ช่องที่คุณต้องการและแตะที่แทนที่<br>
slot_paste	ช่องนี้จะถูกแทนที่ด้วยยูนิตจากช่อง %d <br>คุณแน่ใจหรือไม่?
instant_koyashi	กาชาเต็มสูงสุด 5 อันสามารถ<br>แลกเป็นตั๋วแรร์หนึ่งใบ<br>แลกกาชาเต็มสูงสุดหรือไม่?<br>(ต้องใช้กาชาที่แลกได้อีก %d อัน)
storage_koyashi	กาชาเต็มสูงสุดทั้งหมดจะถูกแลก<br>เพื่อรับตั๋วแรร์<br>คุณแน่ใจหรือไม่?<br>
have_koyashi	กาชา %d ลูกสามารถนำไปแลกได้
tutorial_favoriteUnit	แตะที่ ☆ ปุ่มเพื่อสลับระหว่าง<br>แสดงเฉพาะยูนิตโปรดของคุณหรือ<br>แสดงทุกยูนิตที่คุณได้มา
tutorial_favoriteUnit_pictureBook1	<color=255,255,0>ตั้งค่ารายการโปรดของคุณ ①</color><br>เมื่อคุณได้เลือกแมว<br>ตัวโปรดแล้ว คุณสามารถแตะที่ปุ่ม "ยืนยัน ☆"<br>เพื่อปิดเมนูตัวโปรด!
tutorial_favoriteUnit_pictureBook2	<color=255,255,0>ตั้งค่ารายการโปรดของคุณ ②</color><br>แตะปุ่มตัวกรองที่เมนูอัปเกรด<br>หรือเมนูติดตั้งเพื่อแสดงเฉพาะ<br>แมวที่คุณเลือกไว้ว่าเป็นตัวโปรดเท่านั้น!
everyplay_not_supported	อุปกรณ์นี้ไม่รองรับ
everyplay_no_related_videos	ไม่พบสื่อที่เกี่ยวข้อง
cat_challenge01	<flash>ยินดีต้อนรับสู่โรงฝึกเล็บแมว!</flash><br>การต่อสู้จับเวลากับศัตรูไม่จำกัดจำนวน<br>ปราบศัตรูให้มากที่สุดเท่าที่ทำได้เพื่อรับ<br>คะแนนสูงสุด! (ไม่ได้เงินจากศัตรูที่ปราบได้)
data_download_error_catfood_20000	ตรวจพบการปรับเปลี่ยนข้อมูลโดยไม่ได้รับอนุญาต ข้อมูลที่บันทึกไว้นี้อาจไม่ถูกโอนถ่ายไปอีกอุปกรณ์หนึ่ง โปรดติดต่อฝ่ายสนับสนุน PONOS
cat_challenge_item	ใช้เร่งความเร็วและ<br>ซีพียูแมวฟรีไม่จำกัดจำนวนระหว่างต่อสู้<br>ในโรงฝึกเล็บแมว!<br>※ การเปิดใช้งานบูสต์ความเร็วจะใช้ไอเทม
zombie_clear00	<flash>ควบคุมการระบาดใน${stageName}ได้แล้ว!</flash><br>ได้รับอาหารแมว 10 กระป๋อง!
zombie_clear01	<flash>คุ้มกันโซนกักกันได้แล้ว!</flash><br> อัตราดร็อปสมบัติ %@ เพิ่มขึ้น!
zombie_clear02	<flash> คุ้มกันโซนกักกันจักรวรรดิทั้งหมดได้แล้ว!</flash><br>พลังงานสูงสุดเพิ่มขึ้นอีก ${EnergyNum}!
zombie_clear03	<flash>อัตราดร็อปสมบัติเพิ่มขึ้นในด่านที่กำหนด!</flash><br>ดูข้อมูลได้ที่รายการสมบัติ!
zombie_clear04	<flash> คุ้มกันโซนกักกันอนาคตทั้งหมดได้แล้ว!</flash><br>พลังงานสูงสุดเพิ่มขึ้นอีก ${EnergyNum}!
zombie_clear05	<flash> คุ้มกันโซนกักกันห้วงอวกาศทั้งหมดได้แล้ว!</flash><br>พลังงานสูงสุดเพิ่มขึ้นอีก ${EnergyNum}!
zombie_area_00	โซนกักกันเอเชียตะวันออก
zombie_area_01	โซนกักกันมหาสมุทรอินเดีย
zombie_area_02	โซนกักกันรอยแยกหิมาลัย
zombie_area_03	โซนกักกันแอฟริกา
zombie_area_04	โซนกักกันแอลป์
zombie_area_05	โซนกักกันยูโรปตะวันตก
zombie_area_06	โซนกักกันแอตแลนติกเหนือ
zombie_area_07	โซนกักกันอเมริกาตะวันออก
zombie_area_08	โซนกักกันแปซิฟิก
zombie_area_09	โซนกักกันแฟร์แบงก์
zombie_area_10	โซนกักกันเมานาคี
receivedBoxText	ไอเทมที่ไม่ได้รับภายใน 30 วันจะถูกปิดใช้งาน
receive_version_error	อัปเดตเป็นเวอร์ชันล่าสุด<br>ก่อนรับรางวัลไอเทมของคุณ
receive_network_error	ข้อผิดพลาดการเชื่อมต่อ<br>ไม่สามารถรับไอเทมได้
receive_item_popup	%d %s
receive_item_popup_xp	%d %s
receive_item_popup_chara	ยูนิตแมว: %s
receive_item_popup_chara_evolve	ร่างจริง: %s
receive_item_popup_last	ได้รับแล้ว!
zombie_treasure	คุ้มกันโซนกักกันได้แล้ว!<br>อัตราดร็อปสมบัติของ %@ เพิ่มขึ้น!
zombie_treasure01	ทุกด่านในหน้านี้ปลอดภัยจากซอมบี้!<br>อัตราดร็อปสมบัติเพิ่มขึ้นในด่านเหล่านี้!
receive_list_network_error	ไม่สามารถแสดงได้เพราะมี<br>ข้อผิดพลาดการเชื่อมต่อ
receive_item_none_popup	คุณยังไม่มีไอเทม<br>ให้รับในปัจจุบัน
serial_error_popup	ไม่สามารถรับไอเทมได้<br>ถ้าคุณเชื่อว่ามีข้อผิดพลาด<br>โปรดติดต่อฝ่ายสนับสนุนผู้ใช้งาน
ponos_games_url	https://ponos.s3.amazonaws.com/iphone/en/battlecats.html
zombie_comp	คุ้มกันโซนกักกันได้แล้ว!<br>อัตราดร็อปสมบัติของ %@ เพิ่มขึ้น!<br>โลกปลอดภัยจากการบุกของซอมบี้!<br>พลังงานสูงสุดเพิ่มขึ้น!
zombie_comp01	ทุกด่านในหน้านี้ปลอดภัยจากซอมบี้!<br>อัตราดร็อปสมบัติเพิ่มขึ้นในด่านเหล่านี้!<br>ทุกพื้นที่ปลอดภัยจากซอมบี้!<br>พลังงานแมวสูงสุดเพิ่มขึ้น!
zombie_comp02	ทุกด่านในโซนนี้คุ้มกันแล้ว!<br>อัตราดร็อปสมบัติเพิ่มขึ้นในด่านเหล่านี้!<br>ทุกโซนกักกันในห้วงอวกาศได้รับการปกป้อง!
Space09_Invasion_stageclear_txt1	<flash>คุณได้ปราบศัตรูทรงพลังลงได้!</flash><br>แมวฟิลิบัสเตอร์ X ยูนิตพิเศษ<br>ได้สาบานว่าจะภักดีกับกองทัพแมวของคุณ!<br> รับได้ที่เมนูอัปเกรด!
maxcollab_mg	ยูนิตคอลแลบไม่พร้อมนอกช่วงเวลาอีเวนต์คอลแลบ
maxcollab_popup	<flash>คุณได้รับแมวพิเศษ: "%@"!</flash><br>เปิดใช้งานมันได้ที่เมนูอัปเกรด!
slot_set_error	<color=255,255,0>คุณไม่มียูนิตแมวที่เลือกไว้สำหรับกองทัพของคุณ!</color>
shop_category1	ไอเทมทำศึก
shop_category2	XP
shop_category3	กามาโตโต้
