คริสตัลอะควา|การโจมตีเอเลี่ยนไม่ติดดาว|ทรงพลังเพิ่มขึ้นมาก!|
คริสตัลพลาสม่า|การโจมตีเอเลี่ยนไม่ติดดาว|ทรงพลังเพิ่มขึ้นมาก!|
แผ่นจารึกโบราณ|การป้องกันฐานทัพแมวของคุณ|เพิ่มขึ้น|
พลังลึกลับ|เวลารีชาร์จปืนใหญ่แมว|ลดลง!|
พลังงานจักรวาล|การโจมตีของปืนใหญ่แมว|ตอนนี้ทรงพลังเพิ่มขึ้นมาก!|
ผลไม้สุญญะ|ความสามารถที่ใช้กับศัตรูสีดำ|มีประสิทธิภาพขึ้นมาก!|
ผลไม้เลือด|ความสามารถที่ใช้กับศัตรูสีสีแดง|มีประสิทธิภาพขึ้นมาก!|
ผลไม้ท้องฟ้า|ความสามารถที่ใช้กับศัตรูลอย|มีประสิทธิภาพขึ้นมาก!|
ผลไม้สวรรค์|ความสามารถที่ใช้กับศัตรูเทพ|มีประสิทธิภาพขึ้นมาก!|
เครื่องเดินทางข้ามเวลา|ความเร็วฟื้นฟูพลังงาน|เพิ่มขึ้น!|
เทคอนาคต|ปริมาณพลังงานรวมสูงสุด|เพิ่มขึ้น!|
? ? ?|สมบัติที่ต้องใช้ทั้งหมด|ยังไม่ได้มา|
? ? ?|ได้สมบัติทั้งหมดเพื่อเพิ่ม|พลังโจมตีต่อเอเลี่ยน!|
? ? ?|ได้สมบัติทั้งหมดเพื่อเพิ่ม|พลังโจมตีต่อเอเลี่ยน!|
? ? ?|ได้สมบัติทั้งหมดเพื่อเพิ่ม|การป้องกันฐานทัพแมว!|
? ? ?|ได้สมบัติทั้งหมดเพื่อเร่งความเร็ว|เวลารีชาร์จปืนใหญ่แมว!|
? ? ?|ได้สมบัติทั้งหมดเพื่อเพิ่ม|พลังโจมตีปืนใหญ่แมว!|
? ? ?|ได้สมบัติทั้งหมดเพื่อเพิ่มเอฟเฟกต์|พลังโจมตีพิเศษต่อดำ!|
? ? ?|ได้สมบัติทั้งหมดเพื่อเพิ่มเอฟเฟกต์|พลังโจมตีพิเศษต่อแดง!|
? ? ?|ได้สมบัติทั้งหมดเพื่อเพิ่มเอฟเฟกต์|พลังโจมตีพิเศษต่อลอย!|
? ? ?|ได้สมบัติทั้งหมดเพื่อเพิ่มเอฟเฟกต์|พลังโจมตีพิเศษต่อเทพ!|
? ? ?|ได้สมบัติทั้งหมดเพื่อเร่งความเร็ว|เวลาฟื้นฟูพลังงาน!|
? ? ?|ได้สมบัติทั้งหมดเพื่อเพิ่ม|ปริมาณพลังงานสูงสุด!|
