textID|テキスト内容
1|ได้รับความสามารถ "ลดโจมตี"<br>เลเวลอัปเพื่อทำให้ศัตรูลดโจมตีนานยิ่งขึ้น!
2|ได้รับความสามารถ "หยุดการเคลื่อนไหว"<br>เลเวลอัปเพื่อหยุดการเคลื่อนไหวศัตรูนานยิ่งขึ้น!
3|ได้รับความสามารถ "ชะลอ"<br>เลเวลอัปเพื่อทำให้ศัตรูชะลอนานยิ่งขึ้น!
4|ได้รับความสามารถ "โจมตีเฉพาะ"
5|ได้รับความสามารถ "แข็งแกร่ง"
6|ได้รับความสามารถ "อึด"
7|ได้รับความสามารถ "ดาเมจมหาศาล"
8|ได้รับความสามารถ "กระแทกกลับ"<br>เลเวลอัปเพื่อเพิ่มโอกาสกระแทกกลับ!
9|ได้รับความสามารถ "วาร์ป"
10|ได้รับความสามารถ "เสริมแกร่ง"<br>เลเวลอัปเพื่อเพิ่มพลังโจมตียิ่งขึ้นเมื่อเปิดใช้งาน!
11|ได้รับความสามารถ "รอดชีวิต"<br>เลเวลอัปเพื่อเพิ่มโอกาสรอดชีวิต!
12|ได้รับความสามารถ "จอมทำลายฐาน"
13|ได้รับความสามารถ "คริติคอล"<br>เลเวลอัปเพื่อเพิ่มโอกาสโจมตีคริติคอล!
14|ได้รับความสามารถ "นักฆ่าซอมบี้"
15|ได้รับความสามารถ "นักทะลวงบาเรีย"<br>เลเวลอัปเพื่อเพิ่มโอกาสทำลายบาเรีย!
16|ได้รับความสามารถ "เงินเพิ่มขึ้น"
17|ได้รับความสามารถ "คลื่นโจมตี"<br>เลเวลอัปเพื่อเพิ่มโอกาสคลื่นโจมตี!
18|ได้รับความสามารถ "ทนต่ออ่อนแอ"<br>เลเวลอัปเพื่อเพิ่มการทนทานยิ่งขึ้น!
19|ได้รับความสามารถ "ทนต่อการหยุดการเคลื่อนไหว"<br>เลเวลอัปเพื่อเพิ่มความทนทานยิ่งขึ้น!
20|ได้รับความสามารถ "ทนต่อชะลอ"<br>เลเวลอัปเพื่อเพิ่มการทนทานยิ่งขึ้น!
21|ได้รับความสามารถ "ทนต่อกระแทกกลับ"<br>เลเวลอัปเพื่อเพิ่มการทนทานยิ่งขึ้น!
22|ได้รับความสามารถ "ทนต่อคลื่น"<br>เลเวลอัปเพื่อเพิ่มการทนทานยิ่งขึ้น!
23|ได้รับความสามารถ "ภูมิต้านทานต่อคลื่นโจมตี"
24|ได้รับความสามารถ "ทนต่อวาร์ป"<br>เลเวลอัปเพื่อเพิ่มการทนทานยิ่งขึ้น!
25|ได้รับความสามารถ "ภูมิต้านทานต่อคำสาป"
26|ได้รับความสามารถ "ทนต่อคำสาป"<br>เลเวลอัปเพื่อเพิ่มการทนทานยิ่งขึ้น!
27|พลังป้องกันของยูนิตจะเพิ่มขึ้น<br>เลเวลอัปเพื่อเพิ่มการป้องกันยิ่งขึ้น!
28|พลังโจมตีของยูนิตจะเพิ่มขึ้น<br>เลเวลอัปเพื่อเพิ่มการโจมตียิ่งขึ้น!
29|ความเร็วเคลื่อนที่ของยูนิตจะเพิ่มขึ้น<br>เลเวลอัปเพื่อเพิ่มความเร็วยิ่งขึ้น!
30|อัตราการกระแทกกลับของยูนิตจะดีขึ้น<br>เลเวลอัปเพื่อเพิ่มโอกาสกระแทกกลับ!
31|ราคาของยูนิตจะลดลง<br>เลเวลอัปเพื่อยิ่งลดราคามากขึ้น!
32|เวลาฟื้นฟูของยูนิตจะสั้นลง<br>เลเวลอัปเพื่อฟื้นฟูให้เร็วยิ่งขึ้น!
33|ศัตรูเป้าหมาย: แดงจะเพิ่มเข้ามา
34|ศัตรูเป้าหมาย: ลอยจะเพิ่มเข้ามา
35|ศัตรูเป้าหมาย: ดำจะเพิ่มเข้ามา
36|ศัตรูเป้าหมาย: โลหะจะเพิ่มเข้ามา
37|ศัตรูเป้าหมาย: เทพจะเพิ่มเข้ามา
38|ศัตรูเป้าหมาย: เอเลี่ยนจะเพิ่มเข้ามา
39|ศัตรูเป้าหมาย: ซอมบี้จะเพิ่มเข้ามา
40|ศัตรูเป้าหมาย: ซากวัตถุจะเพิ่มเข้ามา
41|ศัตรูเป้าหมาย: ไร้คุณสมบัติจะเพิ่มเข้ามา
42|อัปเกรดความสามารถ "ลดโจมตี"<br>เลเวลอัปเพื่อทำให้ศัตรูลดโจมตีนานยิ่งขึ้น!
43|อัปเกรดความสามารถ "หยุดการเคลื่อนไหว"<br>เลเวลอัปเพื่อหยุดการเคลื่อนไหวศัตรูนานยิ่งขึ้น!
44|อัปเกรดความสามารถ "ชะลอ"<br>เลเวลอัปเพื่อทำให้ศัตรูชะลอนานยิ่งขึ้น!
45|อัปเกรดความสามารถ "กระแทกกลับ"<br>เลเวลอัปเพื่อเพิ่มโอกาสกระแทกกลับ!
46|อัปเกรดความสามารถ "เสริมแกร่ง"<br>เลเวลอัปเพื่อเพิ่มพลังโจมตียิ่งขึ้นเมื่อเปิดใช้งาน!
47|อัปเกรดความสามารถ "รอดชีวิต"<br>เลเวลอัปเพื่อเพิ่มโอกาสรอดชีวิต!
48|อัปเกรดความสามารถ "คริติคอล"<br>เลเวลอัปเพื่อเพิ่มโอกาสโจมตีคริติคอล!
49|อัปเกรดความสามารถ "นักทะลวงบาเรีย"<br>เลเวลอัปเพื่อเพิ่มโอกาสทำลายบาเรีย!
50|อัปเกรดความสามารถ "คลื่นโจมตี"<br>เลเวลอัปเพื่อเพิ่มโอกาสคลื่นโจมตี!
51|อัปเกรดความสามารถ "วาร์ป":<br>เลเวลอัปเพื่อขยายเวลาวาร์ปให้นานขึ้น!
52|ได้รับความสามารถ "คริติคอล"
53|ได้รับความสามารถ "มีภูมิต้านอ่อนแอ"
54|ได้รับความสามารถ "มีภูมิต้านการหยุดการเคลื่อนไหว"
55|ได้รับความสามารถ "มีภูมิต้านชะลอ"
56|ได้รับความสามารถ "มีภูมิต้านกระแทกกลับ"
57|ได้รับความสามารถ "มีภูมิต้านคลื่นโจมตี"
58|ได้รับความสามารถ "ตัวบล็อกวาร์ป"
59|ปลดล็อกความสามารถ "ฟาดฟันป่าเถื่อน"<br>เลเวลอัปเพื่อเพิ่มโจมตีแบบฟาดฟันป่าเถื่อน!
60|ปลดล็อกความสามารถ "หลบหลีก" <br>เลเวลอัปเพื่อขยายเวลาเอฟเฟกต์หลบหลีก!
61|อัปเกรดความสามารถ "ฟาดฟันป่าเถื่อน"<br>เลเวลอัปเพื่อเพิ่มโอกาสโจมตีแบบฟาดฟันป่าเถื่อน!
62|อัปเกรดความสามารถ "หลบหลีก" <br>เลเวลอัปเพื่อขยายเวลาเอฟเฟกต์หลบหลีก!
63|อัปเกรดความสามารถ "ชะลอ" <br>เลเวลอัปเพื่อเพิ่มโอกาสชะลอศัตรู!
64|ปลดล็อกความสามารถ "ทนต่อพิษ"<br>เลเวลอัปเพื่อลดดาเมจจากการโจมตีด้วยพิษเพิ่มขึ้นอีก!
65|ได้รับความสามารถ "มีภูมิต้านพิษ"
66|ปลดล็อกความสามารถ "ทนโจมตีโหมกระหน่ำ"<br>เลเวลอัปเพื่อลดดาเมจจากการโจมตีโหมกระหน่ำเพิ่มขึ้นอีก!
67|ได้รับความสามารถ "มีภูมิต้านโจมตีโหมกระหน่ำ"
68|ปลดล็อกความสามารถ "โจมตีโหมกระหน่ำ"<br>เลเวลอัปเพื่อเพิ่มโอกาสโจมตีโหมกระหน่ำ!
