item_pack_name_0	Ofertón: ¡Lote de Friskas!
item_pack_name_1	Ofertón: ¡Superlote de Friskas!
item_pack_name_2	Ofertón: ¡Megalote de Friskas!
item_pack_name_3	Oferta relámpago: ¡Lote de Friskas especial!
item_pack_name_4	Oferta relámpago: ¡Superlote de Friskas!
item_pack_name_5	Oferta relámpago: ¡Megalote de Friskas!
item_pack_name_6	Oferta especial: ¡Un tique raro!
item_pack_name_7	Oferta especial: ¡Un tique de platino!
item_pack_name_11	¡Compra el lote de inicio de platino!
item_pack_name_12	
item_pack_name_13	¡Lote de León Shakurel!
item_pack_name_14	¡Lote de Tigre Shakurel!
item_pack_name_15	¡Lote de Panda Shakurel!
item_pack_name_17	Lote de agradecimiento
item_pack_name_18	Oferta exclusiva: Plata
item_pack_name_19	Oferta exclusiva: Oro
item_pack_name_20	Oferta exclusiva: Platino
item_pack_purchased_title	<flash>%@</flash><br>
item_pack_purchased_item	%@ x %d → <color=255,255,0>%d</color><br>
item_pack_purchased_xp	%@ %d → <color=255,255,0>%d</color><br>
item_pack_purchased_ticket	%@ x %d → <color=255,255,0>%d</color><br>
battle_result_first_clear_bonus	<color=255,255,0>¡Premio por superar la fase por primera vez!</color><br>Has ganado <flash>30 Friskas</flash>.<br>También te llevas <flash>1 liderazgo</flash>.
user_rank_gift_1600_catseye_unlocked	<flash>¡Aumenta tu nivel máximo!</flash><br>Utiliza gatojos para desbloquear<br>más niveles para algunos gatos.
user_rank_gift_no_more	<color=255,255,0>Ya has desbloqueado todos los premios disponibles...<br>¡Pero pronto habrá más!</color>
user_rank_popup_title1	<color=255,255,0>Misión de rango total</color><br>
user_rank_popup_title2	<flash>¡Rango total %d alcanzado!</flash><br>
user_rank_popup_title3	<color=255,255,0>¡Rango total ${rankNum} alcanzado!</color><br>¿Quieres recoger tu premio?
user_rank_full_recovery_energy	¡Has ganado <flash>1 liderazgo</flash>!
data_upload_error_catfood_20000	Parece que los datos han sido modificados o hackeados, por lo que quizá no se guarden. Contacta con atención al usuario.
energy_connecting	Actualizando datos...
energy_connection_failed1	Error al actualizar los datos de energía.
