＠|＠|＠|						//「0」の時の解放文章
การสำรวจของกามาโตโต้|ต้องมีเลเวล 3 จึงจะสามารถ|เข้าไปในพื้นที่นี้ได้|						//「1」の時の解放文章
การสำรวจของกามาโตโต้|ต้องมีเลเวล 6 จึงจะสามารถ|เข้าไปในพื้นที่นี้ได้|						//「2」の時の解放文章
คุณจะต้องมีอันดับผู้ใช้ 600|และกามาโตโต้เลเวล 10|จึงจะเข้าไปในพื้นที่นี้ได้|						//「3」の時の解放文章
คุณจะต้องมีอันดับผู้ใช้ 900|และกามาโตโต้เลเวล 14|จึงจะเข้าไปในพื้นที่นี้ได้|						//「4」の時の解放文章
คุณจะต้องมีอันดับผู้ใช้ 1600|และกามาโตโต้เลเวล 19|จึงจะเข้าไปในพื้นที่นี้ได้|						//「5」の時の解放文章
การสำรวจของกามาโตโต้|ต้องมีเลเวล 24 จึงจะสามารถ|เข้าไปในพื้นที่นี้ได้|						//「6」の時の解放文章
การสำรวจของกามาโตโต้|ต้องมีเลเวล 30 จึงจะสามารถ|เข้าไปในพื้นที่นี้ได้|						//「7」の時の解放文章
การสำรวจของกามาโตโต้|ต้องมีเลเวล 36 จึงจะสามารถ|เข้าไปในพื้นที่นี้ได้|						//「8」の時の解放文章
การสำรวจของกามาโตโต้|ต้องมีเลเวล 43 จึงจะสามารถ|เข้าไปในพื้นที่นี้ได้|						//「9」の時の解放文章
การสำรวจของกามาโตโต้|ต้องมีเลเวล 50 จึงจะสามารถ|เข้าไปในพื้นที่นี้ได้|						//「10」の時の解放文章
การสำรวจของกามาโตโต้|ต้องมีเลเวล 58 จึงจะสามารถ|เข้าไปในพื้นที่นี้ได้|						//「11」の時の解放文章
การสำรวจของกามาโตโต้|ต้องมีเลเวล 67 จึงจะสามารถ|เข้าไปในพื้นที่นี้ได้|						//「12」の時の解放文章
การสำรวจของกามาโตโต้|ต้องมีเลเวล 72 จึงจะสามารถ|เข้าไปในพื้นที่นี้ได้|						//「13」の時の解放文章
การสำรวจของกามาโตโต้|ต้องมีเลเวล 83 จึงจะสามารถ|เข้าไปในพื้นที่นี้ได้|						//「14」の時の解放文章
เข้าไปในพื้นที่นี้ด้วย|กามาโตโต้เลเวล 88|เท่านั้น|//「15」の時の解放文章
จึงจะเข้าไปในพื้นที่นี้ได้|คุณจะต้องมีอันดับผู้ใช้ 5000+|และกามาโตโต้เลเวล 50+|//「16」の時の解放文章
