item_pack_name_0	Promo booster : pack de Miam !
item_pack_name_1	Promo booster : superpack de Miam !
item_pack_name_2	Promo booster : pack de Miam ultra !
item_pack_name_3	Vente limitée : ensemble de Miam spécial !
item_pack_name_4	Vente limitée : ensemble de super Miam !
item_pack_name_5	Vente limitée : ensemble de Miam ultra !
item_pack_name_6	Offre spéciale : achète un ticket rare !
item_pack_name_7	Offre spéciale : ticket platine !
item_pack_name_11	Achète le pack de démarrage platine !
item_pack_name_12	
item_pack_name_13	Pack Lion de Shakurel
item_pack_name_14	Pack Tigre de Shakurel
item_pack_name_15	Pack Panda de Shakurel
item_pack_name_17	Pack de remerciement
item_pack_name_18	Promo à durée limitée : argent
item_pack_name_19	Promo à durée limitée : or
item_pack_name_20	Promo à durée limitée : platine
item_pack_purchased_title	<flash>%@</flash><br>
item_pack_purchased_item	%@ x %d → <color=255,255,0>%d</color><br>
item_pack_purchased_xp	%@ %d → <color=255,255,0>%d</color><br>
item_pack_purchased_ticket	%@ x %d → <color=255,255,0>%d</color><br>
battle_result_first_clear_bonus	<color=255,255,0>Première récompense de niveaux terminés</color><br>Tu as reçu <flash>30 Miam !!</flash><br>Tu as aussi reçu <flash>1 Autorité !!</flash>
user_rank_gift_1600_catseye_unlocked	<flash>Augmente ton niveau maximum !</flash><br>Utilise un œil-de-chat sur certaines unités<br>pour qu’elles accèdent à des niveaux supérieurs !
user_rank_gift_no_more	<color=255,255,0>Tu as débloqué toutes les récompenses disponibles<br>pour le moment… Il y en aura bientôt d’autres !</color>
user_rank_popup_title1	<color=255,255,0>Mission Rang joueur</color><br>
user_rank_popup_title2	<flash>Rang joueur %d terminé !</flash><br>
user_rank_popup_title3	<color=255,255,0>Rang joueur ${rankNum} atteint !</color><br>Récupérer ta récompense ?
user_rank_full_recovery_energy	Tu as reçu <flash>1 Autorité !</flash>
data_upload_error_catfood_20000	Il se peut que les données ne se sauvegardent pas car elles ont été modifiées ou piratées. Merci de contacter l'assistance.
energy_connecting	Mise à jour des données...
energy_connection_failed1	Erreur de mise à jour des données Charburant.
energy_connection_failed2	Vérifie ta connexion et réessaie.
energy_fraud1	Il se peut que l’horaire de l’appareil ait été modifié.
energy_fraud2	Récupération du Charburant interrompue pendant un certain temps.
gamatoto_connection	Mise à jour des données...
gamatoto_connection_failed	Erreur de calcul du temps d’expédition. Vérifie ta connexion, puis redémarre l’application.
gamatoto_fraud	Il se peut que l’horaire de l’appareil ait été modifié. La récupération du Charburant sera interrompue pendant un certain temps.
reset_item_reward	<color=255,255,0>Dispo des récompenses restaurée !</color><br>Les récompenses effacées sont à nouveau proposées.<br>Achève des tâches pour les regagner !
reset_tower_state	<color=255,255,0>Récompenses/Niveaux terminés de retour !</color><br>Les niveaux et les récompenses sont<br>de nouveau disponibles.
reward_energy	Chance de récupérer du Charburant !<br>Regarder une vidéo pour te réapprovisionner de %d Charburant ?</flash>
receive_energy	%d Charburant récupéré.
receive_energy_full	Charburant récupéré en totalité.
network_unavailable_energy	Charburant non actualisé.\nVérifie ta connexion !
network_unavailable_gamatoto	Miam non actualisé.\nVérifie ta connexion !
001_img044.png	i001_img044_fr.png
001_img044.imgcut	i001_img044_fr.imgcut
001_img045.png	i001_img045_fr.png
001_img045.imgcut	i001_img045_fr.imgcut
021_e.png	i021_e_fr.png
021_e.imgcut	i021_e_fr.imgcut
slot_copy_select	Il est possible de copier les unités depuis l'emplacement %d.<br>Copier ou remplacer les unités ?
slot_copy	Unités copiées depuis l'emplacement %d.<br>Rends-toi sur l'emplacement de ton choix puis appuie sur Remplacer.<br>
slot_paste	Cet emplacement sera remplacé avec les unités de l'emplacement %d. <br>Tu confirmes ?
instant_koyashi	Il est possible d'échanger<br>5 Chapsules pleines à craquer contre un ticket rare.<br>Échanger des Chapsules pleines ?<br>(%d autres Chapsules valables nécessaires)
storage_koyashi	Toutes les Chapsules pleines à craquer seront échangées<br>contre un ou plusieurs ticket(s) rare(s).<br>Tu confirmes ?<br>
have_koyashi	%d Les Chapsules sont valables pour l'échange.
tutorial_favoriteUnit	Touche le bouton ☆ pour<br>afficher uniquement tes unités préférées ou<br>toutes les unités que tu as obtenues.
tutorial_favoriteUnit_pictureBook1	<color=255,255,0>Paramétrer tes Favoris ①</color><br>Après avoir choisi tes Chats<br>préférés, touche le bouton "Confirmer ☆"<br>pour fermer le menu des Favoris !
tutorial_favoriteUnit_pictureBook2	<color=255,255,0>Paramétrer tes Favoris ②</color><br>Touche le bouton Filtrer dans Améliorer<br>ou Organiser pour n'afficher QUE<br>les Chats marqués en Favoris !
everyplay_not_supported	Cet appareil n'est pas pris en charge.
everyplay_no_related_videos	Aucun support associé n'a été trouvé.
cat_challenge01	<flash>Toutes les zones de quarantaines sont sécurisées !</flash><br>Quantité maximum de Charburant augmentée de %d !
data_download_error_catfood_20000	Manipulation de données détectée. Il se peut que cette sauvegarde des données ne soit pas transférée vers un autre appareil. Merci de contacter l'assistance de PONOS.
