Tu as eu 20 Miam !<br>Q : quel âge a The Battle Cats ?<br>Indice : regarde l’écran titre !	Jour 1
Tu as eu 1 boîte mystère !<br>Q : à quoi sert une boîte mystère ?<br>Indice : observe les Chapsules !	Jour 2
Tu as eu 1 ticket rare !<br>Q : que peut-on gagner<br>aux Machines à sous Chat sauvage ?<br>Indice : un objet spécial !	Jour 3
Tu as eu 1 boîte mystère !<br>Q : dans quel niveau<br>apparaît Toutou gâteau ?<br>Indice : un niveau anniversaire !	Jour 4
Tu as eu 1 ticket rare !<br>Q : combien y a-t-il de niveaux<br>"Qu’y a-t-il dans la boîte" ?<br>Indice : Empire ch. 1 niv. 1 à Népal.	Jour 5
Tu as eu 1 boîte mystère !<br>Q : qui apparaît sur le chapeau<br>du Chat dans la base féline ?<br>Indice : c’est un alphabet précis.	Jour 6
Tu as eu 1 ticket rare !<br>Q : que gagne-t-on en réussissant<br>L’empire des Chats ch. 1 ?<br>Indice : uniquement à cet événement !	Jour 7
Tu as eu 1 boîte mystère !<br>Q : sur quoi sont les<br>Chats des niveaux  ’’Qu’y a-t-il dans la boîte’’ ?<br>Indice : ils vont partout avec !	Jour 8
Tu as eu 20 Miam !<br>Q : quelles unités sont à<br>moitié prix pendant l’événement ?<br>Indice : ouvre le menu Améliorer !	Jour 9
Tu as eu 1 ticket rare !<br>Q : combien de tampons as-tu<br>reçus pour cet événement ?<br>Indice : tu es environ à mi-chemin.	Jour 10
Tu as eu 1 boîte mystère !<br>Q : combien de tours des<br>Machines à sous Chat sauvage ?<br>Indice : pense aux tours bonus !	Jour 11
Tu as eu 1 ticket rare !<br>Q : qu’y a-t-il derrière la porte<br>coulissante de la base féline ?<br>Indice : va voir sur place !	Jour 12
Tu as eu 1 boîte mystère !<br>Q : combien d’unités ??? dans<br>"Qu’y a-t-il dans la boîte" ?<br>Indice : observe la bannière !	Jour 13
Tu as eu 1 ticket rare !<br>Q : combien y a-t-il de niveaux<br>Cadeau d’anniversaire ?<br>Indice : un bon paquet !	Jour 14
Tu as eu 1 boîte mystère !<br>Q : combien y a-t-il de<br>tampons anniversaires ?<br>Indice : plus que 5 à obtenir !	Jour 15
Tu as eu 1 ticket rare !<br>Q : combien y a-t-il de questions<br>dans le quiz ?<br>Indice : consulte la base féline !	Jour 16
Tu as eu 1 boîte mystère !<br>Q : que gagne-t-on en<br>terminant le quiz ?<br>Indice : ouvre l’onglet Missions !	Jour 17
Tu as eu 1 ticket rare !<br>Q : que gagne-t-on en répondant<br>à l’enquête de l’événement ?<br>Indice : regarde les notifications.	Jour 18
Tu as eu 1 boîte mystère !<br>Q : quel anniversaire The Battle Cats<br>fêtera-t-il l’an prochain ?<br>Indice : 9 + 1 = ???	Jour 19
Tu as eu 1 boîte mystère !<br><flash>FÉLICITATIONS !</flash><br>Tu as eu tous les tampons !<br>Profite des festivités !	Jour 20
