Accélération|Double ta vitesse de bataille.|Vitesse x3 pour porteurs de carte en or !|(Touche pour act./dés. en combat.)|＠|
Détecteur de trésor|Victoire = récompense sûre à 100 %.|Niveau terminé = trésor suprême,|Chat ou XP/Chagrume garanti.|＠|
Chat fortuné|Ton Chadjoint commence au niveau max.|Prends l’avantage au combat sans avoir|à te ruiner pour améliorer ton Chadjoint !||
Chat numérique|Le Chat numérique contrôle ta base.|C’est une IA faite par des Chats, alors n’en|attends pas trop. (Touche pour act./dés.)||
Chat diplômé|Reçois 1,5x plus d’XP que d’habitude|en fin de niveau. À utiliser si possible|dans les niveaux donnant beaucoup d’XP !||
Chat tireur|Un tir de couverture repousse l’ennemi.|Puissance proportionnelle à la santé de|ta base féline. (Touche pour act./dés.)|＠|
XP|Achète de l’XP pour améliorer tes unités !|＠|＠||
NP|＠||||
dummy|＠||||
dummy|＠||||
5 000 XP|＠||||
10 000 XP|＠||||
30 000 XP|＠||||
50 000 XP|＠||||
100 000 XP|＠||||
200 000 XP|＠||||
500 000 XP|＠||||
1 000 000 XP|＠||||
2 000 000 XP|＠||||
500 000 XP|＠||||
Ticket Chapsule|＠||||
Ticket rare|＠||||
Miam|Sert à acheter des objets, de l’XP et autres.|＠|||
Ticket chance|＠||||
|＠||||
|＠||||
Ticket chance|＠||||
Ticket chance|＠||||
Ticket chance|＠||||
Ticket platine|＠||||
Graine de Chagrume violet|La graine du fruit mystique qui aide|certaines unités à révéler leur forme ultime.|＠||
Graine de Chagrume rouge|La graine du fruit mystique qui aide|certaines unités à révéler leur forme ultime.|＠||
Graine de Chagrume bleu|La graine du fruit mystique qui aide|certaines unités à révéler leur forme ultime.|＠||
Graine de Chagrume vert|La graine du fruit mystique qui aide|certaines unités à révéler leur forme ultime.|＠||
Graine de Chagrume jaune|La graine du fruit mystique qui aide|certaines unités à révéler leur forme ultime.|＠||
Chagrume violet|Un fruit mystique qui aide certains|Chats à révéler leur forme ultime.|＠||
Chagrume rouge|Un fruit mystique qui aide certains|Chats à révéler leur forme ultime.|＠||
Chagrume bleu|Un fruit mystique qui aide certains|Chats à révéler leur forme ultime.|＠||
Chagrume vert|Un fruit mystique qui aide certains|Chats à révéler leur forme ultime.|＠||
Chagrume jaune|Un fruit mystique qui aide certains|Chats à révéler leur forme ultime.|＠||
Chagrume épique|Un fruit mystique qui aide certains|Chats à révéler leur forme ultime.|＠||
Graine Chagrume ancestral|Un fruit mystique qui aide certains|Chats à révéler leur forme ultime.|＠||
Chagrume ancestral|Un fruit mystique qui aide certains|Chats à révéler leur forme ultime.|＠||
Graine Chagrume épique|Un fruit mystique qui aide certains|Chats à révéler leur forme ultime.|＠||
Chagrume doré|La graine du fruit mystique qui aide|certaines unités à révéler leur forme ultime.|＠||
Ticket chance|＠||||
Ticket chance|＠||||
Ticket chance|＠||||
Ticket chance|＠||||
Ticket chance|＠||||
Œil-de-chat [spécial]|Augmente le niveau maximum d’une unité spéciale.|* Utilisable sur les unités de niveau 30.|＠||
Œil-de-chat [rare]|Augmente le niveau maximum d’une unité rare.|* Utilisable sur les unités de niveau 30.|＠||
Œil-de-chat [super rare]|Augmente le niveau maximum d’une unité super rare.|* Utilisable sur les unités de niveau 30.|＠||
Œil-de-chat [ultra rare]|Augmente le niveau maximum d’une unité ultra rare.|* Utilisable sur les unités de niveau 30.|＠||
Œil-de-chat [légendaire]|Augmente le niveau maximum d’une unité non normale.|* Utilisable sur les unités de niveau 30.|＠||
Vichamine [A]|Raccourcit les expéditions de Gamatoto et|les intervalles entre 2 défis. Peut aussi|servir à lancer des niveaux Vichamine [A].||
Vichamine [B]|Raccourcit les expéditions de Gamatoto et|les intervalles entre 2 défis. Peut aussi|servir à lancer des niveaux Vichamine [B].||
Vichamine [C]|Raccourcit les expéditions de Gamatoto et|les intervalles entre 2 défis. Peut aussi|servir à lancer des niveaux Vichamine [C].||
Œil-de-chat [ombre]|Les ultra rares dépassent le niv. 50.|* Utilisable sur unités non norm. niv. 30+.|||
|＠||||
Attaque du Chanon|Augmente la puissance du Chanon.|Mais augmente aussi son temps de charge...||＠|
Portée du Chanon|Augmente la portée du Chanon.|||＠|
Charge du Chanon|Réduit le temps de charge du Chanon|||＠|
Efficacité Chadjoint|Augmente l’efficacité du Chadjoint|via son taux de revenu.||＠|
Portefeuille Chadjoint|Agrandit le portefeuille du Chadjoint|via sa limite de revenu max.||＠|
Défense de la base|Augmente la santé de la base féline.|||＠|
Recherche|Augmente la vitesse de production des Chats.|||＠|
Rentabilité|Augmente l’argent gagné|en éliminant un ennemi.||＠|
Expertise|Augmente le montant d’XP|reçu en terminant un niveau.||＠|
Charburant|Augmente la limite maximum de Charburant.|Il te faut du Charburant pour continuer le combat.||＠|
Cat Ally: Dummy 1|＠||||
Cat Ally: Dummy 2|＠||||
Cat Ally: Dummy 3|＠||||
Cat Ally: Dummy 4|＠||||
Cat Ally: Dummy 5|＠||||
Ticket chance|＠||||
Ticket chance|＠||||
Ticket chance G|＠||||
100 000 XP|＠||||
|＠||||
XP|Achète de l’XP pour améliorer tes unités !|＠|＠|＠|
XP|Achète de l’XP pour améliorer tes unités !|＠|＠|＠|
XP|Achète de l’XP pour améliorer tes unités !|＠|＠|＠|
XP|Achète de l’XP pour améliorer tes unités !|＠|＠|＠|
XP|Achète de l’XP pour améliorer tes unités !|＠|＠|＠|
Briques|Matériau de construction pour une super base féline.|＠|＠|＠|
Plumes|Matériau de construction pour une super base féline.|＠|＠|＠|
Charbon|Matériau de construction pour une super base féline.|＠|＠|＠|
Rouages|Matériau de construction pour une super base féline.|＠|＠|＠|
Or|Matériau de construction pour une super base féline.|＠|＠|＠|
Météorites|Matériau de construction pour une super base féline.|＠|＠|＠|
Os de bête|Matériau de construction pour une super base féline.|＠|＠|＠|
Ingénieurs|Les assistants requis pour construire une base féline.|＠|＠|＠|
Ticket chance|＠|||
Ticket chance G|＠|||
Ticket chance G|＠|||
Ticket chance G|＠|||
Ticket chance G|＠|||
Ticket chance G|＠|||
Ticket chance|＠|||
Ticket chance G|＠|||
Ticket chance|＠|||
Ticket chance G|＠|||
Ticket chance G|＠|||
Ticket chance|＠|||
Autorité|＠|||
Ticket chance G|＠|||
Ticket chance|＠|||
Ticket chance G|＠|||
Ticket chance G|＠|||
Ticket chance|＠|||
|＠|||
Ticket chance|＠|||
Ticket chance G|＠|||
Ticket chance G|＠|||
Ticket chance G|＠|||
Ticket chance|＠|||
Ticket chance|＠|||
Ticket chance G|＠|||
Ticket chance G|＠|||
Ticket chance G|＠|||
Ticket chance G|＠|||
Ticket chance|＠|||
Pack de redémarrage|＠|||
Ticket chance G|＠|||
Ticket chance G|＠|||
Ticket chance|＠|||
Ticket chance|＠|||
Ticket chance G|＠
Ticket chance G|＠
Ticket chance G|＠
Ticket chance G|＠||
Ticket chance|＠|||
Ticket chance G|＠||
Ticket chance|＠|||
Ticket chance G|＠||
Ticket chance|＠|||
Bikkuriman Choco|＠|||
Ticket chance G|＠|||
Ticket chance|＠|||
Ammonite|Matériau de construction pour une super base féline.|＠|＠|＠|
Ticket chance G|＠|||
Ticket chance G|＠|||
Ticket chance|＠|||
Ticket chance G|＠|||
Ticket légendaire|＠|||
Ticket chance G|＠|||
Ticket chance|＠|||
Ticket chance|＠|||
Ticket chance G|＠|||
Ticket chance G|＠|||
3 h de Chats fortunés illimités|＠|||
3 h de Chats numériques illimités|＠|||
3 h de Chats tireurs illimités|＠|||
Ticket chance G|＠|||
Ticket chance|＠|||
Ticket chance G|＠|||
Éclat platine|＠|||
Filet légendaire|＠|||
5 000 XP|＠|||
Graine de Chagrume Aku|La graine du fruit mystique qui aide|certaines unités à révéler leur forme ultime.|＠|
Chagrume Aku|Un fruit mystique qui aide certaines|unités à révéler leur forme ultime.|＠|
|＠|||
boîte mystère|＠|||
Graine de Chagrume doré|La graine du fruit mystique qui aide|certaines unités à révéler leur forme ultime.|＠|
|＠|||
Lettre d'amour|＠|||
