item_pack_name_0	Booster Sale: Cat Food Pack!
item_pack_name_1	Booster Sale: Super Cat Food Pack!
item_pack_name_2	Booster Sale: Uber Cat Food Pack!
item_pack_name_3	Blitz Sale: Special Cat Food Set!
item_pack_name_4	Blitz Sale: Super Cat Food Set!
item_pack_name_5	Blitz Sale: Uber Cat Food Set!
item_pack_name_6	Special Offer: Buy a Rare Ticket!
item_pack_name_7	Special Offer: Platinum Ticket!
item_pack_name_11	Buy the Starter Platinum Pack!
item_pack_name_12	
item_pack_name_13	Shakurel Lion Pack
item_pack_name_14	Shakurel Tiger Pack
item_pack_name_15	Shakurel Panda Pack
item_pack_name_17	Thank-You Pack
item_pack_name_18	Limited Sale: Silver
item_pack_name_19	Limited Sale: Gold
item_pack_name_20	Limited Sale: Platinum
item_pack_purchased_title	<flash>%@</flash><br>
item_pack_purchased_item	%@ x %d → <color=255,255,0>%d</color><br>
item_pack_purchased_xp	%@ %d → <color=255,255,0>%d</color><br>
item_pack_purchased_ticket	%@ x %d → <color=255,255,0>%d</color><br>
battle_result_first_clear_bonus	<color=255,255,0>First Clear Reward</color><br>You got <flash>30 Cat Food!!</flash><br>You also collected <flash>1 Leadership!!</flash>
user_rank_gift_1600_catseye_unlocked	<flash>Raise your Level Cap!</flash><br>Use a Catseye on certain Cats<br>to unlock higher levels for them!
user_rank_popup_title1	<color=255,255,0>User Rank Mission</color><br>
user_rank_popup_title2	<flash>User Rank %d Cleared!</flash><br>
user_rank_popup_title3	<color=255,255,0>User Rank ${rankNum} Reached!</color><br>Pick up your Reward?
user_rank_full_recovery_energy	You collected <flash>1 Leadership!</flash>
data_upload_error_catfood_20000	Data may not be saved, as it appears to have been altered or hacked. Please contact User Support.
energy_connecting	Updating Data…
energy_connection_failed1	Error updating Energy data.
energy_connection_failed2	Please check your connection and try again.
energy_fraud1	Your device time may have been altered.
energy_fraud2	Energy will not recover for a short time.
gamatoto_connection	Updating Data…
gamatoto_connection_failed	Error calculating Expedition time. Check your connection and reboot the app.
gamatoto_fraud	Your device time may have been altered. Energy will not recover for a short time.
reset_item_reward	<color=255,255,0>Reward Availability Restored!</color><br>Previously cleared Rewards are available once again.<br>Complete tasks to receive them again!
reset_tower_state	<color=255,255,0>Rewards/Clear State reset!</color><br>Stage clear conditions have been reset, and<br>rewards are available to collect once again.
reward_energy	Energy Recovery Chance!<br>Watch a video to get %d Energy back?</flash>
receive_energy	%d Energy recovered.
receive_energy_full	All Energy recovered.
network_unavailable_energy	Energy not updated.\nCheck your network!
network_unavailable_gamatoto	Cat Food not updated.\nCheck your network!
001_img044.png	i001_img044_en.png
001_img044.imgcut	i001_img044_en.imgcut
001_img045.png	i001_img045_en.png
001_img045.imgcut	i001_img045_en.imgcut
021_e.png	i021_e_en.png
021_e.imgcut	i021_e_en.imgcut
slot_copy_select	Units can be copied from Slot %d.<br>Copy or Replace Units?
slot_copy	Units copied from Slot %d.<br>Visit your desired Slot and tap Replace.<br>
slot_paste	This slot will be replaced with Units from Slot %d. <br>Are you sure?
slot_remove	Multiple units will be removed from battle slots.
remove_error	<color=255,255,0>Unit cannot be removed from formation.</color>
instant_koyashi	5 maxed-out Capsules can be<br>traded for one Rare Ticket.<br>Trade maxed-out Capsules?<br>(Need %d more valid Capsules)
storage_koyashi	All maxed-out Capsules will be traded<br>to receive Rare Ticket(s).<br>Are you sure?<br>
have_koyashi	%d Capsules are valid for Trade.
tutorial_favoriteUnit	Tap the ☆ button to switch between<br>showing only your Favorite units or<br>showing all units you have collected.
tutorial_favoriteUnit_pictureBook1	<color=255,255,0>Setting Your Favorites ①</color><br>Once you have chosen some Favorite<br>Cats, you can tap the "Confirm ☆" button<br>to close the Favorites menu!
tutorial_favoriteUnit_pictureBook2	<color=255,255,0>Setting Your Favorites ②</color><br>Tap the Filter button on the Upgrade<br>or Equip menus to display ONLY<br>Cats you marked as your Favorites!
everyplay_not_supported	This device is not supported.
everyplay_no_related_videos	No related media found.
cat_challenge01	<flash>Welcome to the Catclaw Dojo!</flash><br>A countdown battle with endless enemies.<br>Beat down as many as you can for the top<br>score! (Defeated enemies give no money.)
data_download_error_catfood_20000	Unauthorized Data Manipulation detected. This Save Data may not be transferred to another device. Please contact PONOS support.
cat_challenge_item	Use as many free Speed-Ups and<br>Cat CPUs as you like while fighting<br>in the Catclaw Dojo!<br>※ Activating a speed boost will consume the item.
zombie_clear00	<flash>${stageName} Outbreak Contained!</flash><br>Received 10 Cat Food!
zombie_clear01	<flash>Quarantine Zone Secured!</flash><br>%@ Treasure Drop Rate increased!
zombie_clear02	<flash> All Empire Quarantine Zones secured!</flash><br>Max Energy increased by ${EnergyNum}!
zombie_clear03	<flash>Treasure Drop Rate Up on set stages!</flash><br>Check the Treasure List for info!
zombie_clear04	<flash>All Future Quarantine Zones secured!</flash><br>Max Energy increased by ${EnergyNum}!
zombie_clear05	<flash>All Cosmos Quarantine Zones secured!</flash><br>Max Energy increased by ${EnergyNum}!
zombie_area_00	East Asia QZ
zombie_area_01	Indian Ocean QZ
zombie_area_02	Himalaya-Rift QZ
zombie_area_03	Afro-Mediterranean QZ
zombie_area_04	Alps QZ
zombie_area_05	West Europe QZ
zombie_area_06	North Atlantic QZ
zombie_area_07	East Americas QZ
zombie_area_08	Pacific QZ
zombie_area_09	Fairbanks QZ
zombie_area_10	Mauna Kea QZ
