 赤てん大会,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 メン・イン・ブラック大会,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 不死鳥大会,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 5周年記念大会,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 無気力修行,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 6周年記念大会,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 乱闘！サーヴァント大襲来！,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 おさかな天国,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 襲来！ケリ姫軍団,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 城とドラゴンと道場,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 010-00,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 ドラキュラ大会,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 天空武闘大会,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 宇宙よりの死者大会,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 俺より強いやつに会いに行く,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 7周年記念大会,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 みくみく歌謡祭,＠,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,
 絶体絶命大会,＠
 俺より強いやつに会いに行く,＠
 8周年記念大会,＠
 赤てん大会,＠
 メン・イン・ブラック大会,＠
 不死鳥大会,＠
 9と1/2周年記念大会,＠
 10と1/2周年記念大会,＠
