加速|戰鬥速度提高2倍|戰鬥中點選道具|可切換ON・OFF|＠|
寶物雷達|寶物出現率增加！|勝利的話有百分之百的機率|可以獲得最棒的寶物|＠|
土豪貓|工作狂貓將以等級MAX的狀態|開始戰鬥|＠||
貓型電腦|貓型CPU會幫你進行戰鬥|因為是貓型所以不能抱持太大期望|＠||
洞悉先機|戰鬥結束後獲得的經驗值|增加至1.5倍|＠||
狙擊手|狙擊手會進行援助射擊|只要命中就能擊退敵人|攻擊力與城堡體力成正比|＠|
XP|可以用來提升|角色的等級|＠||
NP|＠||||
未使用|＠||||
未使用|＠||||
XP 5000|＠||||
XP 10000|＠||||
XP 30000|＠||||
XP 50000|＠||||
XP 100000|＠||||
XP 200000|＠||||
XP 500000|＠||||
XP 1000000|＠||||
XP 2000000|＠||||
XP 500000|＠||||
貓咪轉蛋券|＠||||
稀有券|＠||||
貓罐頭|可以用來購買各種道具或經驗值|＠|||
招福轉蛋券|＠||||
|＠||||
|＠||||
招福轉蛋券|＠||||
招福轉蛋券|＠||||
招福轉蛋券|＠||||
白金券|＠||||
紫色貓薄荷種子|極為罕見的貓薄荷種子|可以讓貓咪進化到更高的境界|＠||
紅色貓薄荷種子|極為罕見的貓薄荷種子|可以讓貓咪進化到更高的境界|＠||
藍色貓薄荷種子|極為罕見的貓薄荷種子|可以讓貓咪進化到更高的境界|＠||
綠色貓薄荷種子|極為罕見的貓薄荷種子|可以讓貓咪進化到更高的境界|＠||
黃色貓薄荷種子|極為罕見的貓薄荷種子|可以讓貓咪進化到更高的境界|＠||
紫色貓薄荷|極為罕見的貓薄荷|可以讓貓咪進化到更高的境界|＠||
紅色貓薄荷|極為罕見的貓薄荷|可以讓貓咪進化到更高的境界|＠||
藍色貓薄荷|極為罕見的貓薄荷|可以讓貓咪進化到更高的境界|＠||
綠色貓薄荷|極為罕見的貓薄荷|可以讓貓咪進化到更高的境界|＠||
黃色貓薄荷|極為罕見的貓薄荷|可以讓貓咪進化到更高的境界|＠||
彩虹貓薄荷|極為罕見的貓薄荷|可以讓貓咪進化到更高的境界|＠||
古代貓薄荷種子|極為罕見的貓薄荷種子|可以讓貓咪進化到更高的境界|＠||
古代貓薄荷|極為罕見的貓薄荷|可以讓貓咪進化到更高的境界|＠||
彩虹貓薄荷種子|極為罕見的貓薄荷種子|可以讓貓咪進化到更高的境界|＠||
黃金貓薄荷|可將貓咪轉向更高階段的|夢幻般貓薄荷|＠||
招福轉蛋券|＠||||
招福轉蛋券|＠||||
招福轉蛋券|＠||||
招福轉蛋券|＠||||
招福轉蛋券|＠||||
貓眼石【EX】|可以解放特定EX角色的等級上限|※等級到達30後才能使用|＠||
貓眼石【稀有】|可以解放稀有角色的等級上限|※等級到達30後才能使用|＠||
貓眼石【激稀有】|可以解放激稀有角色的等級上限|※等級到達30後才能使用|＠||
貓眼石【超激稀有】|可以解放超激稀有角色的等級上限|※等級到達30後才能使用|＠||
貓眼石【傳說】|可以解放基本角色以外的角色等級上限|※等級到達30後才能使用|＠||
喵力達A|可以縮短加碼多多探險隊的|相關功能時間1個小時|＠||
喵力達B|可以縮短加碼多多探險隊的|相關功能時間3個小時|＠||
喵力達C|可以縮短加碼多多探險隊的|相關功能時間6個小時|＠||
貓眼石【闇】|可以解放超激稀有角色自Lv51起的等級上限|※也可使用於等級到達30以上的基本角色以外之角色|||
|＠||||
貓咪砲攻擊力|加強攻擊力|但充電時間會稍微延長||＠|
貓咪砲射程|加長射程距離|||＠|
貓咪砲充電|加快充電至貓咪砲|能發射的時間||＠|
工作狂貓的工作效率|提高工作狂貓的工作效率|金錢增加的速度變快||＠|
工作狂貓錢包|加大工作狂貓錢包的大小|增加戰鬥中可持有的金錢||＠|
城堡體力|加強我方城堡的體力|||＠|
研究力|可以加快角色的|生產速度||＠|
會計能力|可以提高每次打倒敵人時|所獲得的金錢||＠|
學習力|可以提高過關時|所獲得的經驗值||＠|
統率力|可以提高闖關時|所需的統率力||＠|
貓咪隊員：未定1|＠||||
貓咪隊員：未定2|＠||||
貓咪隊員：未定3|＠||||
貓咪隊員：未定4|＠||||
貓咪隊員：未定5|＠||||
招福轉蛋券|＠||||
招福轉蛋券|＠||||
招福轉蛋G券|＠||||
XP 100000|＠||||
|＠||||
經驗值A|可以使用貓罐頭來購買經驗值|＠|＠|＠|
經驗值B|可以使用貓罐頭來購買經驗值|＠|＠|＠|
經驗值C|可以使用貓罐頭來購買經驗值|＠|＠|＠|
經驗值D|可以使用貓罐頭來購買經驗值|＠|＠|＠|
經驗值E|可以使用貓罐頭來購買經驗值|＠|＠|＠|
紅磚|開發貓咪城必要的古舊素材|＠|＠|＠|
羽毛|開發貓咪城必要的古舊素材|＠|＠|＠|
備長炭|開發貓咪城必要的古舊素材|＠|＠|＠|
鋼製齒輪|開發貓咪城必要的古舊素材|＠|＠|＠|
黃金|開發貓咪城必要的古舊素材|＠|＠|＠|
宇宙石|開發貓咪城必要的古舊素材|＠|＠|＠|
神秘骨頭|開發貓咪城必要的古舊素材|＠|＠|＠|
助手|幫助開發貓咪城的助手|＠|＠|＠|
招福轉蛋券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
招福轉蛋G券|＠|||
招福轉蛋|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
首領旗|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
|＠|||
招福轉蛋券|＠|||
招福轉蛋券G|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
招福轉蛋券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
回歸禮包|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
招福轉蛋券|＠|||
招福轉蛋G券|＠
招福轉蛋G券|＠
招福轉蛋G券|＠
招福轉蛋G券|＠
招福轉蛋券|＠
招福轉蛋G券|＠
招福轉蛋券|＠
招福轉蛋G券|＠
招福轉蛋券|＠
聖魔大戰巧克力|＠
招福轉蛋G券|＠
招福轉蛋券|＠
菊石|開發貓咪城必要的古舊素材|＠|＠|＠|
招福轉蛋G券|＠
招福轉蛋G券|＠
招福轉蛋券|＠
招福轉蛋G券|＠
傳說券|＠
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
招福轉蛋券|＠|||
招福轉蛋G券|＠|||
招福轉蛋G券|＠|||
土豪貓3小時無限使用|＠|||
貓型電腦3小時無限使用|＠|||
狙擊手3小時無限使用|＠|||
招福轉蛋G券|＠|||
招福轉蛋券|＠|||
招福轉蛋G券|＠|||
白金券碎片|＠|||
傳說的捕蟲網|＠|||
XP 5000|＠|||
惡貓薄荷種子|極為罕見的貓薄荷種子|可以讓貓咪進化到更高的境界|＠|
惡貓薄荷|極為罕見的貓薄荷|可以讓貓咪進化到更高的境界|＠|
|＠|||
|＠|||
黃金貓薄荷種子|極為罕見的貓薄荷種子|可以讓貓咪進化到更高的境界|＠|
|＠|||
傳說的情書|＠|||
紫獸石|可以讓貓咪進化到|更高次元的獸石|＠|
紅獸石|可以讓貓咪進化到|更高次元的獸石|＠|
蒼獸石|可以讓貓咪進化到|更高次元的獸石|＠|
翠獸石|可以讓貓咪進化到|更高次元的獸石|＠|
黃獸石|可以讓貓咪進化到|更高次元的獸石|＠|
傳說的聖水|＠|||
傳說的捕蟲網|＠|||
青銅勳章|＠|||
白銀勳章|＠|||
黃金勳章|＠|||
白金勳章|＠|||
|＠|||
