popupID	on/off	conditions	stage	MapConditions	userRank	getCharID1	getCharID2	osID	UnlockEye1ID	addlv1	UnlockEye2ID	addLv2	UnlockPlusID	addLv	SKILL	itemID	num	Help_on/off
0	1	0	300000	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
1	0	0	300000	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
2	1	0	300013	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
3	1	0	300000	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
4	1	0	300006	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
5	1	0	300022	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
6	1	0	300022	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
7	1	0	300000	-1	1600	-1	-1	0	2000	10	-1	-1	-1	-1	-1	-1	-1	1
8	1	0	300006	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
9	1	0	300047	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
10	1	0	300147	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
11	0	0	300047	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
12	1	0	300006	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
13	0	0	0	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
14	0	0	300022	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
15	0	0	300047	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
16	1	0	300047	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
17	1	0	300047	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
18	1	0	300147	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
19	1	0	300047	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
20	1	0	300047	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
21	1	0	300006	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
22	1	0	300047	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
23	1	0	300006	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
24	1	0	300347	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
25	1	0	300347	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
26	1	0	300447	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
27	0	0	300447	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
28	1	0	300447	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
29	0	0	300547	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
30	1	0	300547	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
31	1	0	300247	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
32	0	0	300005	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
33	0	0	300005	-1	0	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
34	1	0	300147	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
35	1	0	300002	-1	0	20	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
36	1	0	300005	-1	0	30	180	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
37	1	0	300008	-1	0	40	210	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
38	1	0	300011	-1	0	50	200	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
39	1	0	300015	-1	0	60	190	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
40	1	0	300019	-1	0	70	140	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
41	1	0	300023	-1	0	80	220	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
42	1	0	300028	-1	0	120	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
43	1	0	300031	-1	0	130	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
44	1	0	300035	-1	0	100	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
45	1	0	300106	-1	0	90	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
46	1	0	300110	-1	0	110	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
47	1	0	300122	-1	0	230	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
48	1	0	300134	-1	0	150	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
49	1	0	300147	-1	0	240	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
50	1	0	300247	-1	0	250	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
51	1	0	300022	-1	0	1230	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
52	1	0	300047	-1	0	160	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
53	1	0	300447	-1	0	242	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
54	1	0	300547	-1	0	252	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
55	1	0	300047	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
56	1	0	300000	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
