gatyaID	cost	dropItemID1	dropItemID2	dropItemID3	dropItemID4	dropItemID5	dropItemID6	dropItemID7
209	30	30205	30210	30215	30220	30225	30230
210	30	30206	30211	30216	30221	30226	30231
211	30	30207	30212	30217	30222	30227	30232
217	30	30235	30240	30245	30250	30255	30260
218	30	30236	30241	30246	30251	30256	30261
219	30	30237	30242	30247	30252	30257	30262
224	30	30265	30270	30275	30280	30285	30220
225	30	30266	30271	30276	30281	30286	30221
226	30	30267	30272	30277	30282	30287	30222
228	30	30295	30290	30210	30225	30230	30250
229	30	30296	30291	30211	30226	30231	30251
230	30	30297	30292	30212	30227	30232	30252
