100000|1
150000|1|세계가 평화로워진 것 같다
200000|1|내일은 일찍 일어날 수 있을 것 같다
250000|1|잃어버린 기억을 되찾았다
300000|1|눈시울이 뜨거워졌다
350000|1|시력이 0.1 올라간 것 같다
400000|1|옛날에 묻어 둔 타임캡슐이 생각났다
500000|1|그냥 왠지 흥분되기 시작했다
750000|1|시험에서 99점을 맞을 것만 같다
800000|2|사당이 파워 업할 것 같은 예감이 든다
825000|2|아... 내 경험치...
850000|2|왜 사람들은 소원을 비는 걸까?
875000|2|비밀인데... 사실 강아지가 좋아
900000|2|사랑을 하고 싶다
950000|2|미래는 언제나 희망찰 것이다
1000000|2|보여줄게, 완전히 달라진 나
1150000|2|조금은 행복해진 것 같다
1250000|2|소원은 이루어 질 것이다
1400000|2|24시간 싸울 수 있을 것 같다
1500000|3|좋은 것 좀 줘라
1600000|3|원래 모든 건 내년으로 미루는 거다
1700000|3|행복이 뭐더라
1800000|3|인생이란 원래 그런거야
1900000|3|가화만사성
2500000|3|어딘가의 용자도 레벨 업했다
3000000|3|첫사랑이 생각났다
4000000|3|팔로워가 조금 늘었다
5000000|3|마음이 넓어졌다
7000000|3|엄마 사랑해요
9000000|4|아빠 사랑해요
9000000|4|혓바늘이 사라졌다
9000000|4|좋은 침략 방법이 생각났다
9000000|4|어른의 단계로 한 걸음 가까워졌다
9000000|4|Latte is horse
9000000|4|나만 없어 고양이
9000000|4|뽑기를 돌린다면 지금이라는 생각이 들었다
9000000|4|과연 그럴까?
9000000|4|좋은 구절이 떠올랐다
9000000|4|다음 생에는 부자로 태어나게 해주세요
9000000|5|로또 당첨되게 해주세요
9000000|5|의욕이 넘쳐흐른다
9000000|5|그리운 냄새가 난다
9000000|5|만성 피로가 사라졌다
9000000|5|근육이 기뻐하고 있다
9000000|5|젊어진 것 같다
9000000|5|옆집 고양이도 축복해주는 것 같다
9000000|5|신앙심이 생긴 것 같다
9000000|5|고양이가 더 좋아졌다
9000000|5|친척 아저씨가 승진한다고 한다
17060000|6|사당의 내진성이 2올랐다
17120000|6|내일은 오늘보다 나은 하루가 될 것 같다
17180000|6|오이가 맛있게 느껴졌다
17240000|6|이불에서 햇빛 냄새가 난다
17300000|6|요즘 들어 눈물이 많아졌다
17360000|6|계란에서 두 개의 노른자가 나왔다
17420000|6|문방구 뽑기에서 당첨이 나왔다
17480000|6|모르는 할머니한테 홍삼 사탕을 받았다
17540000|6|털에서 윤기가 나기 시작했다
17600000|6|끝내주는 개인기 아이디어가 떠올랐다
17660000|7|사당 리모델링 비용이 모였다
17720000|7|세탁 건조가 빨리 끝났다
17780000|7|모기에 덜 물리게 되었다
17840000|7|비 개인 하늘에 무지개가 떴다
17900000|7|옆집 아저씨 오십견이 나았다
17960000|7|세상 어딘가에 새로운 고양이가 탄생했다
18020000|7|그 시절의 열정을 되찾았다
18080000|7|맛있는 도시락을 반값에 샀다
18140000|7|공원에서 네잎 클로버를 발견했다
18200000|7|잊어버렸던 비밀번호를 기억해냈다
-1|8|새로운 경지에 도달했다
