Accelerazione|Raddoppia la velocità di battaglia.|Ufficiali Carta oro ricevono vel. batt. x3!|Tocca l'icona e attiva/disattiva in batt.|＠|
Radar tesori|100% possibilità di ricompense quando vinci.|È garantito che riceverai un Tesoro Superiore,|un'unità Gatto o XP/Miagrume come ricompensa.|＠|
Gatto riccone|Gatto impiegato inizia la batt. al liv. MAX.|Goditi il vantaggio di non dover spendere|soldi per potenziare il Gatto impiegato!||
Gatto CPU|L'IA del Gatto CPU combatterà per te. È una|tecnologia felina, non aspettarti granché.|(Tocca l'icona per attivare/disattivare.)||
Gatto secchione|Riceve 1,5 volte in più di XP|superando il livello. Usa sui livelli|con grandi ricompense XP e ottieni il max!||
Gatto cecchino|Respinge i nemici con fuoco di copertura. La|salute Base felina determina potenza d'att.|(Tocca l'icona per attivare/disattivare.)|＠|
XP|Acquista XP per potenziare le unità Gatto!|＠|＠||
NP|＠||||
dummy|＠||||
dummy|＠||||
5.000 XP|＠||||
10.000 XP|＠||||
30.000 XP|＠||||
50.000 XP|＠||||
100.000 XP|＠||||
200.000 XP|＠||||
500.000 XP|＠||||
1.000.000 XP|＠||||
2.000.000 XP|＠||||
XP 500.000|＠||||
Miaobiglietto|＠||||
Biglietto raro|＠||||
Friskat|Usato per acquistare oggetti, XP e altro.|＠|||
Biglietto fortuna|＠||||
|＠||||
|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Biglietti platino|＠||||
Seme miagrume viola|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Seme miagrume rosso|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Seme miagrume blu|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Seme miagrume verde|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Seme miagrume giallo|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume viola|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume rosso|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume blu|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume verde|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume giallo|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume epico|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Seme miagrume stag.|Un oggetto misterioso che può aiutare a|manifestare il potenziale dei gatti.|＠||
Miagrume stagionato|Un oggetto misterioso che può aiutare a|manifestare il potenziale dei gatti.|＠||
Seme miagrume epico|Un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Miagrume oro|Il seme di un frutto magico che aiuta a|manifestare il potenziale di certi gatti.|＠||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Biglietto fortuna|＠||||
Occhio [speciale]|Aumenta il liv. max di un gatto speciale.|* Utilizzabile su unità Gatto di livello 30.|＠||
Occhio [raro]|Aumenta il liv. max di un gatto raro.|* Utilizzabile su unità Gatto di livello 30.|＠||
Occhio [super raro]|Aumenta il liv. max di un gatto super raro.|* Utilizzabile su unità Gatto di livello 30.|＠||
Occhio [ultra raro]|Aumenta il liv. max di un gatto ultra raro.|* Utilizzabile su unità Gatto di livello 30.|＠||
Occhio [leggenda]|Aumenta il liv. max dei gatti non normali.|* Utilizzabile su unità Gatto di livello 30.|＠||
Vitamiao [A]|Riduce durata di Spedizione di Gamatoto|o il tempo di ricarica Sfida. Utilizzabile|per affrontare livelli Vitamiao A.||
Vitamiao [B]|Riduce durata di Spedizione di Gamatoto|o il tempo di ricarica Sfida. Utilizzabile|per affrontare livelli Vitamiao B.||
Vitamiao [C]|Riduce durata di Spedizione di Gamatoto|o il tempo di ricarica Sfida. Utilizzabile|per affrontare livelli Vitamiao C.||
Occhio [Oscuro]|Le ultra rare possono superare il liv. 50.|* Anche su unità normali oltre il liv. 30.|||
|＠||||
Attacco cannone|Aumenta la potenza del cannone felino.|Ma aumenta anche il tempo di ricarica...||＠|
Portata cannone|Aumenta la portata del cannone felino.|||＠|
Ricarica cannone|Riduce il tempo di ricarica del cannone.|||＠|
