Attacco unità|
Difesa unità|
Velocità unità|
Liv. base cannone|
Liv. base Gatto impiegato|
Soldi iniziali|
Potenza cannone felino|
Ricarica cannone felino|
Velocità Gatto impiegato|
Max Gatto impiegato|
Difesa Base felina|
Potenza ricerca|
Potenza contabilità|
Potenza studio|
Effetto "Efficace"|
Effetto "Danni enormi"|
Effetto "Resistente"|
Effetto "Respinta"|
Effetto "Rallentamento"|
Effetto "Immobilità"|
Effetto "Indebolimento"|
Effetto "Rafforza"|
Effetto "Ammazza streghe"|
"EVA Angel Killer" Effect|
Ritmo "Danni critici"|
