Efficace contro i nemici rossi.|＠
Efficace contro i fluttuanti.|＠
Efficace contro i nemici neri.|＠
Efficace contro i nemici metallici.|＠
Efficace contro i nemici angelici.|＠
Efficace contro i nemici alieni.|＠
Efficace contro i nemici zombi.|＠
Efficace contro i nemici antichi.|＠
Efficace contro i nemici Aku.|＠
Efficace contro i nemici senza tratti.|＠
＠
＠
＠
＠
＠
【Indebolimento】|I tipi di nemici indicati avranno potenza|d'attacco ridotta per un determinato periodo.|＠
【Rafforza】|Dopo che la salute di questa unità scende sotto|una certa quantità, il suo attacco diventa più forte.|＠
【Immobilità】|I tipi di nemici indicati non potranno muoversi|per un determinato periodo.|＠
【Rallentamento】|I tipi di nemici indicati avranno velocità|ridotta per un determinato periodo.|＠
【Sopravvivenza】|Dopo che la salute di questa unità scende sotto|lo zero, può guarire da sola per una piccola quantità.|＠
【Distruttore di basi】|Se questa unità attacca una base nemica,|infliggerà molti più danni.|＠
【Danni critici】|Gli attacchi di questa unità hanno una determinata|possibilità di danni extra che possono ferire metallici.|＠
【Attacco mirato】|Gli attacchi di questa unità causano danni solo a|uno specifico tipo di nemici.|＠
【Efficace contro】|I tipi di nemici indicati subiscono danni extra|e i danni che infliggono sono ridotti.|＠
【Resistente】|I danni ricevuti dai tipi di nemici|indicati verranno ridotti di molto.|＠
【Soldi extra】|Aumentano le ricompense in soldi ricevute|per la sconfitta dei tipi di nemici indicati.|＠
【Danni enormi】|I tipi di nemici indicati riceveranno|molti più danni dagli attacchi.|＠
【Respinta】|L'unità ha una possibilità di respingere|i tipi di nemici verso la propria base.|＠
【Attacco a ondata】|Gli attacchi colpiranno tutti i nemici a portata,|infliggendo danni extra con una ondata di energia.|＠
【Metallico】|I danni della maggior parte degli attacchi sono ridotti|di molto, ma l'unità è vulnerabile ad attacchi critici.|＠
【Immune da ondate】|Questa unità non subisce danni da attacchi a ondata.|＠
【Danni ad area】|Tutte le unità nel raggio del suo attacco|subiranno danni dai suoi colpi.|＠
【A distanza】|Le unità lontane subiranno danni, ma gli attacchi|potrebbero non colpire le unità vicine.|＠
【Immune da indebolimento】|Gli attacchi nemici non indeboliranno|gli attacchi di questa unità.|＠
【Immune da immobilità】|Gli attacchi nemici non immobilizzano|il movimento di questa unità.|＠
【Immune da rallentamento】|Gli attacchi nemici non|rallenteranno questa unità.|＠
【Immune da respinta】|Gli attacchi nemici non|respingeranno questa unità.|＠
【Attacco singolo】|Solo un nemico a portata sarà|colpito dagli attacchi di questa unità.|＠
【Ammazza streghe】|Grande incremento di attacco e difesa contro|streghe trovate nei livelli collab. Madoka Magica.|＠
【Ammazza zombi】|Le unità con questa abilità impediscono|agli zombi di rianimarsi.|＠
【Scudo ondate】|Questa unità può impedire attacchi a ondata|e proteggere le unità nelle retrovie dal loro effetto.|＠
【Sfondamento】|Può annullare le barriere nemiche|e infliggere danni enormi con sfondamento.|＠
【Blocca teletrasporto】|L'abilità di teletrasporto non|ha effetto su questa unità.|＠
【Bilaterale】|Attacca nemici sia davanti|che dietro in una ampia area.|＠
【EVA Angel Killer】|Delivers extra damage to / takes less|damage from EVANGELION Collab bosses|＠
【Immune da maledizione】|Immune dagli effetti temporanei|inflitti da maledizioni nemiche.|＠
【Teletrasporto】|Gli attacchi possono teletrasportare nemici.|＠
【Resistente a indebolimento】|L'indebolimento causato dai nemici|ha meno probabilità di avere effetto.|＠
【Resistente a immobilità】|L'immobilità causata dai nemici|ha meno probabilità di avere effetto.|＠
【Resistente a rallentamento】|Il rallentamento causato dai nemici|ha meno probabilità di avere effetto.|＠
【Resistente a respinta】|Le respinte causate dai nemici|hanno meno probabilità di avere effetto.|＠
【Resistente a ondate】|Gli attacchi a ondate causano meno danni.|＠
【Resistente al teletrasporto】|Il teletrasporto causato dai nemici|ha meno probabilità di avere effetto.|＠
【Costo ridotto】|Il costo di schieramento dell'unità è diminuito.|＠
【Accelerazione recupero】|L'unità sarà disponibile prima per lo schieramento.|＠
【Accelerazione movimento】|L'unità si muoverà più velocemente.|＠
【Respinta migliorata】|Possibilità di respinta aumentate.|＠
【Resistente a maledizioni】|Le maledizioni inflitte dai nemici|hanno meno probabilità di avere effetto.|＠
【Aumento attacco】|L'attacco base aumenta in modo permanente.|＠
【Aumento difesa】|La difesa base aumenta in modo permanente.|＠
【Danni incredibili】|Aumenta enormemente i danni ai nemici|di una gran quantità.|＠
【Incredibilmente forte】|Riduce i danni subiti dai nemici obiettivo|di una gran quantità.|＠
【Obiettivo rosso】|Le abilità avranno effetto anche sui nemici rossi.|＠
【Obiettivo fluttuante】|Le abilità avranno effetto anche sui nemici fluttuanti.|＠
【Obiettivo nero】|Le abilità avranno effetto anche sui nemici neri.|＠
【Obiettivo metallico】|Le abilità avranno effetto anche sui nemici metallici.|＠
【Obiettivo angelico】|Le abilità avranno effetto anche sui nemici angelici.|＠
【Obiettivo alieno】|Le abilità avranno effetto anche sui nemici alieni.|＠
【Obiettivo zombi】|Le abilità avranno effetto anche sui nemici zombi.|＠
【Obiettivo Antico】|Le abilità avranno effetto anche sui nemici Antichi.|＠
【Obiettivo senza tratti】|Le abilità avranno effetto anche su nemici senza tratti.|＠
【Colpo letale】|Possibilità di infliggere gran quantità di danni extra.|＠
【Schiva attacchi】|Evita temporaneamente tutti i danni da|attacchi del tipo di nemico obiettivo.|＠
【Attacchi a valanga】|Gli attacchi riusciti infliggono danni extra|a sezioni casuali nella loro area d'attacco.|＠
【Immune da veleno】|Immune dal veleno degli attacchi nemici!|＠
【Maledizioni】|I nemici non possono infliggere|effetti di stato negativi per breve tempo.|＠
【Schiva valanga】|Non subisce danni da valanga causati da attacchi nemici.|＠
【Mini-ondata】|Gli attacchi riusciti possono infliggere danni extra|ai nemici a portata con un piccolo attacco a ondata.|＠
【Resistente a veleno】|Le conseguenze del veleno dei nemici|hanno meno probabilità di avere effetto.|＠
【Resistente ad attacco a valanga】|Meno danni dagli attacchi a valanga nemici.|＠
【Perfora scudo】|Gli attacchi hanno possibilità di annullare|gli scudi Aku e infliggere danni enormi.|＠
【Obiettivo Aku】|Le abilità avranno effetto anche su nemici Aku.|＠
【Ammazzagiganti】|Maggiori danni da attacco e|difesa verso nemici giganti.|＠
【Fitta al cuore】|Gli attacchi possono infliggere danni|a zombi temporaneamente "morti".|＠
【Ammazza Behemoth】|Aumenta molto i danni da attacco e difesa|contro i Behemoth, con la possibilità di schivare.|＠
【Aumento frequenza di attacco】|Il tempo tra gli attacchi è ridotto.|＠
【Mini valanga】|Gli attacchi riusciti rilasciano una piccola valanga che|infligge danni extra in un punto casuale.|＠
【Contrasto attacco a valanga】|Quando si viene colpiti da un att. a valanga nemico, |contrattacca con un att. a valanga.|＠
【Evoca】|Tocca l'icona per evocare uno spirito che attacca|i nemici. Si può schierare solo un'unità alla volta.|＠
【Sterminatore di saggi】|Aumenta i danni inflitti ai saggi. Riduce i|danni ricevuti e gli effetti dei debuff.|Annulla anche l'immunità ai debuff dei saggi.|＠
【Ammazza-metallici】|Infligge danni ai metallici in base|alla salute residua del bersaglio nemico.|＠
＠
＠
＠
＠
＠
【Esplosione】|Scatena un'esplosione nella zona circostante|un attacco riuscito (a destra e a sinistra).|＠
【Immune da esplosioni】|Non subisce danni da esplosioni nemiche.|＠
