Più attacco %@: %@	Danni a %@ aumentati.
Aumento difesa %@: %@	Danni da %@ diminuiti.
Effetto Efficace + %@: %@	Effetto Efficace migliorerà vs %@
Danni enormi + %@: %@	I danni miglioreranno vs %@
Effetto Forte + %@: %@	Resistenza agli attacchi di %@ migliorerà.
Mini valanga della morte %@	Scatena mini valanga alla sconfitta.<br>Disponibile dopo 2 schieramenti (non cumulabile)
Resistente a danni da ondate %@	Riduce i danni dalle ondate nemiche.
Rimborso %@	Recupera parte del costo di schieram. di un Gatto caduto.<br>Disponibile dopo 2 schieramenti
Resistente a respinta %@	Riduce la respinta degli attacchi nemici.
Potenzia Saghe leggendarie %@	Più salute e potenza d'att. nelle<br>Saghe leggendarie (non cumulabile)
Ammazzagiganti %@	Ammazzagiganti disponibile dopo ogni<br>2 schieramenti (non cumulabile)
Ricarica cannone felino %@	Sconfitto un gatto, ricarica il cannone.<br>Si attiva dopo 2 schieramenti<br>(non cumulabile)
Resistente a veleno %@	Riduce i danni dagli attacchi velenosi.
Schiva attacchi (tutti) %@	A schieramenti alterni garantisce al Gatto<br>l'abilità Schiva attacchi (tutti).
Resistente a rallentamento %@	Riduce i danni nemici da rallentamento.
Resistente a maledizioni %@	Riduce i danni da maledizioni nemiche.
Potenzia leggende misteriose %@	Più salute e potenza d'attacco<br>in leggende misteriose (non cumulabile)
Contrattacco a valanga singolo %@	Risponde con valanga dopo essere stato colpito<br>da un attacco a valanga nemico una volta<br>ogni due  schieramenti (non cumulabile)
Berserker %@	Aumenta la potenza d'attacco dopo<br>aver sconfitto un<br>certo numero di nemici (non cumulabile)
Tempo di ricarica ridotto %@	Riduce il tempo di ricarica ogni due<br>schieramenti (non cumulabile)
Resistente a immobilità %@	Riduce gli effetti dell'immobilità<br>dovuti ad attacchi nemici.
Resistente a indebolimento %@	Riduce gli effetti dell'indebolimento<br>dovuti ad attacchi nemici.
Costo ridotto %@	Riduce il costo dello schieramento delle<br>unità dopo 2 schieramenti (non cumulabile).
Resistente a valanghe %@	Riduce i danni dagli<br>attacchi a valanga nemici.
