Ich zeige dir ein Wunder!| Ein schönes. Abrakadabra! Hokuspokus!|
Nun,|wähle, was immer du willst.|
Kein Sorge.|Ich habe reichlich Zeit.|
Du überlegst noch?|Unentschlossen wie immer.|
Ups, hab ein Nickerchen gemacht.||
Tut mir leid, hab nicht zugehört.||
Jeder hat eine romantische Ader, auch ich.|Aber nur manchmal.|
Katzenbatzen bewirken Wunder.||
Es ist ermüdend, dass sich|alle auf einen verlassen.|
Jetzt? Ernsthaft?|Bin eigentlich beschäftigt.|
Mann, was ist denn?|Oh, du schon wieder.|
Menschen sollen ja echt groß sein.|Ihr seid also alle Riesen? Verrückt.|
Du hast keine Flügel? Moment.|Wenn du welche hättest, wäre es widerlich.|
Ein Gott zu sein ist ziemlich einfach.|Ist echt nicht schwer.|
Ich bin angeblich eine echte Augenweide.|Was meinst du?|
Gib es zu, es ist Liebe.||
Gibt es in diesem Job ein Rentenalter?|Was mache ich dann bloß?|
Du weißt ja, wenn ich sauer werde …|Müssen alle leiden.|
Katzenbatzen?|Hasse ich nicht.|
Gott ist echt super …|wenn ich das so sagen darf.|
Dieses Wunder, wie oft war das jetzt?||
Moment … das schon wieder?||
Komm schon, echt jetzt?|Da stehst du drauf, kann das sein?|
Ich bin … im Einklang mit dem Universum.|Oh? Dann wohl nur ich.|
Auch ein Gott hat Vorlieben.||
Gottes Geheimnisse?|Nun … die sind geheim.|
Wenn ich dich so ansehe,|erinnerst du mich an meine Jugend.|
Ja, du willst berühmt sein.||
Geld ist der beste Anwalt.||
Nacktheit ist Gottes Kleidung.||
Bin ich umwerfend, oder was?||
Ich will mehr Liebe geben als nehmen.|Nein, ernsthaft.|
Menge der Katzenbatzen = Glaubensstärke.||
