33000,0,8,0,8,
33000,9,9,90,93, //10層ボス
33000,10,18,9,26,
33000,19,19,94,97, //20層ボス
33000,20,28,9,26,
33000,29,29,94,97, //30層ボス
33000,30,38,27,53,
33000,39,39,98,103, //40層ボス
33000,40,48,27,53,
33000,49,49,98,103, //50層ボス
33000,50,58,27,53,
33000,59,59,98,103, //60層ボス
33000,60,68,54,89,
33000,69,69,104,111, //70層ボス
33000,70,78,54,89,
33000,79,79,104,111, //80層ボス
33000,80,88,54,89,
33000,89,89,104,111, //90層ボス
33000,90,97,54,89,
33000,98,98,104,111, //99層ボス
33000,99,99,112,112, //100層ボス
//マップID,ステージ番号(開始),ステージ番号(終了),抽選元データID(開始),抽選元データID(終了)
