เร่งความเร็ว|ความเร็วการต่อสู้จะเพิ่มขึ้นสองเท่า|แตะไอเทมระหว่างกำลังต่อสู้|เพื่อสลับเปิดและปิด|＠|
เรดาร์สมบัติ|โอกาสรับสมบัติ 100%|รับสมบัติระดับดีเลิศหรือ |รางวัลมาตรฐานเมื่อได้รับชัยชนะ|＠|
แมวเศรษฐี|แมวกรรมกรของคุณจะเริ่ม|การต่อสู้ที่เลเวลสูงสุด|＠||
ซีพียูแมว|ซีพียูแมวจะควบคุมฐานทัพของคุณ|และสู้ให้คุณ อย่าคาดหวังมาก|＠||
งานแมว|รับ XP เพิ่มขึ้น 1.5 เท่า|มากกว่าที่ได้รับตอนเคลียร์ด่านธรรมดา|＠||
แมวซุ่มยิง|แมวซุ่มยิงคอยยิงคุ้มกันและ|ดันศัตรูกลับไป พลังโจมตี|ผกผันไปตามพลังชีวิตฐานทัพแมวของคุณ|＠|
XP|ซื้อ XP เพื่อพาวเวอร์อัปยูนิตแมวของคุณ!|＠|＠||
NP|＠||||
หุ่นจำลอง|＠||||
หุ่นจำลอง|＠||||
5000 XP|＠||||
10000 XP|＠||||
30000 XP|＠||||
50000 XP|＠||||
100000 XP|＠||||
200000 XP|＠||||
500000 XP|＠||||
1000000 XP|＠||||
2000000 XP|＠||||
XP 500000|＠||||
ตั๋วแมว|＠||||
ตั๋วแรร์|＠||||
อาหารแมว|นำไปใช้ซื้อไอเทม XP และสินค้าอื่นๆ|＠|||
ตั๋วนำโชค|＠||||
|＠||||
|＠||||
ตั๋วนำโชค|＠||||
ตั๋วนำโชค|＠||||
ตั๋วนำโชค|＠||||
ตั๋วแพลตินัม|＠||||
เมล็ดผลไม้เหมียวม่วง|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
เมล็ดผลไม้เหมียวแดง|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
เมล็ดผลไม้เหมียวฟ้า|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
เมล็ดผลไม้เหมียวเขียว|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
เมล็ดผลไม้เหมียวเหลือง|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวม่วง|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวแดง|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวฟ้า|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวเขียว|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวเหลือง|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวเอปิก|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
เมล็ดผลไม้เหมียวอาวุโส|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวอาวุโส|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
เมล็ดผลไม้เหมียวเอปิก|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠||
ผลไม้เหมียวทอง|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠|
ตั๋วนำโชค|＠||||
ตั๋วนำโชค|＠||||
ตั๋วนำโชค|＠||||
ตั๋วนำโชค|＠||||
ตั๋วนำโชค|＠||||
ตาแมว [พิเศษ]|เพิ่มเพดานเลเวลให้กับแมวพิเศษหนึ่งตัว|※ใช้ได้กับยูนิตแมวเลเวล 30|＠||
ตาแมว [แรร์]|เพิ่มเพดานเลเวลให้กับแมวแรร์หนึ่งตัว|※ใช้ได้กับยูนิตแมวเลเวล 30|＠||
ตาแมว [ซูเปอร์แรร์]|เพิ่มเพดานเลเวลให้แมวซูเปอร์แรร์หนึ่งตัว|※ใช้ได้กับยูนิตแมวเลเวล 30|＠||
ตาแมว [อูเบอร์แรร์]|เพิ่มเพดานเลเวลให้แมวอูเบอร์แรร์หนึ่งตัว|※ใช้ได้กับยูนิตแมวเลเวล 30|＠||
ตาแมว [ตำนาน]|เพิ่มเพดานเลเวลให้แมวที่ไม่ใช่แมวธรรมดา|※ใช้ได้กับยูนิตแมวเลเวล 30|＠||
วิตาเมี้ยว [A]|ระยะเวลาการสำรวจของกามาโตโต้|จะสั้นลง 1 ชั่วโมง|＠||
วิตาเมี้ยว [B]|ระยะเวลาการสำรวจของกามาโตโต้|จะสั้นลง 3 ชั่วโมง|＠||
วิตาเมี้ยว [C]|ระยะเวลาการสำรวจของกามาโตโต้|จะสั้นลง 6 ชั่วโมง|＠||
ตาแมว [มืด]|ทำให้ยูนิตอูเบอร์แรร์เพิ่มเลเวลทะลุเลเวล 50|※ ใช้ได้กับยูนิตที่ไม่ใช่ยูนิตธรรมดาที่เกินเลเวล 30|||
|＠||||
โจมตีปืนใหญ่แมว|เพิ่มพลังโจมตีปืนใหญ่แมว|แต่ก็เพิ่มเวลารีชาร์จด้วย...||＠|
ระยะปืนใหญ่แมว|เพิ่มระยะโจมตีปืนใหญ่แมว|||＠|
ชาร์จปืนใหญ่แมว|ลดเวลารีชาร์จปืนใหญ่แมว|||＠|
อัตราความเร็วแมวกรรมกร|เพิ่มประสิทธิภาพแมวกรรมกร|เพิ่มอัตรารายได้||＠|
เป๋าตังค์แมวกรรมกร|เพิ่มเป๋าตังค์แมวกรรมกร|เพิ่มลิมิตขั้นสูงของรายได้||＠|
การป้องกันฐาน|เพิ่มพลังชีวิตฐานทัพแมว|||＠|
การวิจัย|เพิ่มความเร็วการผลิตแมว|||＠|
บัญชี|เพิ่มเงินที่ได้|เมื่อปราบศัตรูได้||＠|
การศึกษา|เพิ่มจำนวน XP|ที่ได้รับเมื่อเคลียร์ด่านได้||＠|
พลังงานแมว|เพิ่มขีดจำกัดสูงสุดของพลังงานแมว|คุณต้องใช้พลังงานแมวเพื่อสู้ต่อไปได้||＠|
พันธมิตรแมว: หุ่นจำลอง 1|＠||||
พันธมิตรแมว: หุ่นจำลอง 2|＠||||
พันธมิตรแมว: หุ่นจำลอง 3|＠||||
พันธมิตรแมว: หุ่นจำลอง 4|＠||||
พันธมิตรแมว: หุ่นจำลอง 5|＠||||
ตั๋วนำโชค|＠||||
ตั๋วนำโชค|＠||||
ตั๋วนำโชค G|＠||||
XP 100000|＠||||
|＠||||
XP|ซื้อ XP เพื่อพาวเวอร์อัปยูนิตแมวของคุณ!|＠|＠|＠|
XP|ซื้อ XP เพื่อพาวเวอร์อัปยูนิตแมวของคุณ!|＠|＠|＠|
XP|ซื้อ XP เพื่อพาวเวอร์อัปยูนิตแมวของคุณ!|＠|＠|＠|
XP|ซื้อ XP เพื่อพาวเวอร์อัปยูนิตแมวของคุณ!|＠|＠|＠|
XP|ซื้อ XP เพื่อพาวเวอร์อัปยูนิตแมวของคุณ!|＠|＠|＠|
อิฐ|วัสดุก่อสร้างสำหรับฐานทัพแมวแข็งแกร่ง|＠|＠|＠|
ขนนก|วัสดุก่อสร้างสำหรับฐานทัพแมวแข็งแกร่ง|＠|＠|＠|
ถ่านหิน|วัสดุก่อสร้างสำหรับฐานทัพแมวแข็งแกร่ง|＠|＠|＠|
ฟันเฟือง|วัสดุก่อสร้างสำหรับฐานทัพแมวแข็งแกร่ง|＠|＠|＠|
ทอง|วัสดุก่อสร้างสำหรับฐานทัพแมวแข็งแกร่ง|＠|＠|＠|
อุกกาบาต|วัสดุก่อสร้างสำหรับฐานทัพแมวแข็งแกร่ง|＠|＠|＠|
กระดูกอสูรกาย|วัสดุก่อสร้างสำหรับฐานทัพแมวแข็งแกร่ง|＠|＠|＠|
วิศวกร|ต้องการผู้ช่วยสร้างฐานทัพแมว|＠|＠|＠|
ตั๋วนำโชค|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค|＠|||
ความเป็นผู้นำ|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค|＠|||
|＠|||
ตั๋วนำโชค|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค|＠|||
ตั๋วนำโชค|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค|＠|||
แพ็กเริ่มต้นใหม่|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค|＠|||
ตั๋วนำโชค|＠|||
ตั๋วนำโชค G|＠
ตั๋วนำโชค G|＠
ตั๋วนำโชค G|＠
ตั๋วนำโชค G|＠
ตั๋วนำโชค|＠
ตั๋วนำโชค G|＠
ตั๋วนำโชค|＠
ตั๋วนำโชค G|＠
ตั๋วนำโชค|＠
บิกคุริมัน ช็อกโก|＠
ตั๋วนำโชค G|＠
ตั๋วนำโชค|＠
แอมโมไนต์|วัสดุก่อสร้างสำหรับฐานทัพแมวแข็งแกร่ง|＠|＠|＠|
ตั๋วนำโชค G|＠
ตั๋วนำโชค G|＠
ตั๋วนำโชค|＠
ตั๋วนำโชค G|＠
ตั๋วตำนาน 
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค|＠|||
ตั๋วนำโชค|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค G|＠|||
แมวเศรษฐีไม่จำกัดนาน 3 ชั่วโมง|＠|||
ซีพียูแมวไม่จำกัดนาน 3 ชั่วโมง|＠|||
แมวซุ่มยิงไม่จำกัดนาน 3 ชั่วโมง|＠|||
ตั๋วนำโชค G|＠|||
ตั๋วนำโชค|＠|||
ตั๋วนำโชค G|＠|||
ผลึกแพลตินัม|＠|||
ตาข่ายตำนาน|＠|||
5000 XP|＠|||
เมล็ดผลไม้เหมียวอากุ|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠|
ผลไม้เหมียวอากุ|ผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠|
|＠|||
|＠|||
เมล็ดผลไม้เหมียวทอง|เมล็ดผลไม้ลึกลับที่ช่วยให้|แมวบางตัวแสดงศักยภาพที่แท้จริงออกมาได้|＠|
|＠|||
จดหมายรัก|＠|||
ศิลา บ. สีม่วง|ศิลาที่ทำให้แมวเปลี่ยนคลาสได้|อาจมาจากมิติที่ต่างออกไป|＠|
ศิลา บ. สีแดง|ศิลาที่ทำให้แมวเปลี่ยนคลาสได้|อาจมาจากมิติที่ต่างออกไป|＠|
ศิลา บ. สีฟ้า|ศิลาที่ทำให้แมวเปลี่ยนคลาสได้|อาจมาจากมิติที่ต่างออกไป|＠|
ศิลา บ. สีเขียว|ศิลาที่ทำให้แมวเปลี่ยนคลาสได้|อาจมาจากมิติที่ต่างออกไป|＠|
ศิลา บ. สีเหลือง|ศิลาที่ทำให้แมวเปลี่ยนคลาสได้|อาจมาจากมิติที่ต่างออกไป|＠|
น้ำมนต์|＠|||
ตาข่ายตำนาน|＠|||
เหรียญทองแดง|＠|||
เหรียญเงิน|＠|||
เหรียญทอง|＠|||
เหรียญแพลตินัม|＠|||
|＠|||
มณีเบอฮีมอธม่วง|อัญมณีที่ทำให้แมวเปลี่ยนคลาสได้|อาจมาจากมิติที่ต่างออกไป|＠|
มณีเบอฮีมอธแดง|อัญมณีที่ทำให้แมวเปลี่ยนคลาสได้|อาจมาจากมิติที่ต่างออกไป|＠|
มณีเบอฮีมอธฟ้า|อัญมณีที่ทำให้แมวเปลี่ยนคลาสได้|อาจมาจากมิติที่ต่างออกไป|＠|
มณีเบอฮีมอธเขียว|อัญมณีที่ทำให้แมวเปลี่ยนคลาสได้|อาจมาจากมิติที่ต่างออกไป|＠|
มณีเบอฮีมอธเหลือง|อัญมณีที่ทำให้แมวเปลี่ยนคลาสได้|อาจมาจากมิติที่ต่างออกไป|＠|
ศิลาเบอฮีมอธเอปิก|ศิลาที่ทำให้แมวเปลี่ยนคลาสได้|อาจมาจากมิติที่ต่างออกไป|＠|
เครื่องรางระดับตำนาน|＠|||
จดหมายรัก|＠|||
อิฐ Z|วัสดุมิติพิเศษที่ใช้|ปรับปรุงฐาน/สไตล์ของฐานทัพแมว|＠|
