item_pack_name_0	応援セール！お得ネコカンパック 購入
item_pack_name_1	応援セール！超お得ネコカンパック 購入
item_pack_name_2	応援セール！激お得ネコカンパック 購入
item_pack_name_3	限定セール！ネコカンパック(梅) 購入
item_pack_name_4	限定セール！ネコカンパック(竹) 購入
item_pack_name_5	限定セール！ネコカンパック(松) 購入
item_pack_name_6	期間限定！レアチケット 購入
item_pack_name_7	期間限定！プラチナチケット 購入
item_pack_name_11	初心者応援プラチナパッケージ！ 購入
item_pack_name_12	期間限定！グミネコ 購入
item_pack_name_13	「シャクレルライオン」ネコカンパック
item_pack_name_14	「シャクレルタイガー」ネコカンパック
item_pack_name_15	「シャクレルパンダ」ネコカンパック
item_pack_name_17	大感謝パック 購入
item_pack_name_18	超限定セール！ネコカンパック超梅 購入
item_pack_name_19	超限定セール！ネコカンパック超竹 購入
item_pack_name_20	超限定セール！ネコカンパック超松 購入
item_pack_purchased_title	<flash>%@</flash><br>
item_pack_purchased_item	「%@」 %d個 → <color=255,255,0>%d個</color><br>
item_pack_purchased_xp	「%@」 %dXP → <color=255,255,0>%dXP</color><br>
item_pack_purchased_ticket	「%@」 %d枚 → <color=255,255,0>%d枚</color><br>
battle_result_first_clear_bonus	<color=255,255,0>初クリア報酬</color><br>ネコカン+30個<flash>ゲット！！</flash><br>さらにリーダーシップも1個<flash>ゲット！！</flash>
user_rank_gift_1600_catseye_unlocked	<flash>レベル上限解放！</flash><br>キャッツアイを使って、さらにキャラクターの<br>レベル上限を解放することができます
user_rank_popup_title1	<color=255,255,0>ユーザーランクミッション</color><br>
user_rank_popup_title2	<flash>ユーザーランク%dに到達</flash><br>
user_rank_popup_title3	<color=255,255,0>ユーザーランク${rankNum}達成！</color><br>報酬を受け取りますか？
user_rank_full_recovery_energy	さらにリーダーシップも1個<flash>ゲット！！</flash>
data_upload_error_catfood_20000	不正の恐れがあるデータが検出されましたので、セーブデータの保存は出来ません。恐れ入りますが、サポートまでご連絡ください。
energy_connecting	データを更新しています・・・
energy_connection_failed1	統率力の取得に失敗しました
energy_connection_failed2	通信環境の良い所で再起動してください
energy_fraud1	端末時間が変更された可能性があります
energy_fraud2	しばらくの間、統率力を回復できません
gamatoto_connection	データを更新しています・・・
