โจมตีเพิ่มขึ้น %@: %@	ดาเมจต่อ %@ เพิ่มขึ้น
ป้องกันเพิ่มขึ้น %@: %@	ดาเมจจาก %@ ลดลง
เพิ่มเอฟเฟกต์แข็งแกร่ง %@: %@	เอฟเฟกต์แข็งแกร่งจะเพิ่มกับ %@
เพิ่มดาเมจมหาศาล %@: %@	ดาเมจจะเพิ่มกับ %@
เพิ่มเอฟเฟกต์อึด %@: %@	ความอึดต่อการโจมตี %@ จะดีขึ้น
คลื่นความตายจิ๋ว %@	มีคลื่นจิ๋วเมื่อแพ้<br>ทุก 2 รอบ (ไม่สะสม)
ทนต่อดาเมจคลื่น %@	ลดดาเมจจากการโจมตีคลื่นของศัตรู
รับเงินคืน %@	รับเงินค่าใช้แมวที่แพ้คืนบางส่วน<br>ทุก 2 รอบ
ทนต่อกระแทกกลับ %@	ลดเอฟเฟกต์จากการโจมตีกระแทกกลับของศัตรู
บูสต์ด่านเรื่องราวแห่งตำนาน %@	บูสต์พลังชีวิตและโจมตี<br>ในด่านเรื่องราวแห่งตำนาน (ไม่สะสม)
มือสังหารยักษ์ %@	มือสังหารยักษ์ทุก 2 รอบ (ไม่สะสม)
