Festival de tesoros	#00acee
Festival de tesoros (Imp.)	100
Festival de tesoros (Fut.)	101
Festival de tesoros (Gal.)	104
Evento de orbes de talento	#864a2b
Isla del tesoro escondido	24055
Bote de Construcción	#374f8e
Caverna de Cometas	1150
Isla de Ceniza	1151
Estrecho de Alas	1152
Evento de tiques normales	#ff6600
¡Probabilidad de tique!	1006
¡Asedio de Hipo!	1007
Cara al Peligro	1078
Evento de Entrenamiento	#ff00ff
Fase de XP	1028
¡Megabote de XP!	1059
Coliseo de XP	1124
¡XP Inhumana!	1155
¡Bonanza de XP!	1319
Campo de Pruebas	1250
Even. material de mutación	#008f03
Cultivo Extraño	1162
Cultivo Épico	1222
Mal Proliferante	1274
Bufé de Fruta Felina	1118
Minería Épica	1326
Fases diarias	#82318e
Bote del Lunes	1073
Bote del Martes	1074
Bote del Miércoles	1075
Bote del Jueves	1076
Bote del Viernes	1077
Matanza de Mastodontes	#5f801f
Bosque Oculto de Gapra	31000
Desierto de Ashvini	31001
Volcán Jinfore	31002
Evento Inv. de Emperatriz	#3f7bd4
Confluencia Arcana	1255
Sirviente de la Oscuridad	1256
Gato Maligno	1257
Tanque Maligno	1258
Parque Demoníaco	1265
Gato Hachero Liberado	1266
