Conseguir más dinero|Toca el icono que señala la flecha para|aumentar la velocidad de producción de dinero.|＠|Conseguir más dinero|También aumenta la capacidad del monedero,|lo cual te da una gran ventaja.|＠||||||||
Desplegar unidades|¡Vamos a soltar unos cuantos gatos!|Para ello, toca el icono de abajo.|＠|Desplegar unidades|Los gatos atacan la base enemiga en automático.|Primero acumula un poco de dinero|para poder seguir desplegando unidades.|＠|||||||
Disparar la gatorreta|El icono de la gatorreta parpadeará cuando esté|lista para disparar. Espera a que los enemigos se|acerquen y, cuando estén al alcance, ¡zas!|＠|||||||||||
Cambiar unidades|Cuando tengas más de 6 tipos de unidades,|podrás cambiar entre ellas alternando|así entre las dos filas que se muestran.|＠|||||||||||
¿Crees en Dios?|Toca el botón de arriba para recibir una ayudita.|¡Ya verás como empiezas a creer en los milagros!|＠||||||||||||
Usar los objetos eficazmente|Estos son los objetos actualmente en uso.|Toca el icono para|activarlos o desactivarlos.|＠|||||||||||
Organizar gatos (nivel básico)|Toca la imagen del gato que quieras usar|y arrástralo hasta el hueco de arriba|para poder usarlo en combate.|Organizar gatos (nivel medio)|Toca la imagen del gato que quieras|y arrástralo a otro lugar de la formación|o llévalo fuera para eliminarlo de tu equipo.|＠|||||||
Cómo usar los objetos|Toca el icono del objeto que quieras usar.|Nota:|Seleccionarás los objetos antes de la batalla.|＠|||||||||||
Friskas (nivel básico)|Es un tipo de moneda especial que se recibe|en eventos o se compra en la tienda de Friskas.|＠|Friskas (nivel medio)|Toca la lata con el símbolo + para comprar|más Friskas.|Nota: Necesitarás una conexión de red estable.|＠|||||||
En este día sagrado, ¡aquí llega el Misidiós!|Necesitarás Friskas para que te ayude,|¡pero esta vez es gratis!|¡Toca el icono!|＠|||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
Visualización de unidades|Accede a los ajustes en el menú de pausa|para mostrar tus unidades en dos filas.|＠|＠|＠|＠|＠|＠|＠|＠|
