100000|1
150000|1|El mundo ha encontrado un poco de paz.
200000|1|Mañana no se te pegarán las sábanas... demasiado.
250000|1|Aquello que se te perdió está detrás del sofá.
300000|1|Tu mirada transmite una voluntad férrea.
350000|1|Tu vista mejorará poquito a poco.
400000|1|Te acuerdas de la cápsula del tiempo que enterraste.
500000|1|El corazón te da un vuelco.
750000|1|En el próximo examen sacarás un 9,9.
800000|2|Presientes que el templo está a punto de mejorar.
825000|2|Piensas en toda la XP que has ofrecido hasta ahora.
850000|2|Pero ¿de qué le vale al Misidiós toda esta XP?
875000|2|Recuerdas el aroma del limón fresco.
900000|2|Tu alma se siente colmada de amor.
950000|2|El futuro se ha vuelto un poco más claro.
1000000|2|Ahora eres una persona un poco más fotogénica.
1150000|2|Te inunda una sensación de alegría.
1250000|2|Pronto te acompañará la buena suerte.
1400000|2|¡Has ganado valor para seguir luchando!
1500000|3|¡Tu esfuerzo no será en vano!
1600000|3|¡El año que viene te esforzarás más que nunca!
1700000|3|Pero ¿qué es la auténtica felicidad?
1800000|3|Tu sentido psíquico se ha afinado... o no.
1900000|3|En alguna parte, un niño acaba de llegar al mundo.
2500000|3|En alguna parte, un héroe ha alcanzado el nivel 1.
3000000|3|Te acuerdas del rostro de tu primer amor.
4000000|3|Tu número de seguidores aumentará un poco.
5000000|3|Tu alma ha crecido aún más...
7000000|3|Tienes ganas de llamar por teléfono a tu madre...
9000000|4|De repente te sientes más audaz.
9000000|4|Pronto dejará de dolerte esa muela.
9000000|4|Se te ha ocurrido una nueva estrategia de combate.
9000000|4|Has dado el primer paso hacia la madurez.
9000000|4|Sientes que eres capaz de surcar los cielos.
9000000|4|La persona a la que esperas llegará pronto.
9000000|4|Crees que la próxima bola te traerá suerte.
9000000|4|Pronto dominarás el doble salto.
9000000|4|Se te ha venido a la mente un haiku magnífico.
9000000|4|Te esperan un millón de dólares... algún día.
9000000|5|¡Tu fortuna va a subir como la espuma!
9000000|5|Tienes absoluta determinación.
9000000|5|Te viene el recuerdo de un aroma nostálgico...
9000000|5|El dolor de cuello se te curará pronto.
9000000|5|Pronto se notará tu esfuerzo en el gimnasio.
9000000|5|Esa colonia nueva te queda estupendamente.
9000000|5|Tus vecinos también tendrán suerte.
9000000|5|Pronto recuperarás la fe en la raza felina.
9000000|5|Tus gatos acabarán adorándote aún más.
9000000|5|Tu tío favorito por fin va a lograr ese ascenso.
17060000|6|El templo es más resistente a los terremotos.
17120000|6|Esperas que mañana vaya mejor.
17180000|6|Encuentras el pimiento más sabroso.
17240000|6|Tu colchón huele como un nuevo día.
17300000|6|Te has vuelto un poco frágil.
17360000|6|Encuentras dos yemas en tu huevo.
17420000|6|Has ganado un polo.
17480000|6|Una anciana a la que no conoces te dio un caramelo.
17540000|6|Mejoras tu acicalamiento.
17600000|6|Se te ha ocurrido un chiste hilarante.
17660000|7|Se ha conseguido financiar la reforma del templo.
17720000|7|La colada se ha secado en un pispás.
17780000|7|Los mosquitos no se te acercarán.
17840000|7|Ves un arcoíris después de la tormenta.
17900000|7|Al vecino le ha dejado de doler la espalda.
17960000|7|Ha nacido un gatito en algún lugar.
18020000|7|Se han reavivado las pasiones de tu juventud.
18080000|7|Tu guarnición favorita está a mitad de precio.
18140000|7|Alguien ha encontrado un trébol de cuatro hojas.
18200000|7|Te has acordado de una contraseña muy antigua.
-1|8|Has encontrado la paz interior.
