shopID	gatyaItemID	ItemValue	ItemPrice	drawItemValue	CategoryName	imgcut
0	0	9	50	1	shop_category1	0
1	1	2	90	1	shop_category1	1
2	2	7	150	1	shop_category1	2
3	3	20	180	1	shop_category1	3
4	4	5	300	1	shop_category1	4
5	5	3	90	1	shop_category1	5
6	80	1	75	0	shop_category2	6
7	81	1	150	0	shop_category2	7
8	82	1	450	0	shop_category2	8
9	83	1	900	0	shop_category2	9
10	84	1	1500	0	shop_category2	10
11	55	3	30	1	shop_category3	11
12	56	3	80	1	shop_category3	12
13	57	3	150	1	shop_category3	13
14	201	1	0	0	shop_category2	14
