Hai ricevuto 20 Friskat!<br>D: quanti anni ha The Battle Cats?<br>Sugg.: guarda il menu del titolo!	Giorno 1
Hai ricevuto 1 scatola misteriosa!<br>D: come si usa la scatola mist.?<br>Sugg.: vedi le capsule evento!	Giorno 2
Hai ricevuto 1 Biglietto raro!<br>D: cosa puoi ottenere<br>dalle Slot Feline?<br>Suggerimento: un oggetto speciale!	Giorno 3
Hai ricevuto 1 scatola misteriosa!<br>D: in quale livello<br>appare Cane torta? Suggerimento:<br>un livello dell'anniversario!	Giorno 4
Hai ricevuto 1 Biglietto raro!<br>D: quanti livelli<br>"Cosa c'è nella scatola?!" ci sono?<br>Sugg.: # I. Gatti C1 liv 1 Nepal.	Giorno 5
Hai ricevuto 1 scatola misteriosa!<br>D: che caratteri ci sono sul<br>cappello del Gatto nella Base fel.?<br>Sugg.: è un alfabeto specifico.	Giorno 6
Hai ricevuto 1 Biglietto raro!<br>D: cosa ottieni dopo aver<br>superato Impero dei Gatti Cap. 1?<br>Sugg.: solo da questo evento!	Giorno 7
Hai ricevuto 1 scatola misteriosa!<br>D: su cosa viaggiano i Gatti nei<br>livelli "Cosa c'è nella scatola?!"<br>Sugg.: un modo veloce per girare il mondo	Giorno 8
Hai ricevuto 20 Friskat!<br>D: quali unità sono a metà prezzo<br>durante questo evento?<br>Sugg.: controlla il menu Potenzia!	Giorno 9
Hai ricevuto 1 Biglietto raro!<br>D: quanti timbri evento hai<br>ottenuto finora per questo evento?<br>Sugg.: sei quasi a metà strada!	Giorno10
Hai ricevuto 1 scatola misteriosa!<br>D: quante volte puoi girare la<br>Slot felina? Suggerimento:<br>non dimenticare i giri bonus!	Giorno11
Hai ricevuto 1 Biglietto raro!<br>D: cosa c'è dietro la porta<br>scorrevole della Base Felina?<br>Sugg.: vedi la porta scorrevole!	Giorno12
Hai ricevuto 1 scatola misteriosa!<br>D: quante unità ??? ci sono<br>in "Cosa c'è nella scatola"?<br>Sugg.: vedi il banner capsule ev.!	Giorno13
Hai ricevuto 1 Biglietto raro!<br>D: quanti livelli Regalo di<br>compleanno ci sono?<br>Sugg.: un bel po'!	Giorno14
Hai ricevuto 1 scatola misteriosa!<br>D: quanti timbri dell'anniversario<br>ci sono? Sugg.:<br>solo altri 5!	Giorno 15
Hai ricevuto 1 Biglietto raro!<br>D: quante domande ci sono nel<br>Quiz felino? Sugg.:<br>vai alla Base felina!	Giorno 16
Hai ricevuto 1 scatola misteriosa!<br>D: cosa ottieni se finisci<br>il quiz felino? Suggerimento:<br>vedi la scheda missioni!	Giorno 17
Hai ricevuto 1 Biglietto raro!<br>D: cosa ottieni se rispondi<br>al sondaggio dell'evento?<br>Suggerimento: vedi le notifiche!	Giorno 18
Hai ricevuto 1 scatola misteriosa!<br>D: che anniversario festeggerà<br>The Battle Cats l'anno prossimo?<br>Suggerimento: 9+1 = ???	Giorno 19
Hai ricevuto 1 Biglietto raro!<br><flash>CONGRATULAZIONI!</flash><br>Hai raccolto tutti i timbri!<br>Goditi la festa!	Giorno 20
