＠|＠|＠|＠|＠|＠|＠|			//ネコ
＠|＠|＠|＠|＠|＠|＠|			//タンクネコ
＠|＠|＠|＠|＠|＠|＠|			//バトルネコ
＠|＠|＠|＠|＠|＠|＠|			//キモネコ
＠|＠|＠|＠|＠|＠|＠|			//ウシネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコノトリ
＠|＠|＠|＠|＠|＠|＠|			//ネコフィッシュ
＠|＠|＠|＠|＠|＠|＠|			//ネコトカゲ
＠|＠|＠|＠|＠|＠|＠|			//巨神ネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコ女優
＠|＠|＠|＠|＠|＠|＠|			//カンフーにゃんこ
＠|＠|＠|＠|＠|＠|＠|			//Mr.
＠|＠|＠|＠|＠|＠|＠|			//猫縛り
＠|＠|＠|＠|＠|＠|＠|			//女王猫
＠|＠|＠|＠|＠|＠|＠|			//ネコの箱詰め
＠|＠|＠|＠|＠|＠|＠|			//ネコパンツ
La Forma Reale ottiene maggiore|Difesa, più possibilità di danni critici|e in più ottiene l'abilità di mini-ondate.|＠|La Forma Reale ottiene maggiore|Difesa, più possibilità di danni critici|e in più ottiene l'abilità di mini-ondate.|			//もねこ
＠|＠|＠|＠|＠|＠|＠|			//ネコリンリン
＠|＠|＠|＠|＠|＠|＠|			//ネコ忍者
＠|＠|＠|＠|＠|＠|＠|			//ネコゾンビ
＠|＠|＠|＠|＠|＠|＠|			//ネコざむらい
＠|＠|＠|＠|＠|＠|＠|			//スモウネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコフィーバー
＠|＠|＠|＠|＠|＠|＠|			//ネコスカート
＠|＠|＠|＠|＠|＠|＠|			//ネコヴァルキリー
＠|＠|＠|＠|＠|＠|＠|			//ネコムート
＠|＠|＠|＠|＠|＠|＠|			//ケリ姫
＠|＠|＠|＠|＠|＠|＠|			//ネコひめ
＠|＠|＠|＠|＠|＠|＠|			//ネコカプセル
＠|＠|＠|＠|＠|＠|＠|			//マスクオブネコ
L'evoluzione Forma Reale aumenta il raggio!|Dà anche una possibilità di ridurre|il potenziale d'attacco di nemici fluttuanti!|＠|L'evoluzione Forma Reale aumenta il raggio!|Dà anche una possibilità di ridurre|il potenziale d'attacco di nemici fluttuanti!|			//ネコぼさつ
La Forma Reale aumenta le statistiche!|In più immobilizza gli antichi|e diventa immune dalle maledizioni.|＠|La Forma Reale aumenta le statistiche!|In più immobilizza gli antichi|e diventa immune dalle maledizioni.|			//ネコ番長
La Forma Reale aumenta la difesa|e l'attacco! Blocca teletrasporto e|rallenta ancora di più i nemici rossi!|＠|La Forma Reale aumenta la difesa|e l'attacco! Blocca teletrasporto e|rallenta ancora di più i nemici rossi!|			//ネコザイル
La Forma Reale aumenta la velocità|e la potenza d'attacco! In più, ora blocca|i danni e gli effetti degli attacchi a ondata!|＠|La Forma Reale aumenta la velocità|e la potenza d'attacco! In più, ora blocca|i danni e gli effetti degli attacchi a ondata!|			//ねこタツ
