800	Ricevi 1 Biglietto raro.
900	Potenzia i Gatti rari <br>al livello 25. <br><span class="fs76">* Potenzia i Gatti con gli XP</span>
1000	Potenzia i Gatti super rari <br>al livello 25. <br><span class="fs76">* Potenzia i Gatti con gli XP</span>
1100	Potenzia i Gatti ultra rari <br>al livello 25. <br><span class="fs76">* Potenzia i Gatti con gli XP</span>
1200	Potenzia i Gatti rari <br>al livello 30. <br><span class="fs76">* Potenzia i Gatti con gli XP</span>
1300	Potenzia i Gatti super rari <br>al livello 30. <br><span class="fs76">* Potenzia i Gatti con gli XP</span>
1400	Potenzia i Gatti ultra rari <br>al livello 30. <br><span class="fs76">* Potenzia i Gatti con gli XP</span>
1500	Potenzia i Gatti normali <br>a MAX+25.
1600	Potenzia i Gatti speciali <br>al livello 30. <br><span class="fs76">* Potenzia i Gatti con gli XP</span>
1700	Potenzia i Gatti normali <br>a MAX+30. <br><span class="fs76">* Potenzia con le Miaocapsule</span>
1800	Potenzia i Gatti rari <br>a MAX+20. <br><span class="fs76">* Potenzia con le capsule rare</span>
1900	Potenzia i Gatti rari <br>a MAX+30. <br><span class="fs76">* Potenzia con le capsule rare</span>
2000	Potenzia i Gatti super rari <br>a MAX+20. <br><span class="fs76">* Potenzia con le capsule rare</span>
2100	Potenzia i Gatti ultra rari <br>a MAX+20. <br><span class="fs76">* Potenzia con le capsule rare</span>
2200	Ricevi 1 Biglietto raro.
2300	Potenzia i Gatti rari <br>a MAX+40. <br><span class="fs76">* Potenzia con le capsule rare</span>
2400	Potenzia i Gatti super rari <br>a MAX+30. <br><span class="fs76">* Potenzia con le capsule rare</span>
2500	Potenzia i Gatti ultra rari <br>a MAX+30. <br><span class="fs76">* Potenzia con le capsule rare</span>
2600	Ricevi 1 Biglietto raro.
2700	Sblocca 3 nuove combo feline.
2800	Ricevi 1 Biglietto raro.
2900	Potenzia i Gatti normali <br>a MAX+35. <br><span class="fs76">* Potenzia con le Miaocapsule</span>
3000	Potenzia i Gatti normali <br>a MAX+40. <br><span class="fs76">* Potenzia con le Miaocapsule</span>
