16,246,-1,-1,-1,    //マップ番号 0～16,　アイテム報酬型ステージ設定(-1:OFF),　スコア報酬型ステージ設定(-1:OFF)
7,						//マップパターン 0～
200,7600,81,100,81,1,3,1,-1,			//1ステージ
200,7600,82,99,81,1,0,1,-1,			//2ステージ
200,7600,81,100,81,1,5,1,-1,			//3ステージ
200,7600,82,99,81,1,4,1,-1,			//4ステージ
250,9500,81,100,81,1,2,1,-1,			//5ステージ
230,8740,82,99,49,100,157,1,1,1,1,1,-1,			//6ステージ
240,9120,69,100,69,100,157,2,1,1,1,1,-1,			//7ステージ
250,9500,82,99,142,100,157,3,1,1,1,1,-1,			//8ステージ

//真レジェンド48マップ目
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット	1000自衛隊キャラクター
//貰える数		0
