25,-1,114,-1,-1
11
50,950,33,100,33,5,1063,1,-2,-2,-2,-2,-2,-2,-2,1,500,0,1,-1
70,1330,3,100,3,10,1063,1,-2,-2,-2,-2,-2,-2,-2,1,500,3,1,-1
80,1520,30,100,30,20,1063,1,-2,-2,-2,-2,-2,-2,-2,1,500,6,50000,-1
90,1710,33,100,33,50,1063,1,-2,-2,-2,-2,-2,-2,-2,1,500,4,1,-1
100,1900,3,100,3,100,1063,1,-2,-2,-2,-2,-2,-2,-2,1,500,5,1,-1
110,2090,30,100,30,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,11,1,-1
120,2280,33,100,33,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,55,3,-1
140,2660,30,100,30,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,56,3,-1
150,2850,3,100,3,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,57,3,-1
200,3800,34,100,34,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,11,1,-1
