그린 크리스탈|에이리언 속성(별 있음)을 가진 적에게|대항하는 힘 대폭 증가!|
옐로우 크리스탈|에이리언 속성(별 있음)을 가진 적에게|대항하는 힘 대폭 증가!|
오렌지 크리스탈|에이리언 속성(별 있음)을 가진 적에게|대항하는 힘 대폭 증가!|
라이트블루 크리스탈|에이리언 속성(별 있음)을 가진 적에게|대항하는 힘 대폭 증가!|
퍼플 크리스탈|에이리언 속성(별 있음)을 가진 적에게|대항하는 힘 대폭 증가!|
강철의 과실|메탈 적에 대항하는|특수능력 효과 증가!|
명계의 과실|좀비에 대항하는|특수능력 효과 증가!|
외계의 과실|에이리언에 대항하는|특수능력 효과 증가!|
다크 매터|통솔력의|최대치 증가!|
뉴트리노|스테이지 클리어 시의|경험치 증가!|
수수께끼의 가면|우주편 제1장 최종 스테이지에서|효과를 발동하는 수수께끼의 가면|
???|발동에 필요한 보물이|모두 모이지 않았습니다|
???|모두 모이면 에이리언 속성(별 있음)에|대항하는 힘이 대폭 증가!|
???|모두 모이면 에이리언 속성(별 있음)에|대항하는 힘이 대폭 증가!|
???|모두 모이면 에이리언 속성(별 있음)에|대항하는 힘이 대폭 증가!|
???|모두 모이면 에이리언 속성(별 있음)에|대항하는 힘이 대폭 증가!|
???|모두 모이면 에이리언 속성(별 있음)에|대항하는 힘이 대폭 증가!|
???|모두 모이면 메탈 적에 대항하는|특수능력 효과가 대폭 증가!|
???|모두 모이면 좀비에 대항하는|특수능력 효과가 대폭 증가!|
???|모두 모이면 에이리언에 대항하는|특수능력 효과가 대폭 증가!|
???|모두 모이면 통솔력의|최대치 증가!|
???|모두 모이면 스테이지 클리어 시의|경험치가 대폭 증가!|
???|???|
