3,-1,28,-1,-1,				//マップ番号(0～17)，アイテム報酬型ステージ設定(-1:OFF)，スコア報酬型ステージ設定(-1:OFF)，ステージ表示タイミング，プレイ可能タイミング，
4,					//マップ番号によるマップパターン(0～3)，
30,900,3,90,33,1,1032,1,-2,-2,-2,-2,-2,-2,-2,1,8500,6,50000,4500,0,1,500,6,5000,-1,		//1ステージ
45,1350,30,99,31,2,1032,1,-2,-2,-2,-2,-2,-2,-2,1,7000,2,1,4500,6,30000,500,6,15000,-1,		//2ステージ
60,1800,3,99,33,3,1032,1,-2,-2,-2,-2,-2,-2,-2,1,8000,11,1,4000,6,50000,500,3,1,-1,		//3ステージ
70,2100,30,99,32,4,1032,1,-2,-2,-2,-2,-2,-2,-2,1,6500,6,150000,4500,5,1,500,0,1,-1,		//4ステージ
80,2400,31,100,31,5,1032,1,-2,-2,-2,-2,-2,-2,-2,1,6500,4,1,3500,6,150000,500,6,50000,-1,		//5ステージ
90,3000,33,100,33,10,1032,1,-2,-2,-2,-2,-2,-2,-2,1,4500,1,1,3500,6,300000,2500,11,1,500,12,1,-1,		//6ステージ

//イースターステージ
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット	1000自衛隊キャラクター
//貰える数		0
