bgm	loop	priority
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	0	-1
1	1	-1
0	0	30
0	0	30
0	0	30
0	0	40
0	0	40
0	0	100
0	0	100
0	0	40
0	0	40
0	0	50
0	0	100
0	0	100
0	0	1
0	0	1
0	0	1
0	0	1
0	0	1
0	0	1
0	0	10
0	0	10
0	0	1
0	0	1
0	0	30
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
0	0	25
0	0	25
0	0	25
0	0	25
0	0	25
0	0	25
0	0	50
0	0	50
0	0	50
0	0	20
0	0	1
0	0	45
1	1	-1
1	1	-1
1	1	-1
0	0	20
0	0	50
1	1	-1
0	0	50
0	0	50
0	0	50
0	0	45
0	0	30
1	1	-1
0	0	20
0	0	10
0	0	10
1	1	-1
0	0	45
0	0	30
0	0	10
1	1	-1
1	1	-1
1	1	-1
1	1	-1
0	0	20
0	0	20
0	0	20
0	0	20
0	0	20
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
0	0	10
0	0	10
0	0	10
0	0	10
1	1	-1
1	1	-1
1	1	-1
0	0	20
1	1	-1
0	0	45
0	0	45
0	0	45
0	0	45
0	0	45
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
0	0	30
0	0	30
0	0	30
0	0	40
0	0	40
0	0	20
0	0	20
0	0	20
1	1	-1
0	0	45
0	0	45
0	0	30
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
0	0	10
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
0	0	45
0	0	45
0	0	20
0	0	20
0	0	20
0	0	20
1	1	-1
1	1	-1
1	1	-1
0	0	20
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
0	0	20
1	1	-1
1	1	-1
0	0	20
1	1	-1
1	1	-1
1	1	-1
1	1	-1
0	0	20
0	0	20
0	0	20
0	0	30
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
1	1	-1
