49,-1,167,-1,127
4
50,1500,184,99,185,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,8400,3,1,6000,6,20000,500,6,10000,-1
70,2100,184,100,184,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,7900,2,1,4900,4,1,500,6,40000,-1
90,2700,184,99,185,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,7200,1,1,5400,5,1,500,11,1,-1
110,3300,185,100,185,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,5700,0,1,4100,6,50000,500,6,25000,-1
130,3900,184,99,185,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,6100,6,100000,4900,55,1,500,11,1,-1
150,4500,184,99,185,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,6100,50,2,3300,56,1,500,6,150000,-1
170,5100,185,100,185,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,6300,51,2,5000,57,1,500,6,200000,-1
190,5700,184,99,185,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,5500,52,2,4800,6,250000,500,11,1,-1
210,6300,184,99,185,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,4100,53,2,2900,6,300000,500,6,200000,-1
230,6900,186,100,186,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,1700,54,2,1100,105,1,500,12,1,-1
