800,21,1,-1
900,1200,5,-1
1000,1399,5,-1
1100,1400,5,-1
1200,1200,5,-1
1300,1399,5,-1
1400,1400,5,-1
1500,4000,6,-1
1600,1100,10,-1
1700,4000,5,-1
1800,4299,11,4298,1,-1
1900,4297,10,-1
2000,4399,11,4398,1,-1
2100,4499,11,4498,1,-1
2200,21,1,-1
2300,4297,10,-1
2400,4399,10,4398,10,-1
2500,4499,10,4498,10,-1
2600,21,1,-1
2700,10001,1,-1
2800,21,1,-1
2900,4000,5,-1
3000,4000,5,-1
3100,4297,10,-1
3200,4399,10,4398,10,-1
3300,4499,10,4498,10,-1
3400,21,1,-1
1450,10002,1,-1
2150,10003,1,-1
1550,40,1,-1
1650,50,3,-1
1750,51,3,-1
1850,52,3,-1
1950,53,3,-1
3500,4000,5,-1
3550,4000,5,-1
3600,1398,5,-1
3650,1398,5,-1
4000,21,1,-1
4050,4297,10,-1
4100,4399,10,4398,10,-1
4150,4499,10,4498,10,-1
2250,40,1,-1
2350,50,3,-1
2450,51,3,-1
2550,52,3,-1
2650,53,3,-1
3050,40,1,-1
3150,50,3,-1
3250,51,3,-1
3350,52,3,-1
3450,53,3,-1
100,21,1,-1
200,0,5,-1
300,6,50000,-1
400,1,1,-1
500,20,2,-1
600,4,2,-1
700,6,100000,-1
3700,1,3,-1
3750,40,3,-1
3800,50,3,-1
3850,51,3,-1
3900,52,3,-1
3950,53,3,-1
4200,4000,5,-1
4250,4000,5,-1
4300,40,3,-1
4350,50,3,-1
4400,51,3,-1
4450,52,3,-1
4500,53,3,-1
4550,21,1,-1
4600,4297,10,-1
4650,4399,10,4398,10,-1
4700,4499,10,4498,10,-1
1050,2,3,-1
1150,5,2,-1
1250,20,2,-1
1350,21,1,-1
2050,57,3,-1
2750,5,5,-1
2850,57,3,-1
2950,20,3,-1
4750,38,5,-1
4800,35,5,-1
4850,36,5,-1
4900,37,5,-1
4950,39,5,-1
5000,40,5,-1
5050,4000,5,-1
5100,4000,5,-1
5150,21,1,-1
5200,50,5,-1
5250,51,5,-1
5300,52,5,-1
5350,53,5,-1
5400,1,3,-1
5750,4000,5,-1
5800,4000,5,-1
5450,38,5,-1
5500,35,5,-1
5550,36,5,-1
5600,37,5,-1
5650,39,5,-1
5700,40,5,-1
5850,4297,10,-1
5900,4399,10,4398,10,-1
5950,4499,10,4498,10,-1
6000,21,1,-1
6500,40,5,-1
7000,21,1,-1
6100,50,5,-1
6200,51,5,-1
6300,52,5,-1
6400,53,5,-1
6600,55,5,-1
6700,56,5,-1
6800,57,5,-1
6900,38,5,-1
7500,40,5,-1
8000,21,1,-1
7100,35,5,-1
7200,36,5,-1
7300,37,5,-1
7400,39,5,-1
7777,21,7,-1
7600,50,5,-1
7700,51,5,-1
7800,52,5,-1
7900,53,5,-1
8500,40,5,-1
9000,21,1,-1
8100,55,5,-1
8200,56,5,-1
8300,57,5,-1
8400,38,5,-1
8600,35,5,-1
8700,36,5,-1
8800,37,5,-1
8900,39,5,-1
9100,50,5,-1
9200,51,5,-1
9300,52,5,-1
9400,53,5,-1
9500,40,5,-1
1110,1500,5,-1
1410,1500,5,-1
10000,29,1,-1
