Ottieni più soldi|Tocca l'icona indicata dalla freccia per|accelerare la produzione di soldi!|＠|Ottieni più soldi|Aumenta anche la capacità del portafogli|dandoti un vantaggio in risorse!|＠||||||||
Produci Gatti|Ora facciamo uscire dei Gatti!|Tocca l'icona sottostante!|＠|Produci Gatti|I Gatti attaccano la base nemica in automatico.|Prima accumula soldi|e continua a produrre Gatti!|＠|||||||
Spara con il cannone felino!|Appare un'icona quando il cannone felino|è pronto a fare fuoco. Attira i nemici|a portata di tiro e SPARA!|＠|||||||||||
Cambia unità!|Quando hai più di 6 tipi di Gatti|puoi passare da uno all'altro|scorrendo con il dito in questo modo.|＠|||||||||||
Credi nel potere divino?|Tocca il pulsante qua sopra per chiedere aiuto!|Devi credere nei miracoli!|＠||||||||||||
Usa gli oggetti in modo efficiente!|Questi sono gli oggetti attualmente in uso!|Tocca l'icona per|attivare/disattivare.|＠|||||||||||
Come organizzare i Gatti 1|Tocca e trascina l'icona del Gatto|che vuoi usare, e portala|nello slot sopra per usarlo in battaglia|Come organizzare i Gatti 2|Tocca e trascina l'icona del Gatto che vuoi|riordinare e trascina il Gatto|sotto per rimuoverlo|＠|||||||
Come usare oggetti|Tocca l'icona dell'oggetto che vuoi usare!|Nota:|seleziona i tuoi oggetti prima della battaglia.|＠|||||||||||
Friskat 1|Il Friskat è una valuta speciale che si può|ricevere dal negozio Friskat o dagli eventi|＠|Friskat 2|Tocca l'icona + sottostante per acquistare Friskat!|Nota:|è richiesta una connessione di rete affidabile.|＠|||||||
Il primo avvento! Arriva il Gatto divino!|Normalmente serve il Friskat per il suo aiuto,|ma per stavolta è GRATIS!|Tocca l'icona!|＠|||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
Visualizzazione Unità|Vai alle Impostazioni sulla schermata di pausa|per visualizzare le Unità in 2 file.|＠|＠|＠|＠|＠|＠|＠|＠|
