nekokan_product_id	index	nekokan_n	product_name
jp.co.ponos.battlecats.nekokan1	0	30	ネコカン30個
jp.co.ponos.battlecats.nekokan2	1	90	ネコカン90個
jp.co.ponos.battlecats.nekokan3	2	180	ネコカン180個
jp.co.ponos.battlecats.nekokan4	3	330	ネコカン330個
jp.co.ponos.battlecats.nekokan5	4	690	ネコカン690個
jp.co.ponos.battlecats.nekokan6	5	1080	ネコカン1080個
jp.co.ponos.battlecats.nekokan7	6	1860	ネコカン1860個
jp.co.ponos.battlecats.nekokan8	7	3900	ネコカン3900個
jp.co.ponos.battlecats.nekokan_pack1	8	160	初心者パック1
jp.co.ponos.battlecats.nekokan_pack2	9	400	初心者パック2
jp.co.ponos.battlecats.nekokan_pack3	10	1100	初心者パック3
jp.co.ponos.battlecats.rankup_sale1	11	160	ランクアップセール1
jp.co.ponos.battlecats.rankup_sale2	12	0	ランクアップセール2
jp.co.ponos.battlecats.rankup_sale3	13	0	ランクアップセール3
jp.co.ponos.battlecats.item_pack1	14	160	アイテムパック1
jp.co.ponos.battlecats.item_pack2	15	400	アイテムパック2
jp.co.ponos.battlecats.item_pack3	16	1100	アイテムパック3
jp.co.ponos.battlecats.matatabi_set1	17	900	マタタビセット1
jp.co.ponos.battlecats.matatabi_set2	18	1900	マタタビセット2
jp.co.ponos.battlecats.matatabi_set3	19	4000	マタタビセット3
jp.co.ponos.battlecats.platinum_ticket	20	100	プラチナチケット
jp.co.ponos.battlecats.rare_ticket	21	0	レアチケット
jp.co.ponos.battlecats.platinum_ticket2	22	0	プラチナチケット2
jp.co.ponos.battlecats.nyanko_club	23	0	にゃんこクラブ
jp.co.ponos.battlecats.chara_479	24	30	グミネコ
jp.co.ponos.battlecats.restart	25	0	リスタートパック
jp.co.ponos.battlecats.daikansha_set	26	0	大感謝パック
jp.co.ponos.battlecats.super_set1	27	0	超限定セール！ネコカンパック超梅
jp.co.ponos.battlecats.super_set2	28	0	超限定セール！ネコカンパック超竹
jp.co.ponos.battlecats.super_set3	29	0	超限定セール！ネコカンパック超松
jp.co.ponos.battlecats.premium_sale	30	0	おめでとうセール
jp.co.ponos.battlecats.chara_558	31	0	キャラ「レアガチャネコ」販売
jp.co.ponos.battlecats.chara_567	32	0	キャラ「チビクロプスネコタマゴ」販売
jp.co.ponos.battlecats.legend_ticket	33	0	レジェンドチケット販売
jp.co.ponos.battlecats.otasuke_sale1	34	0	お助けセール！ネコボン3時間使い放題
jp.co.ponos.battlecats.otasuke_sale2	35	0	お助けセール！ニャンピュータ3時間使い放題
jp.co.ponos.battlecats.otasuke_sale3	36	0	お助けセール！スニャイパー3時間使い放題
jp.co.ponos.battlecats.chara_608	37	0	限定キャラ「ネコウエハース」販売
jp.co.ponos.battlecats.powerup_sale1	38	0	パワーアップセール！ネコカン&アイテムパック梅
jp.co.ponos.battlecats.powerup_sale2	39	0	パワーアップセール！ネコカン&アイテムパック竹
jp.co.ponos.battlecats.powerup_sale3	40	0	パワーアップセール！ネコカン&アイテムパック松
jp.co.ponos.battlecats.kansha_set	41	0	感謝パック
