＠|＠|＠|＠|＠|＠|＠|			//ネコ
＠|＠|＠|＠|＠|＠|＠|			//タンクネコ
＠|＠|＠|＠|＠|＠|＠|			//バトルネコ
＠|＠|＠|＠|＠|＠|＠|			//キモネコ
＠|＠|＠|＠|＠|＠|＠|			//ウシネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコノトリ
＠|＠|＠|＠|＠|＠|＠|			//ネコフィッシュ
＠|＠|＠|＠|＠|＠|＠|			//ネコトカゲ
＠|＠|＠|＠|＠|＠|＠|			//巨神ネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコ女優
＠|＠|＠|＠|＠|＠|＠|			//カンフーにゃんこ
＠|＠|＠|＠|＠|＠|＠|			//Mr.
＠|＠|＠|＠|＠|＠|＠|			//猫縛り
＠|＠|＠|＠|＠|＠|＠|			//女王猫
＠|＠|＠|＠|＠|＠|＠|			//ネコの箱詰め
＠|＠|＠|＠|＠|＠|＠|			//ネコパンツ
True Form evolution gains improved|Defense, better chance of Critical,|and also gains Mini-Wave ability.|＠|True Form evolution gains improved|Defense, better chance of Critical,|and also gains Mini-Wave ability.|			//もねこ
＠|＠|＠|＠|＠|＠|＠|			//ネコリンリン
＠|＠|＠|＠|＠|＠|＠|			//ネコ忍者
＠|＠|＠|＠|＠|＠|＠|			//ネコゾンビ
＠|＠|＠|＠|＠|＠|＠|			//ネコざむらい
＠|＠|＠|＠|＠|＠|＠|			//スモウネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコフィーバー
＠|＠|＠|＠|＠|＠|＠|			//ネコスカート
＠|＠|＠|＠|＠|＠|＠|			//ネコヴァルキリー
＠|＠|＠|＠|＠|＠|＠|			//ネコムート
＠|＠|＠|＠|＠|＠|＠|			//ケリ姫
＠|＠|＠|＠|＠|＠|＠|			//ネコひめ
＠|＠|＠|＠|＠|＠|＠|			//ネコカプセル
＠|＠|＠|＠|＠|＠|＠|			//マスクオブネコ
True Form evolution increases Range!|Also gains a chance to decrease the|attack power of Floating enemies!|＠|True Form evolution increases Range!|Also gains a chance to decrease the|attack power of Floating enemies!|			//ネコぼさつ
True Form evolution increases all stats!|Plus, gains the power to freeze Relic enemies|and becomes immune to enemy Curses.|＠|True Form evolution increases all stats!|Plus, gains the power to freeze Relic enemies|and becomes immune to enemy Curses.|			//ネコ番長
True Form evolution increases defense|and attack! Blocks Warp, and slows |Red enemy movement even further!|＠|True Form evolution increases defense|and attack! Blocks Warp, and slows |Red enemy movement even further!|			//ネコザイル
True Form evolution increases attack|speed and power! Plus, now negates|Wave attack effects and damage!|＠|True Form evolution increases attack|speed and power! Plus, now negates|Wave attack effects and damage!|			//ねこタツ
True Form evolution increases Attack!|Also gains a 100% chance to freeze the|movement of non-Metal enemies!|＠|True Form evolution increases Attack!|Also gains a 100% chance to freeze the|movement of non-Metal enemies!|			//ネコルガ
True Form evolution increases Attack!|Also gains the ability to Slow down|non-Metal enemies for a short time.|＠|True Form evolution increases Attack!|Also gains the ability to Slow down|non-Metal enemies for a short time.|			//オタネコ
